elapsed_s,RB_VRS_4X2_QUADS,RB_VRS_4X4_QUADS,RB_STALL_CYCLES_HLSQ_INFO,RB_HLSQ_ACTIVE_INFO,RB_STALL_CYCLES_HLSQ_ATTR,RB_HLSQ_ACTIVE_ATTR,RB_STALL_CYCLES_ZMODE_SWITCH,RB_TOTAL_PASS_PIXELS
0.001106,0,0,0,0,0,0,0,0
0.002935,0,0,0,0,0,0,0,0
0.004466,0,0,0,0,0,0,0,0
0.005978,0,0,0,0,0,0,0,0
0.007495,0,0,0,0,0,0,0,0
0.008999,0,0,0,0,0,0,0,0
0.010538,0,0,0,0,0,0,0,0
0.012144,0,0,0,0,0,0,0,0
0.013623,0,0,0,0,0,0,0,0
0.015218,0,0,0,0,0,0,0,0
0.016706,0,0,0,0,0,0,0,0
0.018182,0,0,0,0,0,0,0,0
0.019658,0,0,0,0,0,0,0,0
0.021147,0,0,0,0,0,0,0,0
0.022673,0,0,0,0,0,0,0,0
0.024151,0,0,0,0,0,0,0,0
0.025629,0,0,0,0,0,0,0,0
0.027152,0,0,0,0,0,0,0,0
0.028695,0,0,0,0,0,0,0,0
0.030166,0,0,0,0,0,0,0,0
0.031635,0,0,0,0,0,0,0,0
0.033221,0,0,0,0,0,0,0,0
0.034729,0,0,0,0,0,0,0,0
0.036352,0,0,0,0,0,0,0,0
0.037811,0,0,0,0,0,0,0,0
0.039440,0,0,0,0,0,0,0,0
0.040913,0,0,0,0,0,0,0,0
0.042426,0,0,0,0,0,0,0,0
0.043974,0,0,0,0,0,0,0,0
0.045412,0,0,0,0,0,0,0,0
0.046854,0,0,0,0,0,0,0,0
0.048450,0,0,0,0,0,0,0,0
0.050038,0,0,0,0,0,0,0,0
0.051542,0,0,0,0,0,0,0,0
0.053038,0,0,0,0,0,0,0,0
0.054524,0,0,0,0,0,0,0,0
0.056011,0,0,0,0,0,0,0,0
0.057496,0,0,0,0,0,0,0,0
0.058982,0,0,0,0,0,0,0,0
0.060477,0,0,0,0,0,0,0,0
0.062009,0,0,0,0,0,0,0,0
0.063549,0,0,0,0,0,0,0,0
0.064953,0,0,0,0,0,0,0,0
0.066344,0,0,0,0,0,0,0,0
0.067805,0,0,0,0,0,0,0,0
0.069159,0,0,0,0,0,0,0,0
0.070506,0,0,0,0,0,0,0,0
0.071973,0,0,0,0,0,0,0,0
0.073439,0,0,0,0,0,0,0,0
0.074922,0,0,0,0,0,0,0,0
0.076412,0,0,0,0,0,0,0,0
0.077782,0,0,0,0,0,0,0,0
0.079163,0,0,0,0,0,0,0,0
0.080535,0,0,0,0,0,0,0,0
0.081904,0,0,0,0,0,0,0,0
0.083276,0,0,0,0,0,0,0,0
0.084643,0,0,0,0,0,0,0,0
0.086020,0,0,0,0,0,0,0,0
0.087391,0,0,0,0,0,0,0,0
0.088681,0,0,0,0,0,0,0,0
0.090050,0,0,0,0,0,0,0,0
