elapsed_s,RAS_STGEN_BOTTLENECK_CYCLES,RAS_MTGEN_BOTTLENECK_CYCLES,RAS_TGEN_BOTTLENECK_CYCLES
0.001101,0,0,0
0.002615,0,0,0
0.004169,0,0,0
0.005708,0,0,0
0.007180,0,0,0
0.008727,0,0,0
0.010218,0,0,0
0.011677,0,0,0
0.013132,0,0,0
0.014577,0,0,0
0.016039,0,0,0
0.017490,0,0,0
0.018935,0,0,0
0.020385,0,0,0
0.021853,0,0,0
0.023281,0,0,0
0.024838,0,0,0
0.026269,0,0,0
0.027748,0,0,0
0.029259,0,0,0
0.030832,0,0,0
0.032341,0,0,0
0.033778,0,0,0
0.035191,0,0,0
0.036630,0,0,0
0.038109,0,0,0
0.039560,0,0,0
0.040907,0,0,0
0.042231,0,0,0
0.043566,0,0,0
0.045213,0,0,0
0.046592,0,0,0
0.047970,0,0,0
0.049352,0,0,0
0.050985,0,0,0
0.052591,0,0,0
0.053997,0,0,0
0.055376,0,0,0
0.056757,0,0,0
0.058138,0,0,0
0.059543,0,0,0
0.060948,0,0,0
0.062427,0,0,0
0.063879,0,0,0
0.065263,0,0,0
0.066641,0,0,0
0.068058,0,0,0
0.069558,48,0,0
0.071230,72,0,0
0.072586,0,0,0
0.073977,0,0,0
0.075406,0,0,0
0.076786,0,0,0
0.078166,0,0,0
0.079543,0,0,0
0.080920,0,0,0
0.082296,0,0,0
0.083780,0,0,0
0.085165,0,0,0
0.086588,0,0,0
0.087962,0,0,0
0.089336,0,0,0
0.090706,0,0,0
0.092118,0,0,0
0.093490,0,0,0
0.094860,0,0,0
0.096248,0,0,0
0.097662,0,0,0
0.099033,0,0,0
0.100532,0,0,0
0.101880,0,0,0
0.103255,0,0,0
0.104637,0,0,0
0.106021,0,0,0
0.107436,0,0,0
0.108809,0,0,0
0.110184,0,0,0
0.111751,0,0,0
0.113128,0,0,0
0.114640,0,0,0
0.116228,0,0,0
0.117791,0,0,0
0.119335,0,0,0
0.120862,0,0,0
0.122410,0,0,0
0.123996,0,0,0
0.125542,0,0,0
0.127087,0,0,0
0.128648,0,0,0
0.130195,0,0,0
0.131781,0,0,0
0.133328,0,0,0
0.134875,0,0,0
0.136495,0,0,0
0.138108,0,0,0
0.139583,0,0,0
0.141103,0,0,0
0.142649,0,0,0
0.144193,0,0,0
0.145738,0,0,0
0.147274,0,0,0
0.148825,0,0,0
0.150384,0,0,0
0.151928,0,0,0
0.153474,0,0,0
0.155021,0,0,0
0.156569,0,0,0
0.158116,0,0,0
0.159659,0,0,0
0.161051,0,0,0
0.162569,0,0,0
0.164157,0,0,0
0.165707,0,0,0
0.167297,0,0,0
0.168736,0,0,0
0.170216,0,0,0
0.171793,0,0,0
0.173169,0,0,0
0.174575,0,0,0
0.176036,0,0,0
0.177437,0,0,0
0.178813,0,0,0
0.180224,0,0,0
0.181620,0,0,0
0.183130,0,0,0
0.184706,0,0,0
0.186241,0,0,0
0.187681,0,0,0
0.189062,0,0,0
0.190438,0,0,0
0.191809,0,0,0
0.193193,0,0,0
0.194566,0,0,0
0.195993,0,0,0
0.197344,0,0,0
0.198692,0,0,0
0.200041,0,0,0
0.201390,0,0,0
0.202739,0,0,0
0.204129,0,0,0
0.205465,0,0,0
0.206802,0,0,0
0.208136,0,0,0
0.209471,0,0,0
0.210922,0,0,0
0.212284,0,0,0
0.213662,0,0,0
0.215024,0,0,0
0.216455,0,0,0
0.217813,0,0,0
0.219170,0,0,0
0.220435,0,0,0
0.221794,0,0,0
0.223152,0,0,0
0.224508,0,0,0
0.225767,0,0,0
0.227173,0,0,0
0.229452,0,0,0
0.230960,0,0,0
0.232590,0,0,0
0.233990,0,0,0
0.235421,0,0,0
0.236836,0,0,0
0.238225,0,0,0
0.239751,0,0,0
0.241122,66,0,0
0.242486,0,0,0
0.243860,0,0,0
0.245254,0,0,0
0.246640,0,0,0
0.248037,0,0,0
0.249418,0,0,0
0.250907,60,0,0
0.252274,60,0,0
0.253670,0,0,0
0.255048,0,0,0
0.256485,0,0,0
0.257954,0,0,0
0.259388,0,0,0
0.260892,0,0,0
0.262935,0,0,0
0.264321,0,0,0
0.265757,0,0,0
0.267135,0,0,0
0.268555,0,0,0
0.269934,0,0,0
0.271304,0,0,0
0.272843,0,0,0
0.274217,0,0,0
0.275632,0,0,0
0.277023,0,0,0
0.278462,0,0,0
0.279844,0,0,0
0.281236,0,0,0
0.282610,0,0,0
0.284019,0,0,0
0.285394,0,0,0
0.286768,0,0,0
0.288365,0,0,0
0.289975,0,0,0
0.291573,0,0,0
0.293121,0,0,0
0.294666,0,0,0
0.296210,0,0,0
0.297759,0,0,0
0.299302,0,0,0
0.300893,0,0,0
0.302451,0,0,0
0.303993,0,0,0
0.305538,0,0,0
0.307083,0,0,0
0.308674,0,0,0
0.310221,0,0,0
0.311763,0,0,0
0.313320,0,0,0
0.314866,0,0,0
0.316411,0,0,0
0.317883,0,0,0
0.319270,0,0,0
0.320785,0,0,0
0.322330,0,0,0
0.323929,0,0,0
0.325474,0,0,0
0.327019,0,0,0
0.328566,0,0,0
0.330112,0,0,0
0.331697,0,0,0
0.333244,0,0,0
0.334801,0,0,0
0.336344,0,0,0
0.337893,0,0,0
0.339478,0,0,0
0.341023,0,0,0
0.342568,0,0,0
0.344111,0,0,0
0.345757,0,0,0
0.347301,0,0,0
0.348893,0,0,0
0.350438,0,0,0
0.351981,0,0,0
0.353526,0,0,0
0.355071,0,0,0
0.356915,0,0,0
0.358409,0,0,0
0.359921,0,0,0
0.361797,0,0,0
0.363307,0,0,0
0.365041,0,0,0
0.366429,0,0,0
0.367819,0,0,0
0.369197,0,0,0
0.370571,0,0,0
0.371999,0,0,0
0.373351,0,0,0
0.374702,0,0,0
0.376050,0,0,0
0.377400,0,0,0
0.378758,0,0,0
0.380143,0,0,0
0.381479,0,0,0
0.382815,0,0,0
0.384148,0,0,0
0.385556,0,0,0
0.386890,0,0,0
0.388252,0,0,0
0.389630,0,0,0
0.390881,0,0,0
0.392131,0,0,0
0.393508,0,0,0
0.394864,0,0,0
0.396128,0,0,0
0.397494,0,0,0
0.398851,0,0,0
0.400226,0,0,0
0.401586,0,0,0
0.402943,0,0,0
0.404383,0,0,0
0.405797,0,0,0
0.407287,0,0,0
0.408726,0,0,0
0.410155,0,0,0
0.411594,0,0,0
0.412975,0,0,0
0.414355,0,0,0
0.415744,66,0,0
0.417415,0,0,0
0.418803,0,0,0
0.420179,0,0,0
0.421617,0,0,0
0.422991,0,0,0
0.424367,0,0,0
0.425758,0,0,0
0.427169,120,0,0
0.428601,0,0,0
0.429983,0,0,0
0.431490,0,0,0
0.432880,0,0,0
0.434262,0,0,0
0.435680,0,0,0
0.437686,0,0,0
0.439077,0,0,0
0.440519,0,0,0
0.441900,0,0,0
0.443286,0,0,0
0.444715,0,0,0
0.446089,0,0,0
0.447567,0,0,0
0.448978,0,0,0
0.450358,0,0,0
0.452211,0,0,0
0.453686,0,0,0
0.455105,0,0,0
0.456511,0,0,0
0.457925,0,0,0
0.459311,0,0,0
0.460733,0,0,0
0.462107,0,0,0
0.463482,0,0,0
0.464866,0,0,0
0.466372,0,0,0
0.467947,0,0,0
0.469362,0,0,0
0.470880,0,0,0
0.472496,0,0,0
0.474105,0,0,0
0.475703,0,0,0
0.477250,0,0,0
0.478796,0,0,0
0.480340,0,0,0
0.481891,0,0,0
0.483478,0,0,0
0.485025,0,0,0
0.486459,0,0,0
0.487975,0,0,0
0.489521,0,0,0
0.491067,0,0,0
0.492658,0,0,0
0.494203,0,0,0
0.495746,0,0,0
0.497305,0,0,0
