elapsed_s,CP_MEMORY_POOL_BELOW_THRESH,CP_AHB_WR_STALL_PRE_DRAWS,CP_AHB_STALL_SQE_GMU,CP_AHB_STALL_SQE_WR_OTHER,CP_AHB_STALL_SQE_RD_OTHER,CP_CLUSTER_FE_U_EMPTY,CP_CLUSTER_FE_S_EMPTY,CP_CLUSTER_SP_VS_EMPTY,CP_CLUSTER_VPC_US_EMPTY,CP_CLUSTER_VPC_VS_EMPTY,CP_CLUSTER_GRAS_EMPTY,CP_CLUSTER_SP_PS_EMPTY,CP_CLUSTER_VPC_PS_EMPTY,CP_CLUSTER_PS_EMPTY
0.001095,0,0,0,0,0,307696,307696,307632,307694,307693,307691,307690,307641,307720
0.002643,0,0,0,0,0,305213,305261,305260,305211,305211,305210,305257,305239,305176
0.004160,0,0,0,0,0,303306,303256,303304,303351,303350,303299,303314,303379,303424
0.005670,0,0,0,0,0,303731,303778,303729,303679,303678,303678,303613,303563,303480
0.007177,0,0,0,0,0,288058,288057,288056,288054,288053,288052,288052,288051,288068
0.008660,0,0,0,0,0,300931,300881,300895,300881,300878,300878,300877,300876,300857
0.010176,0,0,0,0,0,304406,304454,304438,304500,304499,304547,304593,304591,304592
0.011685,0,0,0,0,0,304275,304226,304273,304223,304272,304221,304173,304173,304188
0.013192,0,0,0,0,0,303121,303104,303084,303166,303116,303164,303162,303209,303238
0.014699,0,0,0,0,0,301979,301993,301963,301928,301927,301877,301877,301827,301796
0.016204,0,0,0,0,0,302856,302937,302951,302901,302900,302900,302899,302947,302929
0.017744,0,0,0,0,0,335685,335666,335713,335746,335794,335840,335888,335936,336001
0.019365,0,0,0,0,0,301125,300867,300624,301137,303695,303938,303678,303385,303141
0.020850,0,0,0,0,0,297736,297734,297732,296990,294187,293700,293699,293714,293697
0.022287,0,0,0,0,0,293490,293489,293488,293486,293486,293485,293484,293467,293482
0.023725,0,0,0,0,0,294361,294360,294359,294358,294356,294356,294355,294354,294353
0.025162,0,0,0,0,0,293278,293277,293276,293275,293275,293273,293287,293302,293301
0.026596,0,0,0,0,0,292906,292920,292904,292904,292902,292902,292916,292899,292883
0.028080,0,0,0,0,0,304265,304233,304248,304246,304245,304243,304228,304227,304227
0.029536,0,0,0,0,0,298238,302364,299999,300062,300046,300094,300108,300091,300135
0.031039,0,0,0,0,0,388162,384050,387189,389310,390037,390003,389986,389987,390732
0.032712,0,0,0,0,0,328420,332999,336383,334340,339534,343954,353761,358613,362031
0.034296,0,0,0,0,0,332787,328206,328819,335487,333642,329528,322520,320366,318064
0.035817,0,0,0,0,0,309057,312763,306483,304265,301382,305898,301185,299600,298205
0.037295,0,0,0,0,0,307001,301221,311011,307498,310394,311495,310620,313953,312574
0.038732,0,0,0,0,0,300779,307449,298998,297831,293280,286884,294056,288810,289604
0.040192,0,0,0,0,0,288814,284909,284618,284262,284311,284343,279498,279855,279499
0.041591,0,0,0,0,0,270182,269048,269062,269062,269030,269012,269015,269010,269027
0.042965,0,0,0,0,0,284083,284117,284909,285329,285941,293580,294112,294260,294304
0.044416,0,0,0,0,0,283871,283806,282994,282541,281943,274267,273715,273680,273568
0.045793,0,0,0,0,0,273505,273500,273487,273483,273448,273433,273416,273288,273302
0.047253,0,0,0,0,0,318359,316320,314270,312229,310182,308166,306141,304090,302050
0.048683,0,0,0,0,0,235383,235390,235420,235428,235428,235417,235410,235425,235424
0.050045,0,0,0,0,0,494091,497803,488420,486497,497809,497827,481596,497856,476602
0.051517,0,0,0,0,0,240673,240638,240627,240626,240610,240591,240565,241074,243889
0.052888,0,0,0,0,0,242239,242262,242264,242262,242269,242281,242290,241780,238948
0.054199,0,0,0,0,0,240811,240789,240795,240794,240792,240786,240790,240789,240803
0.055558,0,0,0,0,0,241209,241220,241218,241227,241235,241241,241234,241232,241246
0.056920,0,0,0,0,0,236563,236557,236548,236528,236502,236485,236479,236469,236435
0.058236,0,0,0,0,0,236177,236160,236167,236167,236166,236166,236164,236163,236163
0.059544,0,0,0,0,0,235498,235498,235497,235495,235503,235502,235498,235491,235490
0.060851,0,0,0,0,0,236195,236199,236193,236192,236188,236190,236189,236203,236201
0.062160,0,0,0,0,0,235714,235713,235717,235716,235709,235704,235707,235697,235697
0.063527,0,0,0,0,0,221593,221271,220934,220589,220267,220169,219835,219515,219178
0.064893,0,0,0,0,0,204930,204922,204926,204941,204962,204756,204779,204783,204795
0.066253,0,0,0,0,0,208764,208768,208776,209229,209530,209500,209486,209485,209946
0.067577,0,0,0,0,0,206591,206621,207067,207060,207474,207947,207950,208257,210154
0.068902,0,0,0,0,0,212966,213392,214061,213962,213599,213128,213926,213811,211445
0.070228,0,0,0,0,0,207848,207392,206258,205908,205535,205547,204742,204539,204538
0.071588,0,0,0,0,0,219198,220799,222249,223048,224982,226621,227943,229965,230990
0.072897,0,0,0,0,0,287909,291536,287580,287654,293208,293331,274712,294377,277739
0.074291,0,0,0,0,0,225183,222024,219874,217940,216196,214418,212513,210035,205852
0.075651,0,0,0,0,0,204541,204547,204524,204532,204523,204530,204522,204633,204786
0.076967,0,0,0,0,0,208027,208026,208517,210545,210791,210787,210786,210659,210505
0.078336,0,0,0,0,0,211064,211050,210571,208525,208271,208265,208264,208268,208269
0.079697,0,0,0,0,0,220855,222645,224407,226172,227978,229767,231538,233322,235106
0.081074,0,0,0,0,0,235591,235576,235576,235605,235559,235560,235572,235558,235542
0.082448,0,0,0,0,0,230321,230333,230361,230357,230388,230356,230370,230369,230367
0.083870,0,0,3010,4,0,442285,443447,441584,441467,443426,443441,440759,443440,440239
0.085120,0,0,0,0,0,316727,315178,315203,315202,315244,315285,315282,315296,315311
0.086699,0,0,0,0,0,235416,236975,236990,236947,236933,236903,236945,236943,236942
0.088124,0,0,0,0,0,233683,233694,236313,237868,237850,237849,237821,237805,237787
0.089508,0,0,0,0,0,237783,237783,235149,233634,233635,233636,233662,233634,233659
0.090884,0,0,0,0,0,249530,253256,265157,265636,270528,274951,280956,284694,289259
0.092394,0,0,0,0,0,274207,270469,258564,258041,253132,248707,242672,238944,234369
0.093773,0,0,0,0,0,235492,235490,235447,235446,235462,235472,235456,235460,235454
0.095154,0,0,0,0,0,231318,229573,228292,227397,237726,241875,241364,239582,240572
0.096539,0,0,0,0,0,231019,230975,230506,229626,217510,211562,210300,210285,207517
0.097848,0,0,0,0,0,205805,205805,205789,205784,205772,205773,205764,205765,205756
0.099157,0,0,0,0,0,205528,205534,205546,205558,205558,205548,205564,205561,205569
0.100468,0,0,0,0,0,205333,205323,205310,205296,205302,205302,205284,205298,205282
0.101778,0,0,0,0,0,204582,204585,204597,204594,204587,204586,204606,204591,204591
0.103086,0,0,0,0,0,206342,206354,206346,206346,206351,206358,206344,206356,206355
0.104450,0,0,0,0,0,792934,1149652,795566,797209,1155848,1157911,703411,1162062,673723
0.105918,0,0,0,0,0,537085,537068,537085,537095,537098,537091,537062,537062,537090
0.107341,0,0,0,0,0,532258,532274,532256,532254,532283,532304,532329,532322,532309
0.108755,0,0,0,0,0,532960,532960,532975,532957,532927,532909,532892,532880,532891
0.110166,0,0,0,0,0,533358,533355,533348,533354,533364,533364,533370,533397,533395
0.111577,0,0,0,0,0,532422,532421,532421,532436,532437,532435,532444,532426,532431
0.112988,0,0,0,0,0,531820,531820,531808,531802,531788,531782,531771,531769,531767
0.114397,0,0,0,0,0,530891,530894,530904,530903,530919,530918,530932,530916,530926
0.115813,0,0,0,0,0,534359,534415,534413,534411,534421,534426,534453,534468,534485
0.117224,0,0,0,0,0,472411,472331,472319,472308,473715,473681,474473,474470,475317
0.118578,0,0,0,0,0,533196,533197,533196,533195,531742,531758,530904,530877,529995
0.119988,0,0,0,0,0,534985,534982,534982,534980,534990,534989,535005,535030,535001
0.121402,0,0,0,0,0,532335,532335,532350,532344,532349,532347,532356,532329,532329
0.122813,0,0,0,0,0,531548,531553,531537,531536,531535,531550,531532,531532,531530
0.124224,0,0,0,0,0,533679,533678,533670,533674,533672,533667,533672,533671,533670
0.125635,0,0,0,0,0,532677,532670,532674,532672,532667,532670,532670,532679,532678
0.127051,0,0,0,0,0,537325,537330,540410,540405,544708,544763,545257,545262,545261
0.128472,0,0,0,0,0,541472,541469,538388,538403,534103,534042,533546,533545,533543
0.129884,0,0,0,0,0,422544,422837,422961,423858,423858,423872,423871,429978,429094
0.131195,0,0,0,0,0,628053,628568,629261,629843,630649,635563,635381,630560,632251
0.132756,0,0,0,0,0,469303,469314,469312,468624,468618,464501,465510,465010,465010
0.134142,0,0,0,0,0,451910,451925,451908,451905,451910,451928,451890,451892,451886
0.135508,0,0,0,0,0,462330,462311,462327,462343,462335,462308,462322,462315,462320
0.136872,0,0,0,0,0,451969,451957,451957,451939,451938,451942,451938,451970,451979
0.138247,0,0,0,0,0,453698,453709,453690,453690,453694,453689,453702,453763,453761
0.139611,0,0,0,0,0,448637,448624,448624,448622,448633,448648,448666,448586,448590
0.140971,0,0,0,0,0,451253,451248,452088,452897,456992,456504,456452,456528,456523
0.142376,0,0,0,0,0,455429,455432,454607,453797,449699,450183,450232,450216,450198
0.143735,0,0,0,0,0,445364,445374,445356,445415,445403,445388,445353,445295,445294
0.145094,0,0,0,0,0,454145,454128,454127,454071,454066,454082,454070,454064,454068
0.146452,0,0,0,0,0,444366,444383,444383,444375,444378,444359,444370,444376,444370
0.147866,0,0,0,0,0,488696,486578,487824,488247,488687,493223,498782,502822,500992
