elapsed_s,CP_LONG_PREEMPTIONS,CP_SQE_I_CACHE_STARVE,CP_SQE_IDLE,CP_SQE_PM4_STARVE_RB,CP_SQE_PM4_STARVE_IB1,CP_SQE_PM4_STARVE_IB2,CP_SQE_PM4_STARVE_IB3,CP_SQE_PM4_STARVE_FSDT,CP_SQE_PM4_STARVE_SDS,CP_SQE_MRB_STARVE,CP_SQE_RRB_STARVE,CP_SQE_VSD_STARVE,CP_VSD_DECODE_STARVE,CP_SQE_PIPE_OUT_STALL
0.185944,0,1631,434178,131,0,0,0,0,0,0,87,0,0,0
0.187384,0,1635,505832,132,0,0,0,0,0,0,83,0,0,0
0.189023,0,1596,461498,131,0,0,0,0,0,0,86,0,0,0
0.190645,0,1640,429314,132,0,0,0,0,0,0,83,0,0,0
0.192224,0,1591,470040,132,0,0,0,0,0,0,86,0,0,0
0.193837,0,1630,468760,132,0,0,0,0,0,0,84,0,0,0
0.195444,0,1592,458388,132,0,0,0,0,0,0,86,0,0,0
0.197048,0,1603,510110,132,0,0,0,0,0,0,83,0,0,0
0.198655,0,1635,461915,143,0,0,0,0,0,0,85,0,0,0
0.200264,0,1635,458767,131,0,0,0,0,0,0,87,0,0,0
0.201884,0,1614,457303,131,0,0,0,0,0,0,86,0,0,0
0.203640,0,1700,461519,131,0,0,0,0,0,0,87,0,0,0
0.205206,0,1600,479834,131,0,0,0,0,0,0,83,0,0,0
0.206685,0,1594,436658,132,0,0,0,0,0,0,85,0,0,0
0.208121,0,1635,429055,132,0,0,0,0,0,0,84,0,0,0
0.209560,0,1593,438451,132,0,0,0,0,0,0,84,0,0,0
0.211002,0,1628,425680,131,0,0,0,0,0,0,84,0,0,0
0.212461,0,1640,449861,131,0,0,0,0,0,0,86,0,0,0
0.213978,0,1593,451491,132,0,0,0,0,0,0,87,0,0,0
0.215550,0,1590,459040,132,0,0,0,0,0,0,83,0,0,0
0.217160,0,1719,468796,131,0,0,0,0,0,0,84,0,0,0
0.218776,0,1678,459426,132,0,0,0,0,0,0,85,0,0,0
0.220382,0,1594,459142,131,0,0,0,0,0,0,87,0,0,0
0.221989,0,1587,458991,131,0,0,0,0,0,0,86,0,0,0
0.223612,0,1624,458918,132,0,0,0,0,0,0,87,0,0,0
0.225221,0,1768,459016,131,0,0,0,0,0,0,86,0,0,0
0.226829,0,1592,457111,132,0,0,0,0,0,0,85,0,0,0
0.228434,0,1752,459280,132,0,0,0,0,0,0,86,0,0,0
0.230044,0,1634,459649,131,0,0,0,0,0,0,85,0,0,0
0.231652,0,1591,457721,132,0,0,0,0,0,0,86,0,0,0
0.233261,0,1595,459775,132,0,0,0,0,0,0,87,0,0,0
0.234882,0,1592,459368,131,0,0,0,0,0,0,87,0,0,0
0.236488,0,1593,459091,132,0,0,0,0,0,0,83,0,0,0
0.238096,0,1590,460771,132,0,0,0,0,0,0,87,0,0,0
0.239704,0,1598,458954,132,0,0,0,0,0,0,84,0,0,0
0.241313,0,1636,459107,131,0,0,0,0,0,0,88,0,0,0
0.242921,0,1627,456579,132,0,0,0,0,0,0,88,0,0,0
0.244526,0,1594,458317,132,0,0,0,0,0,0,83,0,0,0
0.246147,0,1634,463922,131,0,0,0,0,0,0,87,0,0,0
0.247746,0,1635,454067,132,0,0,0,0,0,0,87,0,0,0
0.249518,0,1638,413073,132,0,0,0,0,0,0,87,0,0,0
0.250994,0,1856,459855,132,0,0,0,0,0,0,87,0,0,0
0.252444,0,1633,438657,132,0,0,0,0,0,0,84,0,0,0
0.253889,0,1585,458024,132,0,0,0,0,0,0,88,0,0,0
0.255332,0,1583,434774,132,0,0,0,0,0,0,83,0,0,0
0.256784,0,1636,445014,132,0,0,0,0,0,0,84,0,0,0
0.258271,0,1587,480080,132,0,0,0,0,0,0,85,0,0,0
0.259841,0,1631,459489,132,0,0,0,0,0,0,87,0,0,0
0.261496,0,1638,460322,132,0,0,0,0,0,0,86,0,0,0
0.263103,0,1601,458425,131,0,0,0,0,0,0,85,0,0,0
0.264708,0,1626,458663,132,0,0,0,0,0,0,84,0,0,0
0.266368,0,1634,453617,131,0,0,0,0,0,0,85,0,0,0
0.267986,0,1726,459150,210,0,0,0,0,0,0,86,0,0,0
0.269596,0,1594,458959,132,0,0,0,0,0,0,87,0,0,0
0.271202,0,1627,458994,132,0,0,0,0,0,0,88,0,0,0
0.272808,0,1598,520521,132,0,0,0,0,0,0,87,0,0,0
0.275915,0,1636,466658,131,0,0,0,0,0,0,85,0,0,0
0.277435,0,1632,451347,132,0,0,0,0,0,0,85,0,0,0
0.278903,0,1593,446609,132,0,0,0,0,0,0,85,0,0,0
0.280345,0,1595,434051,132,0,0,0,0,0,0,88,0,0,0
0.281788,0,1608,433754,131,0,0,0,0,0,0,86,0,0,0
0.283229,0,1629,433326,132,0,0,0,0,0,0,87,0,0,0
0.284668,0,1666,430792,132,0,0,0,0,0,0,84,0,0,0
0.286110,0,1594,410364,132,0,0,0,0,0,0,87,0,0,0
0.287660,0,1662,467820,132,0,0,0,0,0,0,87,0,0,0
0.289153,0,1584,446434,132,0,0,0,0,0,0,87,0,0,0
0.290600,0,1635,437475,132,0,0,0,0,0,0,86,0,0,0
0.292042,0,1584,431957,132,0,0,0,0,0,0,87,0,0,0
0.293528,0,1587,445086,131,0,0,0,0,0,0,88,0,0,0
0.294969,0,1588,431535,131,0,0,0,0,0,0,86,0,0,0
0.296408,0,1775,481885,132,0,0,0,0,0,0,85,0,0,0
0.298033,0,1626,459920,132,0,0,0,0,0,0,83,0,0,0
0.299652,0,1798,459324,132,0,0,0,0,0,0,83,0,0,0
0.301260,0,1586,458123,131,0,0,0,0,0,0,84,0,0,0
0.302867,0,1687,456986,131,0,0,0,0,0,0,85,0,0,0
0.304471,0,1591,455538,131,0,0,0,0,0,0,86,0,0,0
0.306076,0,1727,458730,132,0,0,0,0,0,0,86,0,0,0
0.307683,0,1631,457929,132,0,0,0,0,0,0,87,0,0,0
0.309333,0,1635,460078,132,0,0,0,0,0,0,85,0,0,0
0.310952,0,1595,459157,132,0,0,0,0,0,0,83,0,0,0
0.312557,0,1592,459552,132,0,0,0,0,0,0,87,0,0,0
0.314163,0,1631,457472,132,0,0,0,0,0,0,87,0,0,0
0.315768,0,1636,457169,132,0,0,0,0,0,0,87,0,0,0
0.317375,0,1745,459579,132,0,0,0,0,0,0,85,0,0,0
0.318981,0,1712,456664,132,0,0,0,0,0,0,85,0,0,0
0.320584,0,1589,457486,131,0,0,0,0,0,0,84,0,0,0
0.322203,0,1596,467191,132,0,0,0,0,0,0,87,0,0,0
0.323809,0,1676,457120,131,0,0,0,0,0,0,86,0,0,0
0.325459,0,1593,458490,131,0,0,0,0,0,0,83,0,0,0
0.327066,0,1591,455973,131,0,0,0,0,0,0,83,0,0,0
0.328670,0,1580,459149,132,0,0,0,0,0,0,86,0,0,0
0.330275,0,1596,457498,131,0,0,0,0,0,0,87,0,0,0
0.331881,0,1637,456918,132,0,0,0,0,0,0,85,0,0,0
0.333501,0,1590,468221,132,0,0,0,0,0,0,86,0,0,0
0.335108,0,1730,457558,132,0,0,0,0,0,0,86,0,0,0
0.336712,0,1633,456818,132,0,0,0,0,0,0,87,0,0,0
0.338267,0,1634,445366,131,0,0,0,0,0,0,86,0,0,0
0.339843,0,1591,458850,132,0,0,0,0,0,0,83,0,0,0
0.341494,0,1639,457178,131,0,0,0,0,0,0,83,0,0,0
0.343100,0,1700,458234,132,0,0,0,0,0,0,86,0,0,0
0.344717,0,1625,457973,132,0,0,0,0,0,0,87,0,0,0
0.346386,0,1592,457543,131,0,0,0,0,0,0,85,0,0,0
0.347992,0,1694,457636,132,0,0,0,0,0,0,86,0,0,0
0.349599,0,1735,457793,132,0,0,0,0,0,0,85,0,0,0
0.351203,0,1662,454949,131,0,0,0,0,0,0,88,0,0,0
0.352820,0,1712,488391,131,0,0,0,0,0,0,87,0,0,0
0.354329,0,1625,447221,131,0,0,0,0,0,0,83,0,0,0
0.355786,0,1744,445506,132,0,0,0,0,0,0,86,0,0,0
0.357406,0,1595,457674,132,0,0,0,0,0,0,85,0,0,0
0.358888,0,1629,450194,132,0,0,0,0,0,0,84,0,0,0
0.360468,0,1637,459091,131,0,0,0,0,0,0,85,0,0,0
0.362074,0,1626,458480,131,0,0,0,0,0,0,85,0,0,0
0.363682,0,1674,457181,131,0,0,0,0,0,0,84,0,0,0
0.365289,0,1633,459644,131,0,0,0,0,0,0,85,0,0,0
0.366910,0,1635,458404,132,0,0,0,0,0,0,85,0,0,0
0.368514,0,1642,457430,132,0,0,0,0,0,0,87,0,0,0
0.370134,0,1759,471475,132,0,0,0,0,0,0,86,0,0,0
0.371631,0,1644,448732,150,0,0,0,0,0,0,83,0,0,0
0.373603,0,1598,426363,132,0,0,0,0,0,0,87,0,0,0
0.375022,0,1716,437018,132,0,0,0,0,0,0,87,0,0,0
0.376498,0,1625,447508,132,0,0,0,0,0,0,83,0,0,0
0.377960,0,1628,451771,132,0,0,0,0,0,0,87,0,0,0
0.379398,0,1634,430254,132,0,0,0,0,0,0,85,0,0,0
0.380833,0,1594,586156,132,0,0,0,0,0,0,85,0,0,0
