elapsed_s,ALWAYSON
0.001105,52542
0.002821,29046
0.004231,26720
0.005621,26760
0.007040,27324
0.008433,26561
0.009851,27233
0.011237,26571
0.012618,26524
0.013997,26386
0.015364,25685
0.016678,25274
0.018001,25764
0.019361,26060
0.020730,26321
0.022089,26085
0.023448,26106
0.024807,26097
0.026167,26093
0.027523,26016
0.028879,26057
0.030285,26930
0.031716,28860
0.033097,26383
0.034488,26701
0.035862,26390
0.037236,26755
0.038629,26392
0.040005,26419
0.041388,26976
0.042818,27608
0.044247,27285
0.045719,27562
0.047081,26154
0.048430,25882
0.049801,25094
0.051116,25254
0.052431,25287
0.053768,25694
0.055088,25377
0.056410,25318
0.057730,25422
0.059054,25386
0.060375,25343
0.061694,25385
0.063034,25938
0.064439,26714
0.065826,30405
0.067393,26337
0.068762,26235
0.070127,26200
0.071492,26185
0.072855,26180
0.074906,39352
0.076279,26388
0.077633,26543
0.079078,27240
0.080444,26194
0.081809,26218
0.083175,26254
0.084540,26188
0.085906,26236
0.087283,26345
0.088643,26199
0.090116,28697
0.091508,26255
0.092868,26107
0.094228,26068
0.095636,27051
0.096993,26046
0.098360,26238
0.099720,26142
0.101080,26113
0.102543,28114
0.103904,26378
0.105279,26790
0.106673,26100
0.108033,26129
0.109489,28600
0.110993,28250
0.112354,26118
0.113795,27740
0.115163,27218
0.116709,29182
0.118241,29408
0.119784,29629
0.121314,30754
0.122916,29380
0.124445,29374
0.125979,29468
0.127554,30215
0.129084,29449
0.130633,29662
0.132162,29382
0.133696,29447
0.135228,29398
0.136758,29375
0.138290,29422
0.139821,29393
0.141446,33774
0.143037,27717
0.144419,26328
0.145919,29274
0.147451,29418
0.148982,29370
0.150514,29437
0.152059,29655
0.153593,29472
0.155125,29371
0.156653,29365
0.158187,29440
0.159719,29419
0.161247,29426
0.162795,29640
0.164325,29366
0.165859,29483
0.167391,29354
0.168798,26679
0.170173,26335
0.171673,29239
0.173215,29695
0.174751,30488
0.176338,28573
0.177753,39795
0.180606,42262
0.181978,26771
0.183373,26548
0.184737,26188
0.186100,26171
0.187464,26170
0.188823,26064
0.190212,27267
0.191622,26595
0.192947,25428
0.194337,26590
0.195651,25213
0.196961,25139
0.198319,26084
0.199631,25165
0.201121,29534
0.202550,26697
0.203877,25394
0.205209,25582
0.206580,26313
0.207891,24882
0.209182,24809
0.210528,25821
0.211820,24801
0.213111,24821
0.214405,24830
0.215705,24949
0.216997,24790
0.218336,25707
0.219631,24866
0.220922,24779
0.222214,24812
0.223541,27044
0.224892,25855
0.226242,25902
0.227590,25914
0.228938,25861
0.230284,25871
0.231632,25871
0.232979,25879
0.234377,26819
0.235724,25855
0.237074,25921
0.238477,27029
0.239882,26924
0.241231,26028
0.242639,26905
0.244039,26885
0.245438,26821
0.246835,26805
0.248234,26896
0.249632,24974
0.250935,26875
0.252332,26822
0.253729,26824
0.255141,27105
0.256538,26818
0.257957,26101
0.259337,26551
0.260707,26252
0.262193,28499
0.263571,26427
0.264990,27323
0.266959,37805
0.268328,26242
0.269705,26466
0.271116,27105
0.272484,26226
0.274050,41041
0.275992,26296
0.277438,27680
0.278796,26056
0.280161,26246
0.281575,27123
0.282932,26049
0.284290,26130
0.285651,26136
0.287060,27051
0.288421,26108
0.289804,26663
0.291183,26433
0.292547,26231
0.293916,26205
0.295277,26123
0.296637,26090
0.297997,26134
0.299357,26087
0.300721,26240
0.302093,26307
0.303634,30066
0.305157,30005
0.306600,26609
0.307973,26317
0.309341,27896
0.310795,26262
0.312173,26462
0.313542,26299
0.314909,26211
0.316403,29187
0.317938,29469
0.319515,30277
0.321046,29356
0.322650,30823
0.324181,29389
0.325715,29468
0.327247,29414
0.328778,29383
0.330310,29418
0.331842,29419
0.333388,29691
0.334964,30259
0.336495,29372
0.338040,29924
0.339466,26764
0.340842,26307
0.342390,30158
0.343795,26488
0.345157,28359
0.346637,26208
0.348126,29035
0.349527,26593
0.351073,30110
0.352606,29404
0.354153,29730
0.355686,29426
0.357218,29499
0.358756,29443
0.360287,29393
0.361823,29504
0.363356,29414
0.364899,29616
0.366431,29442
0.367966,29463
0.369501,29481
0.371034,29392
0.372564,29386
0.374098,29403
0.375637,29505
0.377063,29163
0.378513,25790
0.379842,25394
0.381160,25315
0.382481,25350
0.383842,26118
0.385158,25290
0.386527,26217
0.387844,25237
0.389153,25150
0.390470,25850
0.391812,25265
0.393164,25962
0.394527,26075
0.395835,25131
0.397155,25426
0.398475,25330
0.399838,25937
0.401132,24838
0.402425,24830
0.403718,24783
0.405009,24789
0.406300,24797
0.407601,24984
0.408892,24780
0.410232,25746
0.411525,24797
0.412816,24786
0.414155,25725
0.415482,25323
0.416760,24531
0.418093,25585
0.419371,24539
0.420648,24524
0.421926,24496
0.423200,24446
0.424473,24439
0.425795,25437
0.427072,24507
0.428355,24623
0.429631,24515
0.430937,26750
0.432285,25860
0.433632,25857
0.434979,25851
0.436326,25863
0.437672,25849
0.439022,23835
0.440311,26836
0.441708,26988
0.443067,25968
0.444432,26195
0.445781,25869
0.447128,25871
0.448475,25875
0.452141,69552
0.453550,36868
0.455470,26792
0.456845,26264
0.458209,26178
0.459571,26206
0.460946,26381
0.462311,26208
0.463721,27103
0.465090,27188
0.466543,27516
0.467908,25794
0.469238,25566
0.470570,25499
0.471911,25760
0.473236,25554
0.474573,25554
0.475895,25248
0.477209,26306
0.478628,27566
0.480070,26323
0.481459,26879
0.482846,26382
0.484207,26128
0.489425,100253
0.490833,27048
0.492199,26197
0.493620,49638
0.496140,26351
0.497485,25501
0.498804,25295
0.500119,25228
0.501483,26275
0.502808,25459
0.504143,25573
0.505460,25336
0.506782,25356
0.508101,25332
0.509423,25369
0.510742,25646
0.512127,26263
0.513494,26250
0.514868,26359
0.516360,29110
0.517786,27334
0.519312,29382
0.520842,29362
0.522374,29432
0.523906,29388
0.525451,29685
0.527026,30223
0.528556,29355
0.530088,29452
0.531619,29378
0.533148,29460
0.534684,29381
0.536101,26820
0.537606,29310
0.539138,29384
0.540667,29362
0.542199,29605
0.543621,26819
0.545127,29310
0.546677,29699
0.548209,29360
0.549741,29454
0.551273,29382
0.552802,29382
0.554334,29424
0.555866,29396
0.557284,26887
0.558790,30140
0.560366,29373
0.561898,29409
0.563428,29385
0.564957,29328
0.566487,29414
0.568032,29664
0.569566,29450
0.571097,29375
0.572626,29372
0.574159,29413
0.575732,30199
0.577261,43387
0.579400,26668
0.580773,26190
0.582133,26125
0.583493,26102
0.584851,26067
0.586209,26088
0.587568,26072
0.588925,26055
0.590292,26253
0.591693,26906
0.593051,26093
0.594411,26087
0.595770,26072
0.597127,26436
0.598504,26086
0.599862,26062
0.601228,27989
0.602678,26101
0.604037,26069
0.605434,26990
0.606802,26921
0.608162,25041
0.609491,25527
0.610828,25649
0.612170,25787
0.613507,25677
0.614844,25666
0.616181,25667
0.617720,29593
0.619060,25691
0.620398,25685
0.621735,25673
0.623116,28087
0.624516,26795
0.625912,26814
0.627309,26822
0.628705,26810
0.630102,26806
0.631498,24730
0.632786,26785
0.634184,26917
0.635621,27814
0.637047,25285
0.638349,27224
0.639775,27640
0.641211,26615
0.643585,46099
0.645059,26946
0.646516,27882
0.647878,26512
0.649257,27866
0.651719,45343
0.653063,25707
0.654401,25692
0.655798,26830
0.657137,26268
0.658529,27136
0.659878,25196
0.661190,26927
0.662642,25943
0.663987,25931
0.665337,25497
0.666725,27295
0.668044,25130
0.669396,25838
0.670702,25190
0.672049,25414
0.673315,24590
0.674663,25613
0.675979,25202
0.677299,25350
0.678612,25160
0.679921,25128
0.681229,27548
0.682668,25236
0.683980,25174
0.685290,25923
0.686643,26018
0.688007,25554
0.689332,26669
0.690742,28136
0.692187,25440
0.693512,25447
0.694837,25440
0.696162,25426
0.697486,25414
0.698816,25540
0.700219,27196
0.701566,25685
0.703027,28934
0.704557,29367
0.706090,29457
0.707623,29408
0.709165,29706
0.710701,29407
0.712232,29381
0.713766,29488
0.715298,29389
0.716828,29371
0.718359,29388
0.719902,29613
0.721436,29480
0.722962,29217
0.724484,29228
0.725883,26497
0.727382,29243
0.728913,29356
0.730326,26736
0.731828,29254
0.733411,30380
0.734986,30249
0.736516,29369
0.738049,29454
0.739581,29391
0.741124,29697
0.742530,26499
0.743905,26399
0.745507,31054
0.747026,29230
0.748548,29199
0.749946,26521
0.751383,27564
0.752881,29180
0.754412,29428
0.755944,29395
0.757477,29471
0.759009,29377
0.760538,29368
0.762085,29722
0.763617,29402
0.765147,29457
0.766683,30260
0.768258,29378
0.769804,41614
0.771836,26778
0.773230,28711
0.774709,26229
0.776070,26111
0.777454,26595
0.778815,26112
0.780174,26086
0.781571,26828
0.782972,26890
0.784339,26259
0.785698,26072
0.787056,26074
0.788449,26730
0.789807,26096
0.791165,26059
0.792522,26067
0.793880,26065
0.795248,26289
0.796607,26072
0.797965,26090
0.799373,26792
0.800710,25651
0.802047,25659
0.803383,25657
0.804718,25632
0.806061,25792
0.807398,25674
0.808735,25666
0.810072,25679
0.811410,25686
0.812747,25681
0.814085,25663
0.815458,26240
