elapsed_s,VPC_BE_PS_BUSY_CYCLES,VPC_BE_PS_WORKING_CYCLES,VPC_BE_STALL_CYCLES_CCHE,VPC_BE_STARVE_CYCLES_CCHE,VPC_BE_LM_FULL_WAIT_FOR_INTP_END,VPC_BE_CCHE_REQBUF_FULL
0.001121,0,0,0,9811536,0,0
0.002395,0,0,0,5624310,0,0
0.003620,0,0,0,5366892,0,0
0.004794,0,0,0,5165838,0,0
0.005963,0,0,0,5145390,0,0
0.007131,0,0,0,5140806,0,0
0.008298,0,0,0,5144586,0,0
0.009466,0,0,0,5141640,0,0
0.010644,0,0,0,5188716,0,0
0.011811,0,0,0,5139552,0,0
0.013382,0,0,0,7003770,0,0
0.014703,0,0,0,5748216,0,0
0.016412,0,0,0,7513806,0,0
0.017722,0,0,0,5771592,0,0
0.018903,0,0,0,5203770,0,0
0.020083,0,0,0,5189544,0,0
0.021262,0,0,0,5188260,0,0
0.022429,0,0,0,5139288,0,0
0.023602,0,0,0,5159022,0,0
0.024759,0,0,0,5093142,0,0
0.025915,0,0,0,5646630,0,0
0.027198,0,0,0,5096664,0,0
0.028354,0,0,0,5646984,0,0
0.029638,0,0,0,5101128,0,0
0.030794,0,0,0,5644056,0,0
0.032084,0,0,0,5127174,0,0
0.033240,0,0,0,5088210,0,0
0.034396,0,0,0,5644872,0,0
0.035678,0,0,0,5096310,0,0
0.036835,0,0,0,5090670,0,0
0.037991,0,0,0,5093844,0,0
0.039147,0,0,0,5829840,0,0
0.040466,0,0,0,5598606,0,0
0.041737,0,0,0,5599428,0,0
0.043014,0,0,0,5627484,0,0
0.044286,0,0,0,5602248,0,0
0.045559,0,0,0,5603748,0,0
0.046832,0,0,0,5605056,0,0
0.048104,0,0,0,5603310,0,0
0.049376,0,0,0,5604702,0,0
0.050648,0,0,0,5596608,0,0
0.051919,0,0,0,5594826,0,0
0.053195,0,0,0,5623038,0,0
0.054465,0,0,0,5594136,0,0
0.055727,0,0,0,5494536,0,0
0.056969,0,0,0,5471076,0,0
0.058211,0,0,0,5466708,0,0
0.059503,0,0,0,5318514,0,0
0.060635,0,0,0,5369238,0,0
0.061831,0,0,0,5260608,0,0
0.063025,0,0,0,5257902,0,0
0.064274,0,0,0,5502294,0,0
0.065468,0,0,0,5253090,0,0
0.066660,0,0,0,5254140,0,0
0.067850,0,0,0,5159244,0,0
0.069057,0,0,0,5323332,0,0
0.070267,0,0,0,5344866,0,0
0.071496,0,0,0,5419746,0,0
0.072661,0,0,0,5119068,0,0
0.073821,0,0,0,5095080,0,0
0.074983,0,0,0,5119446,0,0
0.076138,0,0,0,5084964,0,0
0.077293,0,0,0,5085756,0,0
0.078448,0,0,0,5088558,0,0
0.079653,0,0,0,5304654,0,0
0.080856,0,0,0,5297358,0,0
0.082060,105,141,0,5301426,0,0
0.083214,0,0,0,5084256,0,0
0.084371,0,0,0,5172366,0,0
0.085569,0,0,0,5273994,0,0
0.086761,0,0,0,5248866,0,0
0.088023,0,0,0,5103696,0,0
0.089146,0,0,0,4987104,0,0
0.090288,0,0,0,4982286,0,0
0.091413,0,0,0,5246052,0,0
0.092620,0,0,0,5041206,0,0
0.093756,0,0,0,4983918,0,0
0.094880,0,0,0,4949880,0,0
0.096023,0,0,0,5034516,0,0
0.097182,459,615,0,7066134,0,0
0.098667,1101,1407,0,8118390,0,0
0.099914,0,0,0,8204394,0,0
0.101140,0,0,0,8087886,0,0
0.102364,0,0,0,8083440,0,0
0.104030,0,0,0,11065548,0,0
0.105324,0,0,0,8464788,0,0
0.106611,0,0,0,8488662,0,0
0.107880,0,0,0,8352630,0,0
0.109145,0,0,0,8350050,0,0
0.110410,0,0,0,8346534,0,0
0.111718,0,0,0,11228796,0,0
0.113362,0,0,0,8260356,0,0
0.114625,0,0,0,8328144,0,0
0.119561,0,0,0,32840292,0,0
0.120877,0,0,0,8518668,0,0
0.122116,0,0,0,8112780,0,0
0.123339,0,0,0,8081148,0,0
0.124613,0,0,0,8394306,0,0
0.125834,0,0,0,8048238,0,0
0.127053,0,0,0,8046972,0,0
0.128274,0,0,0,8058420,0,0
0.129494,0,0,0,8051652,0,0
0.130713,0,0,0,8032092,0,0
0.131964,0,0,0,8283264,0,0
0.133187,0,0,0,8053590,0,0
0.134405,0,0,0,8040540,0,0
0.135623,0,0,0,8037432,0,0
0.136841,0,0,0,8044908,0,0
0.138061,0,0,0,8042706,0,0
0.139279,0,0,0,8052948,0,0
0.140580,0,0,0,8575950,0,0
0.141799,0,0,0,8048058,0,0
0.143029,0,0,0,8113224,0,0
0.144249,0,0,0,8048844,0,0
0.145468,0,0,0,8052186,0,0
0.146686,0,0,0,8041182,0,0
0.147906,0,0,0,8054112,0,0
0.149126,0,0,0,8045988,0,0
0.150345,0,0,0,8043750,0,0
0.151742,0,0,0,9445200,0,0
0.153183,0,0,0,9431850,0,0
0.154624,0,0,0,9513774,0,0
0.155931,0,0,0,8499120,0,0
0.157204,0,0,0,8383740,0,0
0.158471,0,0,0,8364576,0,0
0.159740,0,0,0,8373756,0,0
0.161007,0,0,0,8360406,0,0
0.162273,0,0,0,8350566,0,0
0.163540,0,0,0,8371308,0,0
0.164823,0,0,0,8464080,0,0
0.166090,0,0,0,8357886,0,0
0.167398,0,0,0,8650932,0,0
0.168667,0,0,0,8357970,0,0
0.169932,0,0,0,8350866,0,0
0.171197,0,0,0,8347680,0,0
0.172464,0,0,0,8347932,0,0
0.173726,0,0,0,8321268,0,0
0.174996,0,0,0,8387880,0,0
0.176258,0,0,0,8340558,0,0
0.177662,0,0,0,9483228,0,0
0.178984,0,0,0,8574366,0,0
0.180267,0,0,0,8419608,0,0
0.181540,0,0,0,8400114,0,0
0.182810,0,0,0,8376798,0,0
0.184241,0,0,0,9433926,0,0
0.185628,0,0,0,9158688,0,0
0.187721,0,0,0,14179704,0,0
0.189048,0,0,0,8385090,0,0
0.190311,0,0,0,8330430,0,0
0.191594,0,0,0,8485596,0,0
0.192861,0,0,0,8357604,0,0
0.194126,0,0,0,8347326,0,0
0.195432,0,0,0,8617830,0,0
0.196706,0,0,0,8403816,0,0
0.197970,0,0,0,8345658,0,0
0.199270,0,0,0,8578584,0,0
0.200574,0,0,0,8602800,0,0
0.201837,0,0,0,8338980,0,0
0.203101,0,0,0,8336760,0,0
0.204366,0,0,0,8354640,0,0
0.205638,0,0,0,8416206,0,0
0.206917,0,0,0,8425290,0,0
0.208184,0,0,0,8365044,0,0
0.209450,0,0,0,8350116,0,0
0.210715,0,0,0,8349198,0,0
0.211981,0,0,0,8366232,0,0
0.213247,0,0,0,8349204,0,0
0.214512,0,0,0,8350656,0,0
0.215815,0,0,0,8598738,0,0
0.217090,0,0,0,8411556,0,0
0.218355,0,0,0,8346186,0,0
0.219621,0,0,0,8360088,0,0
0.220886,0,0,0,8347062,0,0
0.222150,0,0,0,8348040,0,0
0.223415,0,0,0,8356230,0,0
0.224682,0,0,0,8350464,0,0
0.225947,0,0,0,8348646,0,0
0.227220,0,0,0,8403042,0,0
0.228485,0,0,0,8351568,0,0
0.229880,0,0,0,9352182,0,0
0.231351,0,0,0,9729108,0,0
0.232658,0,0,0,8484876,0,0
0.233930,0,0,0,8377416,0,0
0.235198,0,0,0,8361240,0,0
0.236466,0,0,0,8371860,0,0
0.237748,0,0,0,8453298,0,0
0.239013,0,0,0,8356536,0,0
0.240281,0,0,0,8368110,0,0
0.241547,0,0,0,8355246,0,0
0.242813,0,0,0,8351202,0,0
0.244080,0,0,0,8363418,0,0
0.245346,0,0,0,8355864,0,0
0.246611,0,0,0,8346978,0,0
0.247922,0,0,0,8661414,0,0
0.249189,0,0,0,8352246,0,0
0.250453,0,0,0,8347158,0,0
0.251721,0,0,0,8354094,0,0
0.252983,0,0,0,8843736,0,0
0.254926,0,0,0,12353508,0,0
0.256200,0,0,0,8379090,0,0
0.257596,0,0,0,9357168,0,0
0.259035,0,0,0,9500616,0,0
0.260339,0,0,0,8475126,0,0
0.261740,0,0,0,9368370,0,0
0.263040,0,0,0,8753190,0,0
0.264360,0,0,0,8406006,0,0
0.265629,0,0,0,8368212,0,0
0.266894,0,0,0,8349948,0,0
0.268161,0,0,0,8357622,0,0
0.269784,0,0,0,10731612,0,0
0.271052,0,0,0,8437698,0,0
0.272338,0,0,0,8418090,0,0
0.273607,0,0,0,8357976,0,0
0.274871,0,0,0,8342724,0,0
0.276138,0,0,0,8357988,0,0
0.277402,0,0,0,8346276,0,0
0.278667,0,0,0,8348220,0,0
0.279979,0,0,0,8665062,0,0
0.281245,0,0,0,8347158,0,0
0.282509,0,0,0,8430504,0,0
0.284364,0,0,0,18923160,0,0
0.286665,0,0,0,8456862,0,0
0.287936,0,0,0,8345676,0,0
0.289199,0,0,0,8338002,0,0
0.290471,0,0,0,8392902,0,0
0.291735,0,0,0,8354382,0,0
0.293001,0,0,0,8354700,0,0
0.294266,0,0,0,8343546,0,0
0.295570,0,0,0,8604990,0,0
0.296835,0,0,0,8349522,0,0
0.298099,0,0,0,8345298,0,0
0.299363,0,0,0,8353692,0,0
0.300639,0,0,0,8414214,0,0
0.301904,0,0,0,8351430,0,0
0.303170,0,0,0,8348220,0,0
0.304437,0,0,0,8360958,0,0
0.305702,0,0,0,8350500,0,0
0.306966,0,0,0,8347236,0,0
0.308231,0,0,0,8338794,0,0
0.309494,0,0,0,8340096,0,0
0.310766,0,0,0,8387394,0,0
0.312045,0,0,0,8640714,0,0
0.313355,0,0,0,8479578,0,0
0.314581,0,0,0,8065392,0,0
0.315871,0,0,0,8515374,0,0
0.317089,0,0,0,8031780,0,0
0.318304,0,0,0,8006868,0,0
0.319566,0,0,0,8754672,0,0
0.320901,0,0,0,8504850,0,0
0.322141,0,0,0,8097930,0,0
0.323363,0,0,0,8068530,0,0
0.324585,0,0,0,8041632,0,0
0.325800,0,0,0,8016168,0,0
0.327016,0,0,0,8022786,0,0
0.328273,0,0,0,8254116,0,0
0.329471,0,0,0,7908072,0,0
0.330669,0,0,0,7898880,0,0
0.331874,0,0,0,7942698,0,0
0.333068,0,0,0,7888644,0,0
0.334262,0,0,0,7876188,0,0
0.335469,0,0,0,8025060,0,0
0.336678,0,0,0,7952040,0,0
0.337879,0,0,0,7901796,0,0
0.339075,0,0,0,7896930,0,0
0.340272,0,0,0,7895118,0,0
0.341469,0,0,0,7899300,0,0
0.342673,0,0,0,7945494,0,0
0.343905,0,0,0,8001252,0,0
0.345057,0,0,0,7604052,0,0
0.346209,0,0,0,7606992,0,0
0.347361,0,0,0,7555152,0,0
0.348509,0,0,0,7624590,0,0
0.349662,0,0,0,7606632,0,0
0.350814,0,0,0,7607430,0,0
0.351967,0,0,0,7608744,0,0
0.353123,0,0,0,7631538,0,0
0.354276,0,0,0,7604856,0,0
0.355428,0,0,0,7672566,0,0
0.356591,0,0,0,7607934,0,0
0.357743,0,0,0,7615164,0,0
0.358954,0,0,0,7989684,0,0
0.360186,0,0,0,8336586,0,0
0.361408,0,0,0,7209402,0,0
0.362558,0,0,0,8475036,0,0
0.363803,0,0,0,8188746,0,0
0.365077,0,0,0,8400114,0,0
0.366299,0,0,0,8052090,0,0
0.367578,0,0,0,8447886,0,0
0.368806,0,0,0,7327692,0,0
0.369986,102,135,0,8674692,0,0
0.371235,0,0,0,8207208,0,0
0.372544,0,0,0,8593908,0,0
0.373776,0,0,0,8109294,0,0
0.375008,0,0,0,8128020,0,0
0.376242,0,0,0,8218260,0,0
0.377533,0,0,0,8456238,0,0
0.378804,0,0,0,8367060,0,0
0.380071,0,0,0,8355576,0,0
0.381338,1557,2016,0,8364744,0,0
0.382617,0,0,0,8452176,0,0
0.383885,0,0,0,8364912,0,0
0.385166,0,0,0,8004642,0,0
0.386434,0,0,0,7987890,0,0
0.387745,0,0,0,8254512,0,0
0.389013,0,0,0,7991676,0,0
0.390280,0,0,0,7992240,0,0
0.391550,0,0,0,7979682,0,0
0.392815,0,0,0,7980918,0,0
0.394080,0,0,0,7953180,0,0
0.395353,0,0,0,8363988,0,0
0.396671,0,0,0,7959834,0,0
0.397933,0,0,0,7954458,0,0
0.399196,0,0,0,7948338,0,0
0.400457,0,0,0,7944156,0,0
0.401718,0,0,0,7937130,0,0
0.402977,0,0,0,7934478,0,0
0.404236,0,0,0,7938492,0,0
0.405506,0,0,0,7992456,0,0
0.406765,0,0,0,7941006,0,0
0.408027,0,0,0,7944066,0,0
0.409291,0,0,0,7961070,0,0
0.410551,0,0,0,7949352,0,0
0.411891,0,0,0,8438670,0,0
0.413153,0,0,0,7951086,0,0
0.414414,0,0,0,7945110,0,0
0.415688,0,0,0,8037810,0,0
0.416954,0,0,0,7968924,0,0
0.418219,0,0,0,7979256,0,0
0.419488,0,0,0,7983444,0,0
0.420752,0,0,0,7965222,0,0
0.422017,0,0,0,7971930,0,0
0.423321,0,0,0,8235678,0,0
0.424589,0,0,0,7968660,0,0
0.425862,0,0,0,8028828,0,0
0.427128,0,0,0,7970820,0,0
0.428396,0,0,0,7982946,0,0
0.429661,0,0,0,7976646,0,0
0.430926,0,0,0,7966626,0,0
0.432193,0,0,0,7987068,0,0
0.433460,0,0,0,7971852,0,0
0.434724,0,0,0,7970664,0,0
0.436000,0,0,0,8035116,0,0
0.437266,0,0,0,7976442,0,0
0.438531,0,0,0,7969518,0,0
0.439832,0,0,0,8199774,0,0
