elapsed_s,VPC_FE_SP_COMPONENTS,VPC_FE_STALL_CYCLES_VPCRAM_POS,VPC_FE_VS_BUSY_CYCLES,VPC_FE_VS_WORKING_CYCLES,VPC_FE_NUM_VPCRAM_READ_POS,VPC_FE_WIT_FULL_CYCLES
0.001091,0,0,0,0,0,0
0.002588,0,0,0,0,0,0
0.003982,0,0,0,0,0,0
0.005344,0,0,0,0,0,0
0.006740,0,0,0,0,0,0
0.008102,0,0,0,0,0,0
0.009468,0,0,0,0,0,0
0.010820,0,0,0,0,0,0
0.012173,0,0,0,0,0,0
0.013524,0,0,0,0,0,0
0.014919,0,0,0,0,0,0
0.016271,0,0,0,0,0,0
0.017622,0,0,0,0,0,0
0.018972,0,0,0,0,0,0
0.020338,0,0,0,0,0,0
0.021687,0,0,0,0,0,0
0.023032,0,0,0,0,0,0
0.024355,0,0,0,0,0,0
0.025680,0,0,0,0,0,0
0.027003,0,0,0,0,0,0
0.028327,0,0,0,0,0,0
0.029651,0,0,0,0,0,0
0.030983,0,0,0,0,0,0
0.032307,0,0,0,0,0,0
0.033630,0,0,0,0,0,0
0.034953,0,0,0,0,0,0
0.036277,0,0,0,0,0,0
0.037602,0,0,0,0,0,0
0.038922,0,0,0,0,0,0
0.040230,0,0,0,0,0,0
0.041545,0,0,0,0,0,0
0.042852,0,0,0,0,0,0
0.044160,0,0,0,0,0,0
0.045465,0,0,0,0,0,0
0.046773,0,0,0,0,0,0
0.048082,0,0,0,0,0,0
0.049388,0,0,0,0,0,0
0.050694,0,0,0,0,0,0
0.052041,0,0,0,0,0,0
0.053459,0,0,0,0,0,0
0.054806,0,0,0,0,0,0
0.056113,0,0,0,0,0,0
0.057443,0,0,0,0,0,0
0.058762,0,0,0,0,0,0
0.060102,0,0,0,0,0,0
0.061411,0,0,0,0,0,0
0.062722,0,0,0,0,0,0
0.064025,0,0,0,0,0,0
0.065329,0,0,0,0,0,0
0.066633,0,0,0,0,0,0
0.067986,0,0,0,0,0,0
0.069301,0,0,0,0,0,0
0.070630,0,0,0,0,0,0
0.071963,0,0,0,0,0,0
0.073333,0,0,0,0,0,0
0.074686,0,0,0,0,0,0
0.076049,0,0,0,0,0,0
0.077396,0,0,0,0,0,0
0.078749,0,0,0,0,0,0
0.080102,0,0,0,0,0,0
0.081462,0,0,1758,315,0,0
0.082682,0,0,0,0,0,0
