elapsed_s,TP_PACKED_POINT_SINGLE_VALID_FP32,TP_TOTAL_DECOMP_L1_RESP_CH0,TP_TOTAL_DECOMP_L1_RESP_CH1,TP_L1POINT5_PRE_L1_DECOMP_0_WORKLOAD_R,TP_L1POINT5_PRE_L1_DECOMP_1_WORKLOAD_R,TP_L1POINT5_ASTC_DECODER_0_WORKLOAD_R,TP_L1POINT5_ASTC_DECODER_1_WORKLOAD_R,TP_PARTIAL_SURFACE_PGMEM_PIXELS,TP_PARTIAL_SURFACE_SYSMEM_PIXELS,TP_PARTIAL_SURFACE_PGMEM_MISS_REQ,TP_PARTIAL_SURFACE_SYSMEM_MISS_REQ
0.161736,0,0,0,0,0,0,0,0,0,0,0
0.163339,0,0,0,0,0,0,0,0,0,0,0
0.164926,0,0,0,0,0,0,0,0,0,0,0
0.166440,0,0,0,0,0,0,0,0,0,0,0
0.168022,0,0,0,0,0,0,0,0,0,0,0
0.169613,0,0,0,0,0,0,0,0,0,0,0
0.171204,0,0,0,0,0,0,0,0,0,0,0
0.172792,0,0,0,0,0,0,0,0,0,0,0
0.174854,0,0,0,0,0,0,0,0,0,0,0
0.177002,0,0,0,0,0,0,0,0,0,0,0
0.179057,0,0,0,0,0,0,0,0,0,0,0
0.180554,0,0,0,0,0,0,0,0,0,0,0
0.181989,0,0,0,0,0,0,0,0,0,0,0
0.183413,0,0,0,0,0,0,0,0,0,0,0
0.184852,0,0,0,0,0,0,0,0,0,0,0
0.186270,0,0,0,0,0,0,0,0,0,0,0
0.187690,0,0,0,0,0,0,0,0,0,0,0
0.189142,0,0,0,0,0,0,0,0,0,0,0
0.190561,0,0,0,0,0,0,0,0,0,0,0
0.191979,0,0,0,0,0,0,0,0,0,0,0
0.193424,0,0,0,0,0,0,0,0,0,0,0
0.194898,0,0,0,0,0,0,0,0,0,0,0
0.196274,0,0,0,0,0,0,0,0,0,0,0
0.197740,0,0,0,0,0,0,0,0,0,0,0
0.199111,0,0,0,0,0,0,0,0,0,0,0
0.200478,0,0,0,0,0,0,0,0,0,0,0
0.201894,0,0,0,0,0,0,0,0,0,0,0
0.203300,0,0,0,0,0,0,0,0,0,0,0
0.204668,0,0,0,0,0,0,0,0,0,0,0
0.206101,0,0,0,0,0,0,0,0,0,0,0
0.207469,0,0,0,0,0,0,0,0,0,0,0
0.209017,0,0,0,0,0,0,0,0,0,0,0
0.210492,0,0,0,0,0,0,0,0,0,0,0
0.211874,0,0,0,0,0,0,0,0,0,0,0
0.213307,0,0,0,0,0,0,0,0,0,0,0
0.214666,0,0,0,0,0,0,0,0,0,0,0
0.216009,0,0,0,0,0,0,0,0,0,0,0
0.217360,0,0,0,0,0,0,0,0,0,0,0
0.218716,0,0,0,0,0,0,0,0,0,0,0
0.220067,0,0,0,0,0,0,0,0,0,0,0
0.221414,0,0,0,0,0,0,0,0,0,0,0
0.222761,0,0,0,0,0,0,0,0,0,0,0
0.224106,0,0,0,0,0,0,0,0,0,0,0
0.225452,0,0,0,0,0,0,0,0,0,0,0
0.226804,0,0,0,0,0,0,0,0,0,0,0
0.228158,0,0,0,0,0,0,0,0,0,0,0
0.229502,0,0,0,0,0,0,0,0,0,0,0
0.230832,0,0,0,0,0,0,0,0,0,0,0
0.232162,0,0,0,0,0,0,0,0,0,0,0
0.233490,0,0,0,0,0,0,0,0,0,0,0
0.234818,0,0,0,0,0,0,0,0,0,0,0
0.236147,0,0,0,0,0,0,0,0,0,0,0
0.237475,0,0,0,0,0,0,0,0,0,0,0
0.238817,0,0,0,0,0,0,0,0,0,0,0
0.240144,0,0,0,0,0,0,0,0,0,0,0
0.241471,0,0,0,0,0,0,0,0,0,0,0
0.242799,0,0,0,0,0,0,0,0,0,0,0
0.244127,0,0,0,0,0,0,0,0,0,0,0
0.245522,0,0,0,0,0,0,0,0,0,0,0
0.246917,0,0,0,0,0,0,0,0,0,0,0
0.248313,0,0,0,0,0,0,0,0,0,0,0
0.249596,0,0,0,0,0,0,0,0,0,0,0
0.250983,0,0,0,0,0,0,0,0,0,0,0
0.252369,0,0,0,0,0,0,0,0,0,0,0
0.253806,0,0,0,0,0,0,0,0,0,0,0
0.255204,0,0,0,0,0,0,0,0,0,0,0
0.256657,0,0,0,0,0,0,0,0,0,0,0
0.258047,0,0,0,0,0,0,0,0,0,0,0
0.259435,0,0,0,0,0,0,0,0,0,0,0
0.260838,0,0,0,0,0,0,0,0,0,0,0
0.262275,0,0,0,0,0,0,0,0,0,0,0
0.263722,0,0,0,0,0,0,0,0,0,0,0
0.265136,0,0,0,0,0,0,0,0,0,0,0
