elapsed_s,SP_LB_READ_ALU_BLOCK_OTHER,SP_LB_WRITE_XFER_VPC,SP_LB_WRITE_VPC_BLOCK_OTHER,SP_LB_LDST_RW_LM,SP_LB_LDST_RW_LM_BLOCKED,SP_LB_LDST_WRITE_CONS,SP_LB_LDST_WRITE_CONS_BLOCKED,SP_GPR_READ_BANK,SP_GPR_WRITE_BANK,SP_VS_WAVE_REQ_PENDING,SP_FS_WAVE_REQ_PENDING,SP_LPAC_WAVE_REQ_PENDING,SP_WAVE_SPLIT_CNT,SP_FS_OOO_WAVE_ACC,SP_SCH_MEM_CTRL_WORKING_CYCLES,SP_LDST_EXECUTION_CYCLES,SP_CCHE_UAV_TOTAL_ATOM_REQ,SP_CCHE_NONUAV_TOTAL_AOM_REQ,SP_TTU_INSTRUCTIONS,SP_TTU_ACTIVE_FIBERS,SP_TTU_BUSY_CYCLES,SP_TTU_GPR_RD_CYCLES,SP_TTU_GPR_RD_REQ,SP_TTU_GPR_WR_CYCLES
0.079204,41209,0,0,5781661,37777,0,0,24826984,16746587,0,12851890,0,0,0,12941030,533018,78246138,3283623,13257151,6274320,37851,1449131,12429000,29249476
0.080508,41744,0,0,5830371,38051,0,0,24950408,16739531,0,12379409,0,0,0,12523895,534578,78614559,3303101,13303160,6299879,38618,1479013,12969278,29986006
0.081812,42889,0,0,6021644,39517,0,0,25486352,17060161,0,12444465,0,0,0,12565242,545856,80129562,3364882,13134960,6427509,38995,1496504,12530895,30267176
0.083118,42686,0,0,5990114,39395,0,0,25769964,17327032,0,12621294,0,0,0,12606708,546088,80346779,3379593,13178310,6453807,39247,1500161,12571831,30376967
0.084475,44658,0,0,6234145,40794,0,0,26385548,17720416,0,12988836,0,0,0,13247625,571579,83842564,3517785,13830480,6713558,40932,1563073,13214159,31633367
0.085780,42674,0,0,5988040,39397,0,0,25813856,17297992,0,12544278,0,0,0,12605646,546455,80442834,3383224,13179254,6449681,39347,1502440,12573519,30378483
0.087153,44641,0,0,6243638,40694,0,0,26560372,17844209,0,13216658,0,0,0,13409235,574466,84286726,3538482,14000005,6758758,41262,1575722,13410062,31864323
0.088465,43440,0,0,6091907,39891,0,0,25927520,17397467,0,12580757,0,0,0,12694437,554878,81547319,3423651,13259390,6533196,39644,1520979,12623491,30735670
0.089822,44812,0,0,6298144,41371,0,0,27196600,18250924,0,13284237,0,0,0,13411543,581169,85605848,3597840,13909545,6876906,41800,1595896,13015192,32107768
0.091141,43780,0,0,6124754,40240,0,0,26081524,17482749,0,12582072,0,0,0,12703356,557476,81801305,3434159,13274691,6537024,39860,1526624,12673793,30893246
0.092469,44665,0,0,6264008,41023,0,0,26748400,17949377,0,12981940,0,0,0,12864314,571104,83691042,3503303,13358549,6683264,40624,1556405,12974446,31701210
0.093849,45505,0,0,6363731,41665,0,0,26933476,18084732,0,12824406,0,0,0,13195410,579642,85324265,3594966,13994430,6871427,41818,1599085,13369690,32294716
0.095409,87752,0,0,12332465,80820,0,0,52967000,35519060,0,25746554,0,0,0,25993527,1132371,166379557,6989190,27153792,13339958,81093,3104647,25841109,62810307
0.097875,45732,0,0,6386930,41933,0,0,27241016,18293526,0,13182160,0,0,0,13056132,580989,85125047,3569163,13499587,6810550,41357,1586092,12925460,32119971
0.099230,45370,0,0,6378513,41513,0,0,26985084,18101944,0,12752423,0,0,0,13135646,580417,85533391,3603601,13900925,6876175,41929,1600449,13277037,32348596
0.100585,45325,0,0,6334986,41801,0,0,27318940,18335793,0,13184928,0,0,0,13310139,584419,85829917,3603782,13771929,6880581,41857,1598679,12880155,32107410
0.101939,50621,0,0,7085623,46493,0,0,30256356,20277393,0,14199162,0,0,0,14277386,641756,94488773,3970783,15092152,7573867,46171,1766443,14640946,35965701
0.103440,45590,0,0,6406443,41947,0,0,27370252,18388218,0,13292861,0,0,0,13487972,591802,86828495,3643624,14067868,6957944,42385,1621308,13201433,32725657
0.104768,44231,0,0,6192700,40527,0,0,26445284,17745057,0,12663338,0,0,0,12786112,565902,83086184,3492237,13179340,6667103,40374,1540856,12525178,31106858
0.106078,43983,0,0,6152310,40401,0,0,26285868,17623831,0,12591565,0,0,0,12617935,561052,82624791,3472351,13170685,6580783,40134,1537277,12678224,31199893
0.107388,44686,0,0,6288292,41246,0,0,26891292,18042858,0,12596552,0,0,0,12693243,570759,83889148,3524405,13532680,6769321,41323,1580917,13033606,31998846
0.108771,45321,0,0,6344853,41538,0,0,27079240,18180674,0,13054110,0,0,0,13307629,585933,85947559,3606128,13897539,6881102,41984,1602900,13251669,32394868
0.110123,45707,0,0,6388258,42071,0,0,27265176,18293210,0,13159135,0,0,0,13069218,582696,85483779,3582368,13432738,6805639,41367,1584941,12790462,32095057
0.111477,45716,0,0,6390119,41750,0,0,27034012,18139756,0,12685115,0,0,0,13029650,580094,85379329,3595945,13878668,6891235,42138,1605638,13260182,32409038
0.112828,44999,0,0,6324650,41502,0,0,27268780,18294593,0,13120493,0,0,0,13247939,582383,85561798,3597334,13788686,6865745,41716,1596548,12904657,32214586
0.114288,37814,0,0,5229994,34148,0,0,21891820,14592050,0,10121746,0,0,0,9964850,449554,65795662,2749301,10241057,5194441,31485,1196394,9730697,24055489
0.115703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.117201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.118697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.120311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.121805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.123298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.124847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.126357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.127855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.129356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.130855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.132438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.133926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.136490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.137988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.139629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.141138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.142618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.144068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.145513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.146959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.148487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.149977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.151467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.152924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.154380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.155875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.157372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.160429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.161923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.163759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.165255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.166750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.168317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.169821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.171319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.172816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.174311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.175809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.177273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.178895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.180576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.182235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.183897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.185557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.187221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.188926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.190599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.192259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.193921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.195627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.197287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.198947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.200626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.202285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.203990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.205652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.207693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.209308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
