elapsed_s,ALWAYSON
0.001167,49089
0.002610,26410
0.003963,26665
0.005349,27062
0.006806,27506
0.008189,26534
0.009571,25873
0.011186,34648
0.013042,32805
0.014662,31086
0.016055,26674
0.017459,28290
0.018943,28115
0.020353,26362
0.021862,29260
0.023244,26010
0.024590,25845
0.025932,25788
0.027273,25720
0.028612,25692
0.030027,28002
0.031429,26183
0.032795,26284
0.034200,26843
0.035541,25722
0.036879,25699
0.038212,25338
0.039529,25302
0.040898,26312
0.042218,25277
0.043544,25463
0.044859,25247
0.046175,25283
0.047492,25307
0.048810,25297
0.050127,25292
0.051444,25285
0.052761,25317
0.054190,29015
0.055569,26403
0.056944,24233
0.058256,25179
0.059522,24317
0.060784,24230
0.062093,24971
0.063334,23822
0.064578,23881
0.065869,24795
0.067110,23823
0.068352,23839
0.069642,25095
0.070900,25149
0.072315,26985
0.073752,28711
0.075542,34738
0.077012,26761
0.078401,26723
0.079789,26342
0.081156,27418
0.082592,76250
0.086609,31597
0.088173,25900
0.089510,25580
0.090840,25475
0.092167,25474
0.093491,26659
0.094901,26058
0.096240,25474
0.097586,25830
0.098906,25266
0.100238,23091
0.101457,23435
0.102701,23984
0.103932,23523
0.105154,23455
0.106376,23467
0.107597,23446
0.108818,23421
0.110670,37154
0.112093,31127
0.113598,23568
0.114824,23503
0.116047,23481
0.117270,23538
0.118548,24500
0.119772,23472
0.120995,23485
0.122219,23500
0.123480,24232
0.124703,23456
0.126057,26465
0.127317,23793
0.128545,23538
0.129772,23553
0.130995,23486
0.132218,23459
0.133443,23519
0.134709,24310
0.135931,23461
0.137153,23470
0.138626,30844
0.139996,26312
0.141602,30432
0.142955,28157
0.144419,26268
0.145787,26496
0.147175,26475
0.148546,26275
0.149980,27518
0.151346,26113
0.152704,26117
0.154148,75786
0.160966,82902
0.163119,41342
0.164483,26156
0.165891,27029
0.167389,29548
0.168762,25670
0.170087,25403
0.171408,25361
0.172743,25614
0.174065,25384
0.175383,25296
0.176700,25271
0.178018,25332
0.179336,25279
0.180652,25274
0.182103,28580
0.183660,29660
0.185188,29426
0.186722,29355
0.188126,26561
0.189627,29231
0.191157,29370
0.192686,29341
0.194106,26865
0.195929,35480
0.197464,30216
0.199036,29367
0.200565,29377
0.202098,29417
0.203629,29395
0.205172,29724
0.206708,29391
0.208237,29350
0.209769,29408
0.211299,29387
0.212828,29354
0.214402,30234
0.215946,29662
0.217479,29419
0.219010,29382
0.220539,29346
0.222070,29389
0.223600,29387
0.225129,29433
0.226685,30033
0.228107,26744
0.229624,31667
0.231141,26603
0.232622,30303
0.234094,28102
0.235559,26270
0.237649,40949
0.239060,26210
0.240422,27990
0.241882,26280
0.243249,26171
0.244610,26117
0.246010,26999
0.247390,26449
0.248756,26230
0.250124,26282
0.251617,29128
0.253146,29443
0.254682,29408
0.256213,29391
0.257759,29692
0.259291,29417
0.260822,29359
0.262395,30256
0.263929,29417
0.265463,29478
0.266996,29423
0.268416,26848
0.269921,29335
0.271455,29408
0.272985,29393
0.274518,29427
0.276050,29421
0.277584,29484
0.279131,29687
0.280662,29378
0.282195,29454
0.283728,29423
0.285259,29479
0.286796,29401
0.288326,29385
0.289872,29702
0.291404,29405
0.292935,29395
0.294511,30278
0.296044,29417
0.297578,29448
0.299110,29413
0.300654,29657
0.302188,29456
0.303721,29431
0.305252,29468
0.306788,29421
0.308319,29384
0.309897,30299
0.311443,29691
0.312974,29391
0.314507,29438
0.316039,29408
0.317573,29447
0.319104,29417
0.320636,29379
0.322182,29694
0.323714,29415
0.325244,29488
0.326782,29429
0.328313,29378
0.329846,29455
0.331378,29409
0.332922,29651
0.334455,29424
0.335986,29388
0.337519,29455
0.339052,29415
0.340583,29387
0.342160,30289
0.343705,29669
0.345236,29474
0.346772,29412
0.348303,29375
0.349836,29442
0.351368,29412
0.352898,29391
0.354443,29669
0.355975,29400
0.357508,30290
0.359086,29439
0.360616,29376
0.362150,29459
0.363682,29394
0.365225,29727
0.366761,29383
0.368291,29374
0.369822,29415
0.371353,29379
0.372881,29361
0.374457,30260
0.376002,29640
0.377534,29427
0.379065,29400
0.380595,29367
0.382128,29427
0.383658,29386
0.385188,29445
0.386735,29638
0.388265,29359
0.389841,30273
0.391372,29398
0.392902,29359
0.394433,29398
0.395964,29393
0.397510,29695
0.399042,29405
0.400571,29348
0.402103,29431
0.403634,29404
0.405165,29439
0.406747,30316
0.408290,29617
0.409822,29455
0.411355,29391
0.412883,29345
0.414414,29398
0.415945,29406
0.417478,29429
0.419021,29634
0.420551,29366
0.422127,30288
0.423660,29406
0.425190,29411
0.426722,29379
0.428252,29365
0.429798,29690
0.431329,29397
0.432859,29354
0.434389,29408
0.435920,29380
0.437452,29399
0.438981,29361
0.440522,29558
0.441926,26715
0.443435,29272
0.444965,29393
0.446498,29422
0.448029,29387
0.449562,29452
0.451107,29652
0.452638,29391
0.454214,30283
0.455747,29409
0.457277,29472
0.458813,29397
0.460345,29404
0.461890,29690
0.463423,29417
0.464952,29364
0.466485,29426
0.468016,29412
0.469550,30303
0.471127,29413
0.472670,29631
0.474204,29467
0.475737,29404
0.477267,29473
0.478803,29397
0.480333,29383
0.481865,29438
0.483410,29649
0.484940,29373
0.486514,30248
0.488047,29405
0.489580,29425
0.491111,29410
0.492642,29375
0.494189,29730
0.495721,29391
0.497251,29469
0.498787,29412
0.500317,29378
0.501895,30307
0.503427,29398
0.504971,29655
0.506503,29337
0.508027,29257
0.509738,32593
0.511129,27111
0.512534,26444
0.513905,26311
0.515282,26429
0.516648,26205
0.518057,27089
0.519423,26207
0.520916,29132
0.522447,29397
0.523990,29870
0.525517,28831
0.527031,29338
0.528562,29388
0.531031,48014
0.532467,26582
0.533884,27065
0.535373,29005
0.536907,29429
0.538303,26421
0.539795,29047
0.541316,30668
0.542796,26697
0.544172,26264
0.545539,26295
0.546918,26472
0.548284,26217
0.549651,27076
0.551060,26206
0.552552,29100
0.554082,29372
0.555610,29330
0.557149,29660
0.558682,29334
0.560209,29305
0.561739,29390
0.563267,29326
0.564793,29300
0.566365,30210
0.567907,29597
0.569437,29380
0.570966,29346
0.572493,29290
0.574022,29382
0.575550,29344
0.577077,30732
0.578555,26565
0.580053,29157
0.581583,29404
0.583113,29337
0.584639,29290
0.586168,29385
0.587697,29330
0.589114,26906
0.590618,29194
0.592145,29318
0.593675,29377
0.595204,29334
0.596730,29315
0.598302,30207
0.599844,29593
0.601444,31889
0.603292,34500
0.604706,26560
0.606078,26329
0.607576,29162
0.609104,29416
0.610649,29604
0.612177,29318
0.613707,30262
0.615281,29360
0.616809,29325
0.618339,29379
0.619868,29369
0.621413,29668
0.622942,29349
0.624470,29320
0.626001,29396
0.627530,29357
0.629057,29326
0.630533,27954
0.632042,29346
0.633573,29403
0.635101,29361
0.636630,29345
0.638161,29390
0.639690,29357
0.641218,31275
0.642742,27037
0.644366,32076
0.645847,27795
0.647240,26373
0.648610,26344
0.649984,26328
0.651352,26245
0.652729,26451
0.654225,29155
0.655755,29369
0.657283,29421
0.658816,29336
0.660343,29321
0.661917,30248
0.663461,29621
0.664988,29320
0.666517,29372
0.668046,29356
0.669577,29409
0.671107,29854
0.672544,26810
0.673943,26747
0.675315,26304
0.676682,26236
0.678092,27103
0.679460,26237
0.680954,29101
0.682482,29380
0.684012,29357
0.685556,29643
0.687085,29337
0.688612,29321
0.690142,29406
0.691672,29357
0.693735,38804
0.695098,26649
0.696482,26473
0.697981,29248
0.699512,29386
0.701041,29343
0.702447,26614
0.703824,26402
0.705193,26365
0.706578,26491
0.707945,26233
0.709310,26269
0.710726,27165
0.712093,26216
0.713590,29156
0.715116,29330
0.716644,29341
0.718187,29651
0.719719,29381
0.721247,29437
0.722782,29391
0.724311,29346
0.725886,30258
0.727417,29377
0.728959,29612
0.730489,29284
0.732010,29217
0.733704,32010
0.735079,26632
0.736453,26294
0.737952,29224
0.739494,29621
0.741023,29344
0.742597,30248
0.744129,29381
0.745661,29415
0.747191,29361
0.748719,29349
0.750262,29632
0.751792,29369
0.753320,30189
0.754895,29398
0.756424,29367
0.758000,30246
0.759530,29373
0.761072,30602
0.762656,29418
0.764184,29349
0.765717,29442
0.767247,29333
0.768773,29298
0.770301,29349
0.771842,29584
0.773449,30336
0.774825,26567
0.776196,26255
0.777693,29174
0.779221,29358
0.780749,29328
0.782292,29629
0.783820,29342
0.785348,30336
0.786929,29341
0.788456,29311
0.790029,30236
0.791559,29339
0.793100,29666
0.794632,29306
0.796157,29325
0.797687,29370
0.799215,29351
0.800743,29314
0.802272,29366
0.803812,29562
0.805339,30160
0.806911,29367
0.808439,29326
0.809969,29381
0.811498,29353
0.813025,29313
0.814439,26756
0.815939,29193
0.817469,29378
0.818997,29334
0.820562,30038
0.822136,30227
0.823665,29360
0.825205,30065
0.826759,29336
0.828286,29330
0.829817,29377
0.831245,27421
0.832771,29325
0.834300,29337
0.835840,29568
0.837422,30322
0.838948,29344
0.840474,29309
0.842013,30699
0.843484,26859
0.844865,26361
0.846375,29431
0.847907,29361
0.849438,29424
0.850969,29388
0.852498,29338
0.854073,30276
0.855603,29323
0.857158,30696
0.858696,28563
0.860087,26474
0.861461,26367
0.862831,26274
0.864198,26252
0.865566,26264
0.866933,26223
0.868437,29334
0.870011,30234
0.871542,29398
0.873340,35189
0.875438,40821
0.877530,38754
0.878930,26570
0.880294,26194
0.882279,39891
0.883741,26396
0.885109,27595
0.886590,27000
0.887952,26131
0.889323,26515
0.890695,26167
0.892057,26125
0.893443,26879
0.894818,26141
0.896178,26099
0.897692,29180
0.899060,26269
0.900437,26418
0.901842,26988
0.903210,26269
0.904577,26231
0.905946,26294
0.907313,26241
0.908679,26215
0.910178,29235
0.911598,26880
0.913101,29322
0.914636,29398
0.916166,29365
0.917699,30227
0.919266,29197
0.920786,29193
0.922204,26913
0.923706,29219
0.925235,29436
0.926769,29371
0.928297,29340
0.929828,29394
0.931358,29372
0.932898,29600
0.934474,30259
0.936005,29367
0.937537,29414
0.939067,29387
0.940596,29350
0.942127,29399
0.943547,26877
0.945048,29209
0.946533,28141
0.948035,29219
0.949567,30247
0.951142,29397
0.952671,29353
0.954214,29644
0.955745,29388
0.957275,29467
0.958811,29375
0.960339,29346
0.961870,29414
0.963401,29386
0.964943,29607
0.966517,30255
0.968050,29386
0.969582,29431
0.971113,29374
0.972641,29352
0.974173,29425
0.975718,29649
0.977247,29455
0.978782,29380
0.980311,29359
0.981887,30271
0.983418,29394
0.984948,29363
0.986492,29632
0.988021,29378
0.989553,29414
0.991083,32141
0.992631,26597
0.994006,26315
0.995515,32054
0.997120,29450
0.998589,26574
1.000092,29238
1.001637,29676
1.003171,29465
1.004705,29449
1.006240,29483
1.007789,29720
1.009322,30292
1.010900,29437
1.012433,29429
1.014013,30362
1.015548,29455
1.017081,30462
1.018682,29633
1.020207,29267
1.021609,27228
1.023150,29335
1.024680,29393
1.026214,29459
1.027751,29491
1.029294,29744
1.030833,29448
1.032365,29406
1.033898,29424
1.035442,29940
1.036870,26852
1.038255,26472
1.039770,29489
1.041302,29472
1.042805,28579
1.044318,29266
1.045896,30301
1.047429,29429
1.048960,29385
1.050377,26786
1.051875,29138
1.053457,31170
1.054904,26674
1.056278,26316
1.057779,30654
1.059970,40780
1.061428,27585
1.062811,26432
1.064182,26311
1.065553,26329
1.066923,26289
1.068291,26269
1.069659,26259
1.071156,29176
1.072707,29784
1.074239,29401
1.075769,29373
