elapsed_s,TSE_FE_BR_STALLS_DUETO_BV_CLIP,TSE_FE_BR_STALLS_DUETO_BV_POLY,TSE_FE_BV_STALLS_DUETO_BR_CLIP,TSE_FE_BV_STALLS_DUETO_BR_POLY
0.347215,0,0,0,0
0.348510,0,0,0,0
0.349806,0,0,0,0
0.351100,0,0,0,0
0.352425,0,0,0,0
0.353722,0,0,0,0
0.355093,0,0,0,0
0.356416,0,0,0,0
0.357711,0,0,0,0
0.359051,0,0,0,0
0.360344,0,0,0,0
0.361635,0,0,0,0
0.362983,0,0,0,0
0.364344,0,0,0,0
0.365707,0,0,0,0
0.367009,0,0,0,0
0.368370,0,0,0,0
0.369729,0,0,0,0
0.371137,0,0,0,0
0.372497,0,0,0,0
0.373861,0,0,0,0
0.375182,0,0,0,0
0.376555,0,0,0,0
0.377917,0,0,0,0
0.379713,0,0,0,0
0.381127,0,0,0,0
0.382525,0,0,0,0
0.383911,0,0,0,0
0.385298,0,0,0,0
0.386715,0,0,0,0
0.388148,0,0,0,0
0.389531,0,0,0,0
0.390954,0,0,0,0
0.392388,0,0,0,0
0.393768,0,0,0,0
0.395245,0,0,0,0
0.396672,0,0,0,0
0.397915,0,0,0,0
0.399300,0,0,0,0
0.400684,0,0,0,0
0.402069,0,0,0,0
0.403453,0,0,0,0
0.404838,0,0,0,0
0.406222,0,0,0,0
0.407616,0,0,0,0
0.409002,0,0,0,0
0.410385,0,0,0,0
0.412004,0,0,0,0
0.413384,0,0,0,0
0.414762,0,0,0,0
0.418948,0,0,0,0
0.420342,0,0,0,0
0.421723,0,0,0,0
0.423795,0,0,0,0
0.425185,0,0,0,0
0.426570,0,0,0,0
0.428008,0,0,0,0
0.429387,0,0,0,0
0.430784,0,0,0,0
0.432171,0,0,0,0
0.433530,0,0,0,0
0.434871,0,0,0,0
0.436294,0,0,0,0
0.437632,0,0,0,0
0.438970,0,0,0,0
0.440308,0,0,0,0
0.441662,0,0,0,0
0.443021,0,0,0,0
0.444407,0,0,0,0
0.445790,0,0,0,0
0.447177,0,0,0,0
0.448689,0,0,0,0
0.450235,0,0,0,0
0.451783,0,0,0,0
0.453345,0,0,0,0
0.454960,0,0,0,0
0.456571,0,0,0,0
0.458118,0,0,0,0
0.459670,0,0,0,0
0.461218,0,0,0,0
0.462765,0,0,0,0
0.464332,0,0,0,0
0.465877,0,0,0,0
0.467426,0,0,0,0
0.468975,0,0,0,0
0.470521,0,0,0,0
0.471941,0,0,0,0
0.473459,0,0,0,0
0.475062,0,0,0,0
0.476611,0,0,0,0
0.478157,0,0,0,0
0.479705,0,0,0,0
0.481135,0,0,0,0
0.482658,0,0,0,0
0.484211,0,0,0,0
0.485650,0,0,0,0
0.487174,0,0,0,0
0.488722,0,0,0,0
0.490272,0,0,0,0
0.491821,0,0,0,0
0.493370,0,0,0,0
0.494921,0,0,0,0
0.496477,0,0,0,0
0.498018,0,0,0,0
0.499434,0,0,0,0
0.500991,0,0,0,0
0.502537,0,0,0,0
0.504137,0,0,0,0
0.505683,0,0,0,0
0.507287,0,0,0,0
0.508836,0,0,0,0
0.510383,0,0,0,0
0.511931,0,0,0,0
0.513480,0,0,0,0
0.515028,0,0,0,0
0.516577,0,0,0,0
0.518136,0,0,0,0
0.519686,0,0,0,0
0.521235,0,0,0,0
0.522824,0,0,0,0
0.524372,0,0,0,0
0.525918,0,0,0,0
0.527467,0,0,0,0
0.529028,0,0,0,0
0.530574,0,0,0,0
0.532066,0,0,0,0
0.533583,0,0,0,0
0.535132,0,0,0,0
0.536556,0,0,0,0
0.538074,0,0,0,0
0.539507,0,0,0,0
0.541029,0,0,0,0
0.542578,0,0,0,0
0.544181,0,0,0,0
0.546044,0,0,0,0
0.547468,0,0,0,0
0.548861,0,0,0,0
0.550262,0,0,0,0
0.551651,0,0,0,0
0.553037,0,0,0,0
0.554423,0,0,0,0
0.555859,0,0,0,0
0.557402,0,0,0,0
0.558944,0,0,0,0
0.560509,0,0,0,0
0.562058,0,0,0,0
0.563610,0,0,0,0
0.565160,0,0,0,0
0.566707,0,0,0,0
0.568284,0,0,0,0
0.569831,0,0,0,0
0.571439,0,0,0,0
0.572990,0,0,0,0
0.574537,0,0,0,0
0.576025,0,0,0,0
0.577545,0,0,0,0
0.579098,0,0,0,0
0.580649,0,0,0,0
0.582209,0,0,0,0
0.583757,0,0,0,0
0.585307,0,0,0,0
0.586970,0,0,0,0
0.588583,0,0,0,0
0.590131,0,0,0,0
0.591682,0,0,0,0
0.593235,0,0,0,0
0.594775,0,0,0,0
0.596342,0,0,0,0
0.597889,0,0,0,0
0.599440,0,0,0,0
0.602097,0,0,0,0
0.603548,0,0,0,0
0.604934,0,0,0,0
0.606315,0,0,0,0
0.607695,0,0,0,0
0.609073,0,0,0,0
0.610480,0,0,0,0
0.611858,0,0,0,0
0.613205,0,0,0,0
0.614565,0,0,0,0
0.615951,0,0,0,0
0.617293,0,0,0,0
0.618671,0,0,0,0
0.620008,0,0,0,0
0.621338,0,0,0,0
0.622670,0,0,0,0
0.624027,0,0,0,0
0.625374,0,0,0,0
0.626710,0,0,0,0
0.628048,0,0,0,0
0.629383,0,0,0,0
0.630717,0,0,0,0
0.632063,0,0,0,0
0.633397,0,0,0,0
0.634780,0,0,0,0
0.636104,0,0,0,0
0.637415,0,0,0,0
0.638725,0,0,0,0
0.640038,0,0,0,0
0.641348,0,0,0,0
0.642657,0,0,0,0
0.643967,0,0,0,0
0.645276,0,0,0,0
0.646594,0,0,0,0
0.647934,0,0,0,0
0.649246,0,0,0,0
0.650558,0,0,0,0
0.651869,0,0,0,0
0.653230,0,0,0,0
0.654590,0,0,0,0
0.655963,0,0,0,0
0.657376,0,0,0,0
0.658736,0,0,0,0
0.660097,0,0,0,0
0.661457,0,0,0,0
0.662817,0,0,0,0
0.664233,0,0,0,0
0.665654,0,0,0,0
0.667060,0,0,0,0
0.668492,0,0,0,0
0.669889,0,0,0,0
0.672229,0,0,0,0
0.673809,0,0,0,0
0.675217,0,0,0,0
0.676622,0,0,0,0
0.678007,0,0,0,0
0.679400,0,0,0,0
0.681977,0,0,0,0
0.683361,0,0,0,0
0.684744,0,0,0,0
0.686129,0,0,0,0
0.687411,0,0,0,0
0.688873,0,0,0,0
