elapsed_s,RAS_STGEN_BOTTLENECK_CYCLES,RAS_MTGEN_BOTTLENECK_CYCLES,RAS_TGEN_BOTTLENECK_CYCLES
0.001126,0,0,0
0.003341,0,0,0
0.004839,0,0,0
0.006248,0,0,0
0.007654,0,0,0
0.009072,0,0,0
0.010478,0,0,0
0.011903,0,0,0
0.013308,0,0,0
0.014709,0,0,0
0.016114,0,0,0
0.017524,0,0,0
0.018955,0,0,0
0.020447,0,0,0
0.021831,0,0,0
0.023215,0,0,0
0.024599,0,0,0
0.025983,0,0,0
0.027367,0,0,0
0.028750,0,0,0
0.030137,0,0,0
0.032317,0,0,0
0.033779,0,0,0
0.035210,0,0,0
0.036549,0,0,0
0.037882,0,0,0
0.039213,0,0,0
0.040546,0,0,0
0.041889,0,0,0
0.043220,0,0,0
0.044552,0,0,0
0.045883,0,0,0
0.047215,0,0,0
0.048547,0,0,0
0.049879,0,0,0
0.051235,0,0,0
0.052576,0,0,0
0.054021,0,0,0
0.055370,0,0,0
0.056749,0,0,0
0.058253,0,0,0
0.059614,0,0,0
0.061000,0,0,0
0.062368,0,0,0
0.063782,0,0,0
0.065122,0,0,0
0.066461,0,0,0
0.067820,0,0,0
0.069256,24,0,0
0.070755,0,0,0
0.072144,0,0,0
0.073522,0,0,0
0.074935,0,0,0
0.076358,0,0,0
0.077734,0,0,0
0.079110,54,0,0
0.080693,270,0,0
0.081928,270,0,0
0.084216,498,0,0
0.085452,270,0,0
0.086721,276,0,0
0.087973,270,0,0
0.089213,270,0,0
0.090448,264,0,0
0.091810,300,0,0
0.093045,270,0,0
0.094280,132,0,0
0.095658,0,0,0
0.097107,0,0,0
0.098487,0,0,0
0.099910,0,0,0
0.101287,0,0,0
0.102702,0,0,0
0.104133,0,0,0
0.105521,0,0,0
0.106919,0,0,0
0.108297,0,0,0
0.109674,0,0,0
0.111516,0,0,0
0.112893,0,0,0
0.114271,0,0,0
0.115660,0,0,0
0.117036,0,0,0
0.118412,0,0,0
0.122715,0,0,0
0.124093,0,0,0
0.125472,0,0,0
0.126863,0,0,0
0.128237,0,0,0
0.129738,0,0,0
0.131284,0,0,0
0.132668,0,0,0
0.134007,0,0,0
0.135342,0,0,0
0.136674,0,0,0
0.138021,0,0,0
0.139354,0,0,0
0.140687,0,0,0
0.142019,0,0,0
0.143350,0,0,0
0.144682,0,0,0
0.146015,0,0,0
0.147478,0,0,0
0.149048,0,0,0
0.150591,0,0,0
0.152179,0,0,0
0.153722,0,0,0
0.155266,0,0,0
0.156811,0,0,0
0.158355,0,0,0
0.159793,0,0,0
0.161309,0,0,0
0.162855,0,0,0
0.164445,0,0,0
0.165988,0,0,0
0.167533,0,0,0
0.169078,0,0,0
0.170702,0,0,0
0.172311,0,0,0
0.173854,0,0,0
0.175400,0,0,0
0.176934,0,0,0
0.178469,0,0,0
0.180086,0,0,0
0.181641,0,0,0
0.183185,0,0,0
0.184729,0,0,0
0.186270,0,0,0
0.187812,0,0,0
0.189355,0,0,0
0.190900,0,0,0
0.192456,0,0,0
0.193998,0,0,0
0.195585,0,0,0
0.197130,0,0,0
0.198674,0,0,0
0.200219,0,0,0
0.201760,0,0,0
0.204769,0,0,0
0.206503,0,0,0
0.207882,0,0,0
0.209265,0,0,0
0.210797,0,0,0
0.212221,0,0,0
0.213855,0,0,0
0.215241,0,0,0
0.217246,0,0,0
0.218733,0,0,0
0.220405,0,0,0
0.221942,0,0,0
0.223328,0,0,0
0.225720,0,0,0
0.227149,6855,14434,0
0.228641,0,0,0
0.229983,0,0,0
0.231371,0,0,0
0.232725,0,0,0
0.234057,0,0,0
0.235450,0,0,0
0.236785,0,0,0
0.238118,0,0,0
0.239455,0,0,0
0.240792,0,0,0
0.242125,0,0,0
0.243492,0,0,0
0.244824,0,0,0
0.246168,0,0,0
0.247500,0,0,0
0.248832,0,0,0
0.250163,0,0,0
0.251517,0,0,0
0.252915,0,0,0
0.254352,0,0,0
0.255912,0,0,0
0.257327,0,0,0
0.258710,0,0,0
0.260092,0,0,0
0.261471,0,0,0
0.262852,0,0,0
0.264234,0,0,0
0.265619,0,0,0
0.267003,0,0,0
0.268404,0,0,0
0.269785,0,0,0
0.271168,0,0,0
0.272550,0,0,0
0.273931,0,0,0
0.275347,0,0,0
0.276856,0,0,0
0.278398,0,0,0
0.279960,0,0,0
0.281378,0,0,0
0.282894,0,0,0
0.284483,0,0,0
0.286026,0,0,0
0.287569,0,0,0
0.289369,0,0,0
0.290879,0,0,0
0.292310,0,0,0
0.293821,0,0,0
0.295367,0,0,0
0.296845,0,0,0
0.298591,0,0,0
0.300280,0,0,0
0.301676,0,0,0
0.303059,0,0,0
0.304436,0,0,0
0.305809,0,0,0
0.307224,0,0,0
0.308605,0,0,0
0.310162,0,0,0
0.311572,0,0,0
0.313090,0,0,0
0.314816,0,0,0
0.316397,0,0,0
0.317930,0,0,0
0.319344,0,0,0
0.320883,0,0,0
0.322503,0,0,0
0.323930,0,0,0
0.325490,0,0,0
0.326877,0,0,0
0.328257,0,0,0
0.329637,0,0,0
0.331055,0,0,0
0.332437,0,0,0
0.333816,0,0,0
0.335392,0,0,0
0.336934,0,0,0
0.338476,0,0,0
0.339992,0,0,0
0.341377,0,0,0
0.342888,0,0,0
0.344431,0,0,0
0.345985,0,0,0
0.347572,0,0,0
0.349115,0,0,0
0.350658,0,0,0
0.352201,0,0,0
0.353742,0,0,0
0.355331,0,0,0
0.356888,0,0,0
0.358429,0,0,0
0.359977,0,0,0
0.361518,0,0,0
0.363105,0,0,0
0.364649,0,0,0
0.366190,0,0,0
0.367617,0,0,0
0.369132,0,0,0
0.370676,0,0,0
0.372218,0,0,0
0.373761,0,0,0
0.375199,0,0,0
0.376738,0,0,0
0.378291,0,0,0
0.379770,0,0,0
0.381284,0,0,0
0.382829,0,0,0
0.384371,0,0,0
0.385913,0,0,0
0.388407,0,0,0
0.389832,0,0,0
0.391332,0,0,0
0.392723,0,0,0
0.394105,0,0,0
0.395527,0,0,0
0.396910,0,0,0
0.398291,0,0,0
0.399892,0,0,0
0.401455,0,0,0
0.402999,0,0,0
0.404586,0,0,0
0.406128,0,0,0
0.407672,0,0,0
0.409215,0,0,0
0.410761,0,0,0
0.412364,0,0,0
0.413839,0,0,0
