elapsed_s,RB_C_WRITE,RB_TOTAL_PASS,RB_Z_PASS,RB_Z_FAIL,RB_S_FAIL,RB_BLENDED_FXP_COMPONENTS,RB_BLENDED_FP16_COMPONENTS,RB_PS_INVOCATIONS
0.001086,0,0,0,0,0,0,0,0
0.002789,0,0,0,0,0,0,0,0
0.004244,0,0,0,0,0,0,0,0
0.005696,0,0,0,0,0,0,0,0
0.007147,0,0,0,0,0,0,0,0
0.009709,0,0,0,0,0,0,0,0
0.011267,0,0,0,0,0,0,0,0
0.012699,0,0,0,0,0,0,0,0
0.014113,0,0,0,0,0,0,0,0
0.015790,0,0,0,0,0,0,0,0
0.017220,0,0,0,0,0,0,0,0
0.018736,0,0,0,0,0,0,0,0
0.020151,0,0,0,0,0,0,0,0
0.021587,0,0,0,0,0,0,0,0
0.023044,0,0,0,0,0,0,0,0
0.024452,0,0,0,0,0,0,0,0
0.025860,0,0,0,0,0,0,0,0
0.027270,0,0,0,0,0,0,0,0
0.028676,0,0,0,0,0,0,0,0
0.030085,0,0,0,0,0,0,0,0
0.031493,0,0,0,0,0,0,0,0
0.032960,0,0,0,0,0,0,0,0
0.034369,0,0,0,0,0,0,0,0
0.035777,0,0,0,0,0,0,0,0
0.037183,0,0,0,0,0,0,0,0
0.038652,0,0,0,0,0,0,0,0
0.040081,0,0,0,0,0,0,0,0
0.041488,0,0,0,0,0,0,0,0
0.042891,0,0,0,0,0,0,0,0
0.044280,0,0,0,0,0,0,0,0
0.045708,0,0,0,0,0,0,0,0
0.047090,0,0,0,0,0,0,0,0
0.048470,0,0,0,0,0,0,0,0
0.049856,0,0,0,0,0,0,0,0
0.051240,0,0,0,0,0,0,0,0
0.052624,0,0,0,0,0,0,0,0
0.054055,0,0,0,0,0,0,0,0
0.055502,0,0,0,0,0,0,0,0
0.056986,0,0,0,0,0,0,0,0
0.058569,0,0,0,0,0,0,0,0
0.059985,0,0,0,0,0,0,0,0
0.061491,0,0,0,0,0,0,0,0
0.063022,0,0,0,0,0,0,0,0
0.064433,0,0,0,0,0,0,0,0
0.065901,0,0,0,0,0,0,0,0
0.067314,0,0,0,0,0,0,0,0
0.068727,0,0,0,0,0,0,0,0
0.070188,0,0,0,0,0,0,0,0
0.071628,0,0,0,0,0,0,0,0
0.073039,0,0,0,0,0,0,0,0
0.074542,0,0,0,0,0,0,0,0
0.075966,0,0,0,0,0,0,0,0
0.077384,0,0,0,0,0,0,0,0
0.078888,0,0,0,0,0,0,0,0
0.080228,0,0,0,0,0,0,0,0
0.081583,0,0,0,0,0,0,0,0
0.082921,0,0,0,0,0,0,0,0
0.084260,0,0,0,0,0,0,0,0
0.085595,0,0,0,0,0,0,0,0
0.086976,0,0,0,0,0,0,0,0
0.088316,0,0,0,0,0,0,0,0
0.089653,0,0,0,0,0,0,0,0
0.091071,0,0,0,0,0,0,0,0
0.092589,0,0,0,0,0,0,0,0
0.093957,0,0,0,0,0,0,0,0
0.095319,0,0,0,0,0,0,0,0
0.096680,0,0,0,0,0,0,0,0
0.098056,0,0,0,0,0,0,0,0
0.099422,0,0,0,0,0,0,0,0
0.100785,0,0,0,0,0,0,0,0
0.102153,0,0,0,0,0,0,0,0
0.103372,0,0,0,0,0,0,0,0
0.104589,0,0,0,0,0,0,0,0
0.105851,0,0,0,0,0,0,0,0
0.107070,0,0,0,0,0,0,0,0
