elapsed_s,VPC_FE_POSRAM_FULL_CYCLES,VPC_FE_GMEM_NOP_FULL_CYCLES,VPC_FE_GMEM_POS_FULL_CYCLES,VPC_FE_BOTTLENECK,VPC_US_BUSY_CYCLES,VPC_US_WORKING_CYCLES
0.001241,0,0,0,0,0,0
0.002691,0,0,0,0,0,0
0.004103,0,0,0,0,0,0
0.005458,0,0,0,0,0,0
0.006809,0,0,0,0,0,0
0.008160,0,0,0,0,0,0
0.009529,0,0,0,0,0,0
0.010873,0,0,0,0,0,0
0.012270,0,0,0,0,0,0
0.013621,0,0,0,0,0,0
0.014971,0,0,0,0,0,0
0.016363,0,0,0,0,0,0
0.017686,0,0,0,0,0,0
0.019009,0,0,0,0,0,0
0.020342,0,0,0,0,0,0
0.021662,0,0,0,0,0,0
0.022981,0,0,0,0,0,0
0.024350,0,0,0,0,0,0
0.025675,0,0,0,0,0,0
0.026998,0,0,0,0,0,0
0.028374,0,0,0,0,0,0
0.029695,0,0,0,0,0,0
0.031022,0,0,0,0,0,0
0.032387,0,0,0,0,0,0
0.033694,0,0,0,0,0,0
0.035000,0,0,0,0,0,0
0.036308,0,0,0,0,0,0
0.037612,0,0,0,0,0,0
0.038916,0,0,0,0,0,0
0.040270,0,0,0,0,0,0
0.041586,0,0,0,0,0,0
0.042894,0,0,0,0,0,0
0.044203,0,0,0,0,0,0
0.045507,0,0,0,0,0,0
0.046808,0,0,0,0,0,0
0.048153,0,0,0,0,0,0
0.049417,0,0,0,0,0,0
0.050679,0,0,0,0,0,0
0.051946,0,0,0,0,0,0
0.053210,0,0,0,0,0,0
0.054473,0,0,0,0,0,0
0.055828,0,0,0,0,0,0
0.057102,0,0,0,0,0,0
0.058374,0,0,0,0,0,0
0.059688,0,0,0,0,0,0
0.060953,0,0,0,0,0,0
0.062274,0,0,0,0,0,0
0.063558,0,0,0,0,0,0
0.065034,0,0,0,0,0,0
0.066526,0,0,0,0,0,0
0.067941,0,0,0,0,0,0
0.069300,0,0,0,0,0,0
0.070651,0,0,0,0,0,0
0.072007,0,0,0,6,149,146
0.073449,0,0,0,0,0,0
0.074801,0,0,0,0,0,0
0.076153,0,0,0,0,0,0
0.077503,0,0,0,0,0,0
0.078857,0,0,0,0,0,0
0.080211,0,0,0,0,0,0
0.081592,0,0,0,0,0,0
0.083020,0,0,0,90,1552,1654
0.084333,0,0,0,24,573,545
0.085777,0,0,0,0,0,0
0.087177,0,0,0,0,0,0
0.088576,0,0,0,0,0,0
0.089973,0,0,0,0,0,0
0.091370,0,0,0,0,0,0
0.093684,0,0,0,0,0,0
0.095088,0,0,0,0,0,0
0.096502,0,0,0,0,0,0
0.098469,0,0,0,0,0,0
0.102668,0,0,0,0,0,0
0.105085,0,0,0,0,0,0
0.106596,0,0,0,0,0,0
0.107995,0,0,0,0,0,0
0.109391,0,0,0,0,0,0
0.110786,0,0,0,0,0,0
0.112311,0,0,0,0,0,0
0.113712,0,0,0,0,0,0
0.115068,0,0,0,0,0,0
0.116421,0,0,0,0,0,0
0.117787,0,0,0,0,0,0
0.119138,0,0,0,0,0,0
0.120490,0,0,0,0,0,0
0.121843,0,0,0,0,0,0
0.123193,0,0,0,0,0,0
0.124543,0,0,0,0,0,0
0.125893,0,0,0,0,0,0
0.127242,0,0,0,0,0,0
0.129017,0,0,0,0,0,0
0.130574,0,0,0,0,0,0
0.132133,0,0,0,0,0,0
0.133691,0,0,0,0,0,0
0.135246,0,0,0,0,0,0
0.136805,0,0,0,0,0,0
0.138363,0,0,0,0,0,0
0.139935,0,0,0,0,0,0
0.141493,0,0,0,0,0,0
0.143050,0,0,0,0,0,0
0.144609,0,0,0,0,0,0
0.146168,0,0,0,0,0,0
0.147790,0,0,0,0,0,0
0.149304,0,0,0,0,0,0
0.150873,0,0,0,0,0,0
0.152433,0,0,0,0,0,0
0.153992,0,0,0,0,0,0
0.155547,0,0,0,0,0,0
0.157110,0,0,0,0,0,0
0.158666,0,0,0,0,0,0
0.160238,0,0,0,0,0,0
0.161749,0,0,0,0,0,0
0.163273,0,0,0,0,0,0
0.164696,0,0,0,0,0,0
0.166224,0,0,0,0,0,0
0.167785,0,0,0,0,0,0
0.169357,0,0,0,0,0,0
0.170857,0,0,0,0,0,0
0.172279,0,0,0,0,0,0
0.173807,0,0,0,0,0,0
0.175365,0,0,0,0,0,0
0.177022,0,0,0,0,0,0
0.178581,0,0,0,0,0,0
0.180141,0,0,0,0,0,0
0.181702,0,0,0,0,0,0
0.183275,0,0,0,0,0,0
0.184836,0,0,0,0,0,0
0.186388,0,0,0,0,0,0
0.187972,0,0,0,0,0,0
0.189532,0,0,0,0,0,0
0.191089,0,0,0,0,0,0
0.192649,0,0,0,0,0,0
0.194223,0,0,0,0,0,0
0.195784,0,0,0,0,0,0
0.197343,0,0,0,0,0,0
0.198902,0,0,0,0,0,0
0.200463,0,0,0,0,0,0
0.202022,0,0,0,0,0,0
0.203581,0,0,0,0,0,0
0.205040,0,0,0,0,0,0
0.206572,0,0,0,0,0,0
0.208175,0,0,0,0,0,0
0.209736,0,0,0,0,0,0
0.211295,0,0,0,0,0,0
0.212854,0,0,0,0,0,0
0.214405,0,0,0,0,0,0
0.215940,0,0,0,0,0,0
0.217499,0,0,0,0,0,0
0.219055,0,0,0,0,0,0
0.220613,0,0,0,0,0,0
0.222173,0,0,0,0,0,0
0.223777,0,0,0,0,0,0
0.225339,0,0,0,0,0,0
0.226911,0,0,0,0,0,0
0.228619,0,0,0,0,0,0
0.230186,0,0,0,0,0,0
0.231813,0,0,0,0,0,0
0.233436,0,0,0,0,0,0
0.234994,0,0,0,0,0,0
0.236556,0,0,0,0,0,0
0.238128,0,0,0,0,0,0
0.239782,0,0,0,0,0,0
0.241342,0,0,0,0,0,0
0.242900,0,0,0,0,0,0
0.244462,0,0,0,0,0,0
0.246023,0,0,0,0,0,0
0.247583,0,0,0,0,0,0
0.249163,0,0,0,0,0,0
0.250721,0,0,0,0,0,0
0.252284,0,0,0,0,0,0
0.253845,0,0,0,0,0,0
0.255405,0,0,0,0,0,0
0.257015,0,0,0,0,0,0
0.258574,0,0,0,0,0,0
0.260150,0,0,0,0,0,0
0.261712,0,0,0,0,0,0
0.263272,0,0,0,0,0,0
0.264832,0,0,0,0,0,0
0.266392,0,0,0,0,0,0
0.267954,0,0,0,0,0,0
0.269516,0,0,0,0,0,0
0.271086,0,0,0,0,0,0
0.272647,0,0,0,0,0,0
0.274209,0,0,0,0,0,0
0.275771,0,0,0,0,0,0
0.277331,0,0,0,0,0,0
0.278890,0,0,0,0,0,0
0.280453,0,0,0,0,0,0
0.282028,0,0,0,0,0,0
0.283588,0,0,0,0,0,0
0.285153,0,0,0,0,0,0
0.286712,0,0,0,0,0,0
0.288317,0,0,0,0,0,0
0.289869,0,0,0,0,0,0
0.291419,0,0,0,0,0,0
0.293263,0,0,0,0,0,0
0.294794,0,0,0,0,0,0
0.296266,0,0,0,0,0,0
0.297858,0,0,0,0,0,0
0.299222,0,0,0,0,0,0
0.300616,0,0,0,0,0,0
0.301958,0,0,0,0,0,0
0.303322,0,0,0,0,0,0
0.304754,0,0,0,0,0,0
0.306096,0,0,0,0,0,0
0.307436,0,0,0,0,0,0
0.308907,0,0,0,0,0,0
0.310260,0,0,0,0,0,0
0.311607,0,0,0,0,0,0
0.312960,0,0,0,0,0,0
0.314310,0,0,0,0,0,0
0.315650,0,0,0,0,0,0
0.317009,0,0,0,0,0,0
0.318355,0,0,0,0,0,0
0.319751,0,0,0,0,0,0
0.321072,0,0,0,0,0,0
0.322391,0,0,0,0,0,0
0.323708,0,0,0,0,0,0
0.325052,0,0,0,0,0,0
0.326371,0,0,0,0,0,0
0.327689,0,0,0,0,0,0
0.329009,0,0,0,0,0,0
0.330328,0,0,0,0,0,0
0.331646,0,0,0,0,0,0
0.332982,0,0,0,0,0,0
0.334302,0,0,0,0,0,0
0.335665,0,0,0,0,0,0
0.337037,0,0,0,0,0,0
0.338405,0,0,0,0,0,0
0.339777,0,0,0,0,0,0
0.341146,0,0,0,0,0,0
0.342514,0,0,0,0,0,0
0.343882,0,0,0,0,0,0
0.345251,0,0,0,0,0,0
0.346622,0,0,0,0,0,0
0.347989,0,0,0,0,0,0
0.349414,0,0,0,0,0,0
0.350843,0,0,0,0,0,0
0.352302,0,0,0,0,0,0
0.353657,0,0,0,0,0,0
0.355015,0,0,0,0,0,0
0.356367,0,0,0,0,0,0
0.357730,0,0,0,0,0,0
0.359079,0,0,0,0,0,0
0.360429,0,0,0,0,0,0
0.361847,0,0,0,6,418,406
0.363224,0,0,0,0,0,0
0.364583,0,0,0,0,0,0
0.365934,0,0,0,0,0,0
0.367285,0,0,0,0,0,0
0.368948,0,0,0,0,0,0
0.370401,0,0,0,0,0,0
0.371948,0,0,0,108,2123,2197
0.373264,0,0,0,0,0,0
0.374670,0,0,0,0,0,0
0.376130,0,0,0,0,0,0
0.377534,0,0,0,0,0,0
0.378943,0,0,0,0,0,0
0.380343,0,0,0,0,0,0
0.381740,0,0,0,0,0,0
0.383134,0,0,0,0,0,0
0.384525,0,0,0,0,0,0
0.385911,0,0,0,0,0,0
0.387299,0,0,0,0,0,0
0.388687,0,0,0,0,0,0
0.390083,0,0,0,0,0,0
0.391471,0,0,0,0,0,0
0.392959,0,0,0,0,0,0
0.394347,0,0,0,0,0,0
0.395813,0,0,0,0,0,0
0.397419,0,0,0,0,0,0
0.398810,0,0,0,0,0,0
0.400240,0,0,0,0,0,0
0.401638,0,0,0,0,0,0
0.403164,0,0,0,0,0,0
0.404725,0,0,0,0,0,0
0.406276,0,0,0,0,0,0
0.407957,0,0,0,0,0,0
0.409431,0,0,0,0,0,0
0.410837,0,0,0,0,0,0
0.412229,0,0,0,0,0,0
0.413754,0,0,0,0,0,0
0.415308,0,0,0,0,0,0
0.416914,0,0,0,0,0,0
0.418470,0,0,0,0,0,0
0.420030,0,0,0,0,0,0
0.421603,0,0,0,0,0,0
0.423159,0,0,0,0,0,0
0.424717,0,0,0,0,0,0
0.426276,0,0,0,0,0,0
0.427835,0,0,0,0,0,0
0.429269,0,0,0,0,0,0
0.430799,0,0,0,0,0,0
0.432240,0,0,0,0,0,0
0.433772,0,0,0,0,0,0
0.435329,0,0,0,0,0,0
0.436887,0,0,0,0,0,0
0.438445,0,0,0,0,0,0
0.440006,0,0,0,0,0,0
0.441565,0,0,0,0,0,0
0.443134,0,0,0,0,0,0
0.444693,0,0,0,0,0,0
0.446252,0,0,0,0,0,0
0.447865,0,0,0,0,0,0
0.449317,0,0,0,0,0,0
0.450719,0,0,0,0,0,0
0.452249,0,0,0,0,0,0
0.453823,0,0,0,0,0,0
0.455381,0,0,0,0,0,0
0.456892,0,0,0,0,0,0
0.458424,0,0,0,0,0,0
0.459987,0,0,0,0,0,0
0.461548,0,0,0,0,0,0
0.463107,0,0,0,0,0,0
0.464722,0,0,0,0,0,0
0.466282,0,0,0,0,0,0
0.467844,0,0,0,0,0,0
0.469405,0,0,0,0,0,0
0.470965,0,0,0,0,0,0
0.472528,0,0,0,0,0,0
0.474089,0,0,0,0,0,0
0.475659,0,0,0,0,0,0
0.477222,0,0,0,0,0,0
0.478779,0,0,0,0,0,0
0.480342,0,0,0,0,0,0
0.481903,0,0,0,0,0,0
0.483461,0,0,0,0,0,0
0.485026,0,0,0,0,0,0
0.486597,0,0,0,0,0,0
0.488158,0,0,0,0,0,0
0.489717,0,0,0,0,0,0
0.491275,0,0,0,0,0,0
0.492834,0,0,0,0,0,0
0.494394,0,0,0,0,0,0
0.495997,0,0,0,0,0,0
0.497563,0,0,0,0,0,0
0.499113,0,0,0,0,0,0
0.500537,0,0,0,0,0,0
0.502058,0,0,0,0,0,0
0.503607,0,0,0,0,0,0
0.505080,0,0,0,0,0,0
0.506518,0,0,0,0,0,0
0.507930,0,0,0,0,0,0
0.509327,0,0,0,0,0,0
0.510723,0,0,0,0,0,0
0.512161,0,0,0,0,0,0
0.513557,0,0,0,0,0,0
0.515168,0,0,0,0,0,0
0.516727,0,0,0,0,0,0
0.518299,0,0,0,0,0,0
0.519861,0,0,0,0,0,0
0.521421,0,0,0,0,0,0
0.522979,0,0,0,0,0,0
0.524540,0,0,0,0,0,0
0.526099,0,0,0,0,0,0
0.527699,0,0,0,0,0,0
0.529312,0,0,0,0,0,0
0.530851,0,0,0,0,0,0
0.532417,0,0,0,0,0,0
0.533976,0,0,0,0,0,0
0.535535,0,0,0,0,0,0
0.537099,0,0,0,0,0,0
0.538657,0,0,0,0,0,0
0.540230,0,0,0,0,0,0
0.541792,0,0,0,0,0,0
0.543350,0,0,0,0,0,0
0.545041,0,0,0,0,0,0
0.546599,0,0,0,0,0,0
0.548160,0,0,0,0,0,0
0.549721,0,0,0,0,0,0
0.551292,0,0,0,0,0,0
0.552852,0,0,0,0,0,0
0.554412,0,0,0,0,0,0
0.555974,0,0,0,0,0,0
0.557535,0,0,0,0,0,0
0.559094,0,0,0,0,0,0
0.560654,0,0,0,0,0,0
0.562227,0,0,0,0,0,0
0.563790,0,0,0,0,0,0
0.565350,0,0,0,0,0,0
0.566909,0,0,0,0,0,0
0.568470,0,0,0,0,0,0
0.570032,0,0,0,0,0,0
0.571590,0,0,0,0,0,0
0.573167,0,0,0,0,0,0
0.574726,0,0,0,0,0,0
0.576329,0,0,0,0,0,0
0.577961,0,0,0,0,0,0
0.580749,0,0,0,0,0,0
0.582201,0,0,0,0,0,0
