elapsed_s,CP_MEMORY_POOL_BELOW_THRESH,CP_AHB_WR_STALL_PRE_DRAWS,CP_AHB_STALL_SQE_GMU,CP_AHB_STALL_SQE_WR_OTHER,CP_AHB_STALL_SQE_RD_OTHER,CP_CLUSTER_FE_U_EMPTY,CP_CLUSTER_FE_S_EMPTY,CP_CLUSTER_SP_VS_EMPTY,CP_CLUSTER_VPC_US_EMPTY,CP_CLUSTER_VPC_VS_EMPTY,CP_CLUSTER_GRAS_EMPTY,CP_CLUSTER_SP_PS_EMPTY,CP_CLUSTER_VPC_PS_EMPTY,CP_CLUSTER_PS_EMPTY
0.001279,0,0,0,0,0,325649,325649,325663,325663,325661,325660,325677,325675,325675
0.002867,0,0,0,0,0,302365,302378,302362,302360,302359,302359,302389,302388,302386
0.004381,0,0,0,0,0,301937,301920,301919,301918,301918,301917,301867,301866,301847
0.005890,0,0,0,0,0,285202,285202,285201,285201,285199,285198,285196,285196,285195
0.007363,0,0,0,0,0,357143,356947,356767,356650,356408,356231,356036,355840,355678
0.008973,0,0,0,0,0,351109,351107,351093,351013,351040,350973,350941,350921,350857
0.010527,0,0,0,0,0,293362,293346,293374,293339,293326,293388,293385,293404,293402
0.011966,0,0,0,0,0,293272,293318,293334,293353,293383,293366,293399,293379,293379
0.013403,0,0,0,0,0,292949,292918,292869,292864,292848,292814,292764,292751,292797
0.014890,0,0,0,0,0,273252,272765,272293,271825,271353,270915,276142,275881,275362
0.016275,0,0,0,0,0,274444,274394,274331,274265,274216,274168,268452,268207,268190
0.017640,0,0,0,0,0,268903,268950,268978,268993,268991,268975,268989,297661,298173
0.019118,0,0,0,0,0,295103,295070,295054,295052,295052,295049,295035,266361,265863
0.020482,0,0,0,0,0,267794,267777,267776,267777,267776,267760,267772,267770,267755
0.021851,0,0,0,0,0,278261,278275,278307,277146,275091,273041,270977,268913,266866
0.023202,0,0,0,0,0,237439,235304,233140,232179,232102,232028,231948,231875,231798
0.024496,0,0,0,0,0,231734,231716,231708,231675,231649,231633,231607,231596,231571
0.025790,0,0,0,0,0,234557,234550,234540,234554,234562,234561,234567,234569,234568
0.027088,0,0,0,0,0,231057,231067,231093,231067,231075,231095,231104,231103,231102
0.028382,0,0,0,0,0,231307,231300,231276,231314,231305,231299,231297,231302,231319
0.029676,0,0,0,0,0,230984,230983,230988,230972,230989,230987,230993,231011,231015
0.031055,0,0,0,0,0,231474,231465,231481,231481,231475,231459,231443,231432,231416
0.032402,0,0,0,0,0,211874,211580,211248,210931,210611,210312,210004,209681,209372
0.033695,0,0,0,0,0,274589,275198,277142,278445,279101,281052,281668,282297,282918
0.035186,0,0,0,0,0,233365,233386,232104,231430,231388,230052,230049,230040,230026
0.036574,0,0,0,0,0,229715,229697,229654,229667,229715,229748,229748,229756,229755
0.038038,0,0,0,0,0,248003,248089,248185,248659,248708,250946,251038,251120,251224
0.039540,0,0,0,0,0,245231,246285,246573,246186,246193,244021,244019,244019,244010
0.040976,0,0,0,0,0,237751,236724,236518,236499,236529,236565,236683,236820,236855
0.042591,0,0,0,0,0,262448,264523,264446,265418,265383,265739,265850,265702,266043
0.044161,0,0,0,0,0,243575,241545,241635,240750,240870,240580,240453,240578,240306
0.045579,0,0,0,0,0,235442,235378,235349,235280,235158,235039,234934,234806,234709
0.047030,0,0,0,0,0,237076,237109,236989,236980,236890,236797,236703,236619,236560
0.048431,0,0,0,0,0,234121,233981,233931,233825,233816,233831,233838,233829,233778
0.049827,0,0,0,0,0,260526,260902,261187,261754,261928,261928,263935,265445,265468
0.051285,0,0,1451,4,0,304545,305126,303245,302537,304120,304383,299938,300858,299854
0.052792,0,0,0,0,0,238583,238722,238737,238841,238966,238733,238775,238865,236987
0.054207,0,0,0,0,0,234387,234246,234208,234097,234012,234104,234128,234169,234126
0.055607,0,0,0,0,0,233483,233483,233495,233536,233598,233505,233435,233305,233229
0.057003,0,0,0,0,0,234972,235041,235040,234997,234899,234861,234848,234842,234824
0.058449,0,0,0,0,0,230389,230380,230366,230386,230376,230378,230390,230394,230422
0.059839,0,0,0,0,0,230538,230472,230479,230491,230507,230519,230518,230525,230537
0.061228,0,0,0,0,0,233207,233258,233271,233235,233343,233608,233615,234139,234953
0.062666,0,0,0,0,0,358447,630232,351995,349031,638416,640895,265917,645843,213792
0.063986,0,0,0,0,0,433137,1437275,431426,430989,1437172,1437162,154808,1437262,453
0.065283,0,0,0,0,0,432818,1425426,441319,446299,1425503,1425497,162662,1425581,456
0.067367,0,0,0,0,0,705759,2293967,699704,698988,2293950,2293966,252103,2293790,744
0.068663,0,0,0,0,0,445153,1424167,446798,440924,1424145,1424146,154453,1424149,456
0.069958,0,0,0,0,0,512121,1656183,818456,1018332,3367031,3369273,368200,3370152,1080
0.073030,0,0,0,0,0,964262,3149624,645934,450001,1438842,1436600,168587,1435779,480
0.074381,0,0,0,0,0,456172,1489455,461283,460840,1489427,1489418,162828,1489313,480
0.075683,0,0,0,0,0,453408,1428362,442427,436535,1428298,1428308,154673,1428354,456
0.076980,0,0,0,0,0,434082,1426611,430677,430240,1426659,1426641,154128,1426672,456
0.078280,0,0,0,0,0,455833,1472900,454053,453593,1472883,1472977,162991,1472958,480
0.079616,0,0,0,0,0,508584,1476190,518275,523376,1476926,1476865,263562,1476995,120490
0.080961,0,0,0,0,0,479596,479436,478950,478818,478772,478756,478743,478653,478653
0.082529,0,0,0,0,0,501625,501580,501608,501640,501666,501708,501751,501856,501881
0.084003,0,0,0,0,0,482103,482189,482276,482273,482405,482476,482492,482487,482581
0.085411,0,0,0,0,0,477180,477087,476996,477013,476897,476825,476807,476748,476655
0.086830,0,0,0,0,0,475278,475247,475351,475393,475357,475488,475461,475504,475563
0.088273,0,0,0,0,0,459113,459206,459102,459172,459157,459056,459125,459038,459080
0.089711,0,0,0,0,0,581638,581561,581541,581382,581370,581292,581292,585457,584369
0.091322,0,0,0,0,0,478818,478833,478993,478992,479149,479190,479207,475144,476081
0.092767,0,0,0,0,0,462452,462490,462319,462493,462344,462405,462326,462281,462369
0.094209,0,0,0,0,0,458082,458170,458168,458063,458139,458062,458183,458237,458329
0.095650,0,0,0,0,0,458956,458927,459147,459305,459426,459617,459696,459667,459766
0.097092,0,0,0,0,0,485617,485647,485558,485601,485550,485549,485555,485669,485479
0.099190,0,0,0,0,0,568281,568325,568367,568279,568310,568353,568318,568333,568433
0.100732,0,0,0,0,0,485318,485109,484932,484739,484563,484325,484139,484771,485571
0.102184,0,0,0,0,0,517375,517495,517488,517552,517546,517535,517516,516708,515789
0.103663,0,0,0,0,0,452626,452510,452527,452465,452463,452461,452476,452430,452369
0.105095,0,0,0,0,0,468745,468754,468742,468725,468729,468723,468722,468720,468719
0.110036,0,0,0,0,0,472031,472013,472027,472037,472110,472174,472157,472158,472141
0.111474,0,0,0,0,0,453135,453151,453134,453386,453311,457341,457018,457499,457498
0.112922,0,0,0,0,0,461450,461433,461449,461184,461178,457069,457405,456938,456963
0.114375,0,0,0,0,0,489594,489637,489629,489733,489749,489782,489775,489759,489748
0.115811,0,0,0,0,0,474942,475561,475590,481252,478771,478753,478771,478784,478794
0.117215,0,0,0,0,0,477552,476947,476949,471286,473765,473765,473746,473745,473761
0.118625,0,0,0,0,0,481635,481591,481532,481440,481482,481481,481487,481471,481441
0.120061,0,0,0,0,0,450213,450199,450208,450208,450153,450206,450189,450187,450187
0.121494,0,0,0,0,0,451893,451886,451963,451947,451946,451885,451882,451968,451968
0.122937,0,0,0,0,0,497517,497518,497445,497442,497424,497413,497430,497343,497340
0.124408,0,0,0,0,0,453297,453301,453285,453296,453295,453309,453291,453290,453289
0.125842,0,0,0,0,0,546121,546120,546128,546117,546131,546115,546131,546129,546130
0.127380,0,0,0,0,0,468040,468049,468065,468063,468046,468044,468027,468026,468023
0.128814,0,0,0,0,0,450833,450817,450820,450830,450848,450935,450932,450947,450957
0.130250,0,0,0,0,0,456167,456182,456159,456148,456130,456057,456058,456041,456102
0.131689,0,0,0,0,0,455817,455815,455838,455847,455862,455844,455859,455859,455785
0.133137,0,0,0,0,0,462945,462929,462911,462910,462892,462908,462892,462872,462860
