elapsed_s,CP_PM4_DATA,CP_PM4_HEADERS,CP_VBIF_READ_BEATS,CP_VBIF_WRITE_BEATS,CP_SQE_INSTR_COUNTER,CP_CLUSTER_FE_US_FULL,CP_CLUSTER_FE_S_FULL,CP_CLUSTER_SP_VS_FULL,CP_CLUSTER_VPC_US_FULL,CP_CLUSTER_VPC_VS_FULL,CP_CLUSTER_GRAS_FULL,CP_CLUSTER_SP_PS_FULL,CP_CLUSTER_VPC_PS_FULL,CP_CLUSTER_PS_FULL
0.135494,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.136935,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.138374,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.139814,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.141331,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.142784,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.144358,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.145800,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.147243,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.148685,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.150126,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.151603,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.153105,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.154674,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.156241,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.157815,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.159465,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.161071,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.162675,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.164243,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.165819,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.167469,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.169073,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.170677,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.172372,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.173975,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.175637,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.177242,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.178845,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.180469,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.182063,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.183587,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.185163,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.186777,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.188385,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.189986,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.191633,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.193236,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.195207,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.197544,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.199075,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.200560,0,0,36,1,243,0,0,0,0,0,0,0,0,0
0.202002,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.203443,0,0,36,1,251,0,0,0,0,0,0,0,0,0
