run,group,counter,label,total_all_widths,total_width_first,total_width_last,scaling_ratio_last_over_first,corr_total_vs_width,slope_total_vs_width,total_w128,total_w256,total_w512,total_w1024,total_w2048
sweep_20260625_152944,ALWAYSON,ALWAYSON,flat_or_saturated,5637622.0,1174895.0,1111138.0,0.9457338740908762,-0.5887546985192236,-20.213867187499563,1174895.0,1119524.0,1120104.0,1111961.0,1111138.0
sweep_20260625_152944,CP,CP_AHB_STALL_SQE_GMU,flat_or_saturated,480.0,480.0,0.0,0.0,-0.4766031238193981,-0.13104838709677427,480.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_AHB_STALL_SQE_RD_OTHER,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_AHB_STALL_SQE_WR_OTHER,flat_or_saturated,4.0,4.0,0.0,0.0,-0.47660312381939807,-0.0010920698924731188,4.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_AHB_WR_STALL_PRE_DRAWS,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_ALWAYS_COUNT,flat_or_saturated,102773438.0,17456465.0,19577524.0,1.1215056427518402,0.18700815488586842,596.2027154737933,17456465.0,21110835.0,20349150.0,24279464.0,19577524.0
sweep_20260625_152944,CP,CP_AQE_NUM_AS_CHUNKS,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_AQE_NUM_MS_CHUNKS,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_AQE_SQE_STALL,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_BUSY_CYCLES,active_mixed,6176392.0,236450.0,1375488.0,5.817246775216748,0.44759367107494274,927.3439390120973,236450.0,269428.0,296782.0,3998244.0,1375488.0
sweep_20260625_152944,CP,CP_BUSY_GFX_CORE_IDLE,active_mixed,2188958.0,115486.0,443763.0,3.8425696621235472,0.4093812997721381,279.9866851478496,115486.0,137098.0,131625.0,1360986.0,443763.0
sweep_20260625_152944,CP,CP_CACHE_FLUSH,active_mixed,74.0,7.0,12.0,1.7142857142857142,0.29488236800566453,0.004735803091397852,7.0,9.0,9.0,37.0,12.0
sweep_20260625_152944,CP,CP_CLUSTER_FE_S_EMPTY,active_mixed,90315765.0,12531357.0,19475227.0,1.55411955784198,0.5058035097412128,2037.9041708669401,12531357.0,18545812.0,20140271.0,19623098.0,19475227.0
sweep_20260625_152944,CP,CP_CLUSTER_FE_S_FULL,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_CLUSTER_FE_US_FULL,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_CLUSTER_FE_U_EMPTY,active_mixed,89901389.0,12459023.0,19303796.0,1.5493828047351705,0.4904003347616953,1974.476499495973,12459023.0,18478351.0,20140733.0,19519486.0,19303796.0
