group,counter,n_runs,majority_label,majority_label_count,label_consistency,ratio_mean,ratio_std,ratio_cv,corr_mean,corr_std,total_all_mean,total_all_std,total_w128_mean,total_w128_std,total_w128_cv,total_w256_mean,total_w256_std,total_w256_cv,total_w512_mean,total_w512_std,total_w512_cv,total_w1024_mean,total_w1024_std,total_w1024_cv,total_w2048_mean,total_w2048_std,total_w2048_cv,stable_strong_scaling,near_16x_scaling
TP,TP_OUTPUT_PIXELS,2,strong_width_scaling,2,1.0,16.0,0.0,0.0,1.0,0.0,2031616.0,0.0,65536.0,0.0,0.0,131072.0,0.0,0.0,262144.0,0.0,0.0,524288.0,0.0,0.0,1048576.0,0.0,0.0,True,True
TP,TP_TP_SP_TRANS,2,strong_width_scaling,2,1.0,16.0,0.0,0.0,1.0,0.0,1015808.0,0.0,32768.0,0.0,0.0,65536.0,0.0,0.0,131072.0,0.0,0.0,262144.0,0.0,0.0,524288.0,0.0,0.0,True,True
TP,TP_L1_CACHELINE_MISSES,2,strong_width_scaling,2,1.0,16.0,0.0,0.0,1.0,0.0,253952.0,0.0,8192.0,0.0,0.0,16384.0,0.0,0.0,32768.0,0.0,0.0,65536.0,0.0,0.0,131072.0,0.0,0.0,True,True
TP,TP_L1_CACHELINE_REQUESTS,2,strong_width_scaling,2,1.0,16.0,0.0,0.0,1.0,0.0,253952.0,0.0,8192.0,0.0,0.0,16384.0,0.0,0.0,32768.0,0.0,0.0,65536.0,0.0,0.0,131072.0,0.0,0.0,True,True
TP,TP_SP_TP_TRANS,2,strong_width_scaling,2,1.0,16.0,0.0,0.0,1.0,0.0,63488.0,0.0,2048.0,0.0,0.0,4096.0,0.0,0.0,8192.0,0.0,0.0,16384.0,0.0,0.0,32768.0,0.0,0.0,True,True
SP,SP_FS_STAGE_WAVE_CYCLES,2,moderate_width_scaling,2,1.0,2.7791982773178114,0.03284012378079441,0.011816401891443394,0.9931654789376254,0.00045725384372043897,138664302.0,663095.0409119345,18017476.0,5952.424884028357,0.0003303695192394516,18782855.5,307.59144981614816,1.6376181449947702e-05,22555833.0,55167.05685461206,0.00244580002230962,29233901.5,103762.97039165754,0.003549405487038996,50074236.0,608239.1110410445,0.01214674770157341,True,False
SP,SP_WAVE_CONTEXTS,2,moderate_width_scaling,2,1.0,2.7791982773178114,0.03284012378079441,0.011816401891443394,0.9931654789376254,0.00045725384372043897,138664302.0,663095.0409119345,18017476.0,5952.424884028357,0.0003303695192394516,18782855.5,307.59144981614816,1.6376181449947702e-05,22555833.0,55167.05685461206,0.00244580002230962,29233901.5,103762.97039165754,0.003549405487038996,50074236.0,608239.1110410445,0.01214674770157341,True,False
SP,SP_EWAVE_CONTEXTS,2,moderate_width_scaling,2,1.0,2.9537683357513203,0.011063500999338904,0.0037455547428789106,0.9958634058834384,4.788483788632127e-05,18155103.0,28384.680410390392,2242718.5,613.0615792887367,0.00027335645525229164,2439382.5,301.9345955666558,0.0001237750109163511,2955266.0,654.780879378743,0.0002215641094164596,3893268.5,6349.11178827401,0.0016307921707105508,6624467.5,23001.476485217205,0.0034722000651700993,True,False
SP,SP_EXECUTABLE_WAVES,2,moderate_width_scaling,2,1.0,2.9537683357513203,0.011063500999338904,0.0037455547428789106,0.9958634058834384,4.788483788632127e-05,18155103.0,28384.680410390392,2242718.5,613.0615792887367,0.00027335645525229164,2439382.5,301.9345955666558,0.0001237750109163511,2955266.0,654.780879378743,0.0002215641094164596,3893268.5,6349.11178827401,0.0016307921707105508,6624467.5,23001.476485217205,0.0034722000651700993,True,False
SP,SP_BUSY_CYCLES,2,moderate_width_scaling,2,1.0,2.743225227093247,0.0321760821294415,0.011729289236500514,0.9927453345802264,0.00047181104443352905,9736277.5,45519.999038883994,1277048.0,323.85490578343877,0.0002535965020762248,1323929.5,38.890872965260115,2.9375335291841535e-05,1583767.5,3735.6451250085306,0.0023587080332236458,2048297.0,6914.090106442061,0.003375531041856753,3503235.5,41978.80827870177,0.011982867917016075,True,False
SP,SP_WAVE_CONTEXT_CYCLES,2,moderate_width_scaling,2,1.0,2.743225227093247,0.0321760821294415,0.011729289236500514,0.9927453345802264,0.00047181104443352905,9736277.5,45519.999038883994,1277048.0,323.85490578343877,0.0002535965020762248,1323929.5,38.890872965260115,2.9375335291841535e-05,1583767.5,3735.6451250085306,0.0023587080332236458,2048297.0,6914.090106442061,0.003375531041856753,3503235.5,41978.80827870177,0.011982867917016075,True,False
SP,SP_FS_STAGE_DURATION_CYCLES,2,moderate_width_scaling,2,1.0,2.75415542612601,0.03236828875834118,0.011752527998708611,0.9927450305587484,0.00047183921637956216,9696447.0,45519.29193210281,1269087.5,325.9762261269984,0.00025685874782235146,1315961.5,38.890872965260115,2.9553199668273058e-05,1575799.5,3735.6451250085306,0.0023706347952315828,2040329.0,6914.090106442061,0.0033887133430157887,3495269.5,41975.97985157702,0.012009368619952488,True,False
SP,SP_EWAVE_CONTEXT_CYCLES,2,moderate_width_scaling,2,1.0,2.694237960186454,0.011197212519855785,0.004155984989195566,0.9942438939473404,6.041575529805736e-05,9631563.5,15787.573103552046,1270451.0,502.04581464244876,0.0003951713325759504,1317277.0,152.73506473629428,0.00011594756815483325,1575551.5,6.363961030678928,4.039195818530164e-06,2045389.5,3270.3688629877824,0.0015988978446343752,3422894.5,12872.878951501098,0.0037608167448634766,True,False
SP,SP_WORKING_EU_CS_STAGE,2,moderate_width_scaling,2,1.0,2.8144195265776903,0.00039398814706253994,0.00013998913216098458,0.9998406544105392,7.10099449586731e-06,5822384.5,519.7234841721124,708280.5,154.8563850798539,0.00021863708669073045,815982.5,82.73149339882606,0.00010138880845952709,983818.5,696.5001794687494,0.0007079559689808124,1320904.5,263.75082938258225,0.00019967441202795678,1993398.5,714.8849557795995,0.00035862621336355953,True,False
SP,SP_WORKING_EU_FS_STAGE,2,moderate_width_scaling,2,1.0,2.8144195265776903,0.00039398814706253994,0.00013998913216098458,0.9998406544105392,7.10099449586731e-06,5822384.5,519.7234841721124,708280.5,154.8563850798539,0.00021863708669073045,815982.5,82.73149339882606,0.00010138880845952709,983818.5,696.5001794687494,0.0007079559689808124,1320904.5,263.75082938258225,0.00019967441202795678,1993398.5,714.8849557795995,0.00035862621336355953,True,False
SP,SP_ANY_EU_WORKING,2,moderate_width_scaling,2,1.0,2.587427013228703,0.002983617436591476,0.0011531213909946737,0.9999703502844967,9.632151935214457e-06,4878869.0,1593.818684794478,628191.0,91.92388155425118,0.00014633110241033567,695403.5,132.22896808188437,0.00019014711326860502,835105.0,786.3027406794408,0.0009415615290046651,1094771.0,43.840620433565945,4.0045471092644895e-05,1625398.5,2112.1279554042176,0.0012994523837718674,True,False
SP,SP_ANY_EU_WORKING_CS_STAGE,2,moderate_width_scaling,2,1.0,2.5874764404172454,0.002983667199271118,0.0011531185956576225,0.9999703049876358,9.64181345315526e-06,4878857.0,1593.818684794478,628179.0,91.92388155425118,0.0001463338977492899,695403.5,132.22896808188437,0.00019014711326860502,835105.0,786.3027406794408,0.0009415615290046651,1094771.0,43.840620433565945,4.0045471092644895e-05,1625398.5,2112.1279554042176,0.0012994523837718674,True,False
SP,SP_ANY_EU_WORKING_FS_STAGE,2,moderate_width_scaling,2,1.0,2.5874764404172454,0.002983667199271118,0.0011531185956576225,0.9999703049876358,9.64181345315526e-06,4878857.0,1593.818684794478,628179.0,91.92388155425118,0.0001463338977492899,695403.5,132.22896808188437,0.00019014711326860502,835105.0,786.3027406794408,0.0009415615290046651,1094771.0,43.840620433565945,4.0045471092644895e-05,1625398.5,2112.1279554042176,0.0012994523837718674,True,False
SP,SP_NON_EXECUTION_CYCLES,2,moderate_width_scaling,2,1.0,2.8869694832931487,0.055799613989124204,0.01932809276718572,0.9770993955575633,0.0008711681906197548,4860798.0,42376.90939650979,649998.5,919.9459223236984,0.0014153046850472707,629567.5,361.3315651863258,0.0005739361787041513,748702.5,4080.713234227566,0.005450380136606417,955978.0,6250.82394568908,0.0065386692431092346,1876551.5,38925.521197538255,0.02074311373684029,True,False
TP,TP_BUSY_CYCLES,2,strong_width_scaling,2,1.0,12.478290010273664,0.24836167025306843,0.01990350200617124,0.9655857194960763,0.00011578905099894458,1833323.5,13017.128734863154,91350.5,386.7874093090415,0.004234102816175516,121714.0,3716.553241916494,0.03053513352544895,168486.5,2994.5972183250287,0.017773514307229534,311922.5,2253.549311641527,0.0072247090595950175,1139850.0,17861.51729277219,0.015670059475169706,True,False
SP,SP_WAVE_ALU_CYCLES,2,moderate_width_scaling,2,1.0,2.5775642085783934,0.0001674431364666691,6.496177123712437e-05,0.9992419493150895,2.880871582130464e-06,1712030.0,65.05382386916237,217407.0,22.627416997969522,0.00010407860371547155,253300.5,0.7071067811865476,2.791572780892843e-06,296405.5,12.020815280171307,4.0555304406197955e-05,384536.5,31.81980515339464,8.274846510901993e-05,560380.5,21.920310216782973,3.911683261066895e-05,True,False
SP,SP_ALU_WORKING_CYCLES,2,moderate_width_scaling,2,1.0,2.7979274611398965,0.0,0.0,0.9988259275638045,0.0,1643520.0,0.0,197632.0,0.0,0.0,237568.0,0.0,0.0,282624.0,0.0,0.0,372736.0,0.0,0.0,552960.0,0.0,0.0,True,False
VFD,VFDP_STARVE_CYCLES_PC,2,moderate_width_scaling,2,1.0,2.540329913302815,0.017185462631839732,0.006765051476914673,0.9961131594546015,0.0003827615314538234,1418400.0,4942.676400493967,191662.5,409.414826307011,0.002136123792119017,199071.0,250.31580054003783,0.0012574197172869873,237208.5,803.9804102091045,0.0033893406442395808,303568.5,753.0687219636732,0.0024807208981289996,486889.5,4333.857461892349,0.008901110954112482,True,False
TP,TP_LATENCY_CYCLES,2,strong_width_scaling,2,1.0,11.348558772203614,0.6276955181275079,0.055310593241579054,0.9721949324261163,0.0007235989393721395,1245406.5,15887.982266480536,66958.5,1908.4812024224918,0.028502448567732132,73808.0,2554.06969364581,0.034604239291754414,117257.0,845.6997102991108,0.007212360117512053,228099.5,825.1936136447009,0.003617691462036089,759283.5,20371.039259203248,0.026829292693971683,True,False
SP,SP_WAVE_EFU_CYCLES,2,strong_width_scaling,2,1.0,9.0,0.0,0.0,0.9980660061780342,0.0,20480.0,0.0,1024.0,0.0,0.0,2048.0,0.0,0.0,3072.0,0.0,0.0,5120.0,0.0,0.0,9216.0,0.0,0.0,True,False
SP,SP_STALL_CYCLES_TP,2,strong_width_scaling,2,1.0,14.449168273006354,0.47710903041294045,0.03301982656706033,0.9949767020473881,0.0008004716296656595,19624.5,51.61879502661797,626.5,24.748737341529164,0.03950317213332668,1741.5,2.1213203435596424,0.0012180995369277304,2989.0,2.8284271247461903,0.0009462787302596823,5221.0,32.526911934581186,0.006230015693273546,9046.5,58.68986283848344,0.00648757672453252,True,False
