run,group,chunk,counter,width,region_index,region_start_s,region_end_s,samples,total,max,mean,active_mean,active_samples,csv_path
sweep_20260625_152944,CP,1,CP_CONTEXT_DONE,256,2,0.248662,0.307354,41,26.0,22.0,0.6341463414634146,13.0,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_CACHE_FLUSH,256,2,0.248662,0.307354,41,9.0,7.0,0.21951219512195122,4.5,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_NEVER_COUNT,512,3,0.441789,0.500608,41,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_ALWAYS_COUNT,512,3,0.441789,0.500608,41,20349150.0,791086.0,496320.73170731706,496320.73170731706,41,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_BUSY_GFX_CORE_IDLE,512,3,0.441789,0.500608,41,131625.0,23260.0,3210.3658536585367,3210.3658536585367,41,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_BUSY_CYCLES,512,3,0.441789,0.500608,41,296782.0,186718.0,7238.585365853659,7238.585365853659,41,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_NUM_PREEMPTIONS,512,3,0.441789,0.500608,41,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_PREEMPTION_REACTION_DELAY,512,3,0.441789,0.500608,41,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_PREEMPTION_SWITCH_OUT_TIME,512,3,0.441789,0.500608,41,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_PREEMPTION_SWITCH_IN_TIME,512,3,0.441789,0.500608,41,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
