elapsed_s,VPC_US_STARVE_CYCLES_TSE_FE,VPC_US_PTUS_FULL,VPC_US_COMP_INVIS_PRIM_COUNT,VPC_US_STALL_CYCLES_VSC,VPC_US_STALL_CYCLES_VPC_BE,VPC_US_STALL_CYCLES_UCHE
0.001105,0,0,0,0,0,0
0.002917,0,0,0,0,0,0
0.004420,0,0,0,0,0,0
0.005962,0,0,0,0,0,0
0.007434,0,0,0,0,0,0
0.008951,0,0,0,0,0,0
0.010438,0,0,0,0,0,0
0.011920,0,0,0,0,0,0
0.013438,0,0,0,0,0,0
0.014909,0,0,0,0,0,0
0.016456,0,0,0,0,0,0
0.017961,0,0,0,0,0,0
0.019431,0,0,0,0,0,0
0.020913,0,0,0,0,0,0
0.022470,0,0,0,0,0,0
0.023914,0,0,0,0,0,0
0.025359,0,0,0,0,0,0
0.026847,0,0,0,0,0,0
0.028289,0,0,0,0,0,0
0.029771,0,0,0,0,0,0
0.031227,0,0,0,0,0,0
0.032681,0,0,0,0,0,0
0.034164,0,0,0,0,0,0
0.035665,0,0,0,0,0,0
0.037110,0,0,0,0,0,0
0.038630,0,0,0,0,0,0
0.040188,0,0,0,0,0,0
0.041803,0,0,0,0,0,0
0.043363,0,0,0,0,0,0
0.044922,0,0,0,0,0,0
0.046479,0,0,0,0,0,0
0.047908,0,0,0,0,0,0
0.049517,0,0,0,0,0,0
0.051073,0,0,0,0,0,0
0.052687,0,0,0,0,0,0
0.054204,0,0,0,0,0,0
0.055761,0,0,0,0,0,0
0.057290,0,0,0,0,0,0
0.058815,0,0,0,0,0,0
0.060320,0,0,0,0,0,0
0.061767,0,0,0,0,0,0
0.063147,0,0,0,0,0,0
0.064523,0,0,0,0,0,0
0.065900,0,0,0,0,0,0
0.067276,0,0,0,0,0,0
0.068673,0,0,0,0,0,0
0.070075,0,0,0,0,0,0
0.071531,0,0,0,0,0,0
0.072898,0,0,0,0,0,0
0.074300,0,0,0,0,0,0
0.075660,0,0,0,0,0,0
0.077085,0,0,0,0,0,0
0.078515,0,0,0,0,0,0
0.079929,0,0,0,0,0,0
0.081338,0,0,0,0,0,0
0.082769,12,0,0,0,0,0
0.084343,66,0,0,0,0,0
0.085954,0,0,0,0,0,0
0.087396,0,0,0,0,0,0
0.088796,0,0,0,0,0,0
0.090196,0,0,0,0,0,0
0.091598,0,0,0,0,0,0
0.093016,0,0,0,0,0,0
0.094415,78,0,0,0,0,0
0.095670,93,0,0,0,0,0
0.097069,0,0,0,0,0,0
0.098479,0,0,0,0,0,0
0.099908,0,0,0,0,0,0
0.101341,0,0,0,0,0,0
0.102787,0,0,0,0,0,0
0.104184,0,0,0,0,0,0
0.105576,0,0,0,0,0,0
0.106967,0,0,0,0,0,0
0.108356,0,0,0,0,0,0
0.109825,0,0,0,0,0,0
0.111217,0,0,0,0,0,0
0.114013,0,0,0,0,0,0
0.117704,0,0,0,0,0,0
0.119190,0,0,0,0,0,0
0.120559,0,0,0,0,0,0
0.121913,0,0,0,0,0,0
0.123265,0,0,0,0,0,0
0.124793,0,0,0,0,0,0
0.126196,0,0,0,0,0,0
0.127565,0,0,0,0,0,0
0.128918,0,0,0,0,0,0
0.130269,0,0,0,0,0,0
0.131617,0,0,0,0,0,0
0.132966,0,0,0,0,0,0
0.134442,0,0,0,0,0,0
0.135882,0,0,0,0,0,0
0.137279,0,0,0,0,0,0
0.138760,0,0,0,0,0,0
0.140156,0,0,0,0,0,0
0.141587,0,0,0,0,0,0
0.142982,0,0,0,0,0,0
0.144424,0,0,0,0,0,0
0.145820,0,0,0,0,0,0
0.147213,0,0,0,0,0,0
0.148654,0,0,0,0,0,0
0.150109,0,0,0,0,0,0
0.151507,0,0,0,0,0,0
0.152906,0,0,0,0,0,0
0.154304,0,0,0,0,0,0
0.155700,0,0,0,0,0,0
0.157097,0,0,0,0,0,0
0.158624,0,0,0,0,0,0
0.160184,0,0,0,0,0,0
0.161763,0,0,0,0,0,0
0.163323,0,0,0,0,0,0
0.164886,0,0,0,0,0,0
0.166492,0,0,0,0,0,0
0.168053,0,0,0,0,0,0
0.169674,0,0,0,0,0,0
0.171235,0,0,0,0,0,0
0.172812,0,0,0,0,0,0
0.174365,0,0,0,0,0,0
0.175915,0,0,0,0,0,0
0.177343,0,0,0,0,0,0
0.178919,0,0,0,0,0,0
0.180482,0,0,0,0,0,0
0.182086,0,0,0,0,0,0
0.183660,0,0,0,0,0,0
0.185222,0,0,0,0,0,0
0.186782,0,0,0,0,0,0
0.188341,0,0,0,0,0,0
0.189969,0,0,0,0,0,0
0.191398,0,0,0,0,0,0
0.192929,0,0,0,0,0,0
0.194502,0,0,0,0,0,0
0.196060,0,0,0,0,0,0
0.197682,0,0,0,0,0,0
0.199286,0,0,0,0,0,0
0.200846,0,0,0,0,0,0
0.202401,0,0,0,0,0,0
0.203956,0,0,0,0,0,0
0.205427,0,0,0,0,0,0
0.206958,0,0,0,0,0,0
0.208413,0,0,0,0,0,0
0.209805,0,0,0,0,0,0
0.211153,0,0,0,0,0,0
0.212677,0,0,0,0,0,0
0.214125,0,0,0,0,0,0
0.215491,0,0,0,0,0,0
0.216887,0,0,0,0,0,0
0.218230,0,0,0,0,0,0
0.219572,0,0,0,0,0,0
0.220960,0,0,0,0,0,0
0.222301,0,0,0,0,0,0
0.223639,0,0,0,0,0,0
0.225029,0,0,0,0,0,0
0.226386,0,0,0,0,0,0
0.227731,0,0,0,0,0,0
0.229077,0,0,0,0,0,0
0.230472,0,0,0,0,0,0
0.231793,0,0,0,0,0,0
0.233112,0,0,0,0,0,0
0.234431,0,0,0,0,0,0
0.235750,0,0,0,0,0,0
0.237129,0,0,0,0,0,0
0.238448,0,0,0,0,0,0
0.239765,0,0,0,0,0,0
0.241083,0,0,0,0,0,0
0.242403,0,0,0,0,0,0
0.243722,0,0,0,0,0,0
0.245089,0,0,0,0,0,0
0.246443,0,0,0,0,0,0
0.247756,0,0,0,0,0,0
0.249126,0,0,0,0,0,0
0.250458,0,0,0,0,0,0
0.251767,0,0,0,0,0,0
0.253120,0,0,0,0,0,0
0.254426,0,0,0,0,0,0
0.255729,0,0,0,0,0,0
0.257031,0,0,0,0,0,0
0.258343,0,0,0,0,0,0
0.259645,0,0,0,0,0,0
0.260996,0,0,0,0,0,0
0.262289,0,0,0,0,0,0
0.263549,0,0,0,0,0,0
0.264967,0,0,0,0,0,0
0.266336,0,0,0,0,0,0
0.267704,0,0,0,0,0,0
0.269079,0,0,0,0,0,0
0.270338,0,0,0,0,0,0
0.271631,0,0,0,0,0,0
0.272960,0,0,0,0,0,0
0.274331,0,0,0,0,0,0
