elapsed_s,VPC_BE_PS_BUSY_CYCLES,VPC_BE_PS_WORKING_CYCLES,VPC_BE_STALL_CYCLES_CCHE,VPC_BE_STARVE_CYCLES_CCHE,VPC_BE_LM_FULL_WAIT_FOR_INTP_END,VPC_BE_CCHE_REQBUF_FULL
0.001169,0,0,0,448920,0,0
0.002761,0,0,0,458916,0,0
0.005014,0,0,0,462870,0,0
0.006556,0,0,0,429594,0,0
0.008078,0,0,0,488340,0,0
0.009682,0,0,0,425628,0,0
0.011196,0,0,0,426846,0,0
0.012709,0,0,0,428556,0,0
0.014284,0,0,0,425004,0,0
0.015797,0,0,0,619260,0,0
0.017531,0,0,0,439410,0,0
0.019085,0,0,0,429978,0,0
0.020631,0,0,0,441066,0,0
0.022140,0,0,0,425478,0,0
0.023653,0,0,0,422832,0,0
0.025167,0,0,0,428280,0,0
0.026690,0,0,0,431652,0,0
0.028215,0,0,0,533826,0,0
0.029901,0,0,0,433446,0,0
0.031394,0,0,0,430986,0,0
0.032913,0,0,0,431682,0,0
0.034356,0,0,0,410574,0,0
0.035796,0,0,0,412806,0,0
0.037335,0,0,0,490392,0,0
0.038777,0,0,0,415782,0,0
0.040220,0,0,0,547542,0,0
0.041933,0,0,0,456744,0,0
0.043430,0,0,0,427842,0,0
0.044923,0,0,0,412956,0,0
0.046436,0,0,0,496806,0,0
0.047944,0,0,0,463200,0,0
0.049496,0,0,0,501336,0,0
0.050916,0,0,0,439806,0,0
0.052340,0,0,0,439602,0,0
0.053760,0,0,0,439944,0,0
0.055180,0,0,0,438498,0,0
0.056649,0,0,0,440670,0,0
0.058069,0,0,0,440460,0,0
0.059491,0,0,0,441252,0,0
0.060911,0,0,0,438144,0,0
0.062352,0,0,0,439500,0,0
0.063777,0,0,0,479850,0,0
0.065294,0,0,0,382104,0,0
0.066650,0,0,0,364116,0,0
0.068063,0,0,0,365916,0,0
0.069430,0,0,0,360552,0,0
0.070792,0,0,0,362046,0,0
0.072152,0,0,0,359472,0,0
0.073507,0,0,0,354054,0,0
0.074927,0,0,0,362274,0,0
0.076287,0,0,0,356550,0,0
0.077644,0,0,0,358554,0,0
0.079015,282,351,0,760836,0,0
0.080372,0,0,0,386598,0,0
0.081754,0,0,0,360648,0,0
0.083109,0,0,0,359502,0,0
0.084464,0,0,0,359184,0,0
0.085830,0,0,0,361128,0,0
0.087185,0,0,0,358872,0,0
0.088606,387,543,0,1039122,0,0
0.090128,276,333,0,8930886,0,0
0.091415,0,0,0,8446068,0,0
0.092690,0,0,0,8392620,0,0
0.094008,0,0,0,8702688,0,0
0.095277,0,0,0,8365902,0,0
0.096560,0,0,0,8019048,0,0
0.097832,0,0,0,7999050,0,0
0.099097,0,0,0,7947846,0,0
0.101092,0,0,0,12820506,0,0
0.102397,0,0,0,7983342,0,0
0.103662,0,0,0,7967052,0,0
0.108203,0,0,0,28653426,0,0
0.109485,0,0,0,8045094,0,0
0.110752,0,0,0,7977078,0,0
0.112017,0,0,0,7990662,0,0
0.113285,0,0,0,7952208,0,0
0.114547,0,0,0,7956204,0,0
0.115810,0,0,0,7955382,0,0
0.117077,0,0,0,7994394,0,0
0.118344,0,0,0,7973592,0,0
0.119627,0,0,0,8090964,0,0
0.120896,0,0,0,7981698,0,0
0.122159,0,0,0,7952106,0,0
0.123420,0,0,0,7952526,0,0
0.124683,0,0,0,7954314,0,0
0.126059,0,0,0,8675658,0,0
0.127324,0,0,0,7986816,0,0
0.128654,0,0,0,8369424,0,0
0.129929,0,0,0,8033580,0,0
0.131195,0,0,0,7966224,0,0
0.132462,0,0,0,7983114,0,0
0.133727,0,0,0,7973466,0,0
0.134992,0,0,0,7966818,0,0
0.136258,0,0,0,7975356,0,0
0.137523,0,0,0,7964724,0,0
0.138787,0,0,0,7965462,0,0
0.140060,0,0,0,8035176,0,0
0.141327,0,0,0,7968498,0,0
0.142626,0,0,0,8181102,0,0
0.143898,0,0,0,8033760,0,0
0.145169,0,0,0,7995726,0,0
0.146435,0,0,0,7972674,0,0
0.147700,0,0,0,7965384,0,0
0.148966,0,0,0,7974036,0,0
0.150240,0,0,0,8030424,0,0
0.151505,0,0,0,7967124,0,0
0.152771,0,0,0,7979832,0,0
0.154036,0,0,0,7962594,0,0
0.155300,0,0,0,7969854,0,0
0.156567,0,0,0,7977984,0,0
0.157865,0,0,0,8182530,0,0
0.159130,0,0,0,7966740,0,0
0.160406,0,0,0,8035926,0,0
0.161670,0,0,0,7963560,0,0
0.162934,0,0,0,7965606,0,0
0.164200,0,0,0,7975146,0,0
0.165466,0,0,0,7972680,0,0
0.166730,0,0,0,7961778,0,0
0.167994,0,0,0,8357832,0,0
0.169335,0,0,0,8062236,0,0
0.170607,0,0,0,8277942,0,0
0.171917,0,0,0,7983870,0,0
0.173184,0,0,0,7983606,0,0
0.174483,0,0,0,8184456,0,0
0.175748,0,0,0,7965234,0,0
0.177014,0,0,0,7972668,0,0
0.178278,0,0,0,7964796,0,0
0.179542,0,0,0,7967976,0,0
0.180819,0,0,0,8039730,0,0
0.182082,0,0,0,7959270,0,0
0.183345,0,0,0,7951854,0,0
0.184610,0,0,0,7974648,0,0
0.185875,0,0,0,7968792,0,0
0.187139,0,0,0,7964064,0,0
0.188403,0,0,0,7966062,0,0
0.189709,0,0,0,8228718,0,0
0.190983,0,0,0,8020236,0,0
0.192248,0,0,0,7972848,0,0
0.193512,0,0,0,7963290,0,0
0.194777,0,0,0,7963296,0,0
0.196040,0,0,0,7972176,0,0
0.197307,0,0,0,7963110,0,0
0.198569,0,0,0,7961034,0,0
0.199833,0,0,0,7963596,0,0
0.201107,0,0,0,8024280,0,0
0.202398,0,0,0,8291214,0,0
0.203706,0,0,0,8105826,0,0
0.204978,0,0,0,7997832,0,0
0.206248,0,0,0,7999062,0,0
0.207467,0,0,0,7674582,0,0
0.208732,0,0,0,7977216,0,0
0.209955,0,0,0,7695414,0,0
0.211185,0,0,0,7778820,0,0
0.212458,0,0,0,7994976,0,0
