
[selected] 6 counters, interval 0.005 s
       SP         gid=0x0a selector=1    SP_BUSY_CYCLES                               (A8XX_PERF_SP_BUSY_CYCLES)
       SP         gid=0x0a selector=2    SP_ALU_WORKING_CYCLES                        (A8XX_PERF_SP_ALU_WORKING_CYCLES)
       UCHE       gid=0x08 selector=1    UCHE_BUSY_CYCLES                             (A8XX_PERF_UCHE_BUSY_CYCLES)
       UCHE       gid=0x08 selector=52   UCHE_RAM_READ_REQ                            (A8XX_PERF_UCHE_RAM_READ_REQ)
       UCHE       gid=0x08 selector=25   UCHE_VBIF_READ_BEATS_SP                      (A8XX_PERF_UCHE_VBIF_READ_BEATS_SP)
       SP         gid=0x0a selector=46   SP_UCHE_READ_TRANS                           (A8XX_PERF_SP_UCHE_READ_TRANS)
[GET] SP_BUSY_CYCLES                               group=0xa selector=1 reg_low=0x29c reg_high=0x29d
[GET] SP_ALU_WORKING_CYCLES                        group=0xa selector=2 reg_low=0x29a reg_high=0x29b
[GET] UCHE_BUSY_CYCLES                             group=0x8 selector=1 reg_low=0x254 reg_high=0x255
[GET] UCHE_RAM_READ_REQ                            group=0x8 selector=52 reg_low=0x252 reg_high=0x253
[GET] UCHE_VBIF_READ_BEATS_SP                      group=0x8 selector=25 reg_low=0x250 reg_high=0x251
[GET] SP_UCHE_READ_TRANS                           group=0xa selector=46 reg_low=0x296 reg_high=0x297

[stream] Press Ctrl+C to stop. Values are deltas since previous sample.
[csv] logging elapsed_s and counter deltas to /data/local/tmp/adreno_perf_stream_last.csv
elapsed_s,SP_BUSY_CYCLES,SP_ALU_WORKING_CYCLES,UCHE_BUSY_CYCLES,UCHE_RAM_READ_REQ,UCHE_VBIF_READ_BEATS_SP,SP_UCHE_READ_TRANS
0.006663,0,0,0,0,0,0
0.013043,0,0,0,0,0,0
0.021570,0,0,0,0,0,0
0.030509,0,0,0,0,0,0
0.035936,0,0,0,0,0,0
0.041183,0,0,0,0,0,0
0.047064,0,0,0,0,0,0
0.052612,0,0,0,0,0,0
0.061424,0,0,0,0,0,0
0.066719,0,0,0,0,0,0
0.072302,0,0,0,0,0,0
0.078314,0,0,0,0,0,0
0.084073,0,0,0,0,0,0
0.089382,0,0,0,0,0,0
0.099050,0,0,0,0,0,0
0.108140,0,0,0,0,0,0
0.128006,0,0,0,0,0,0
0.137448,0,0,0,0,0,0
0.147840,0,0,0,0,0,0
0.159375,0,0,0,0,0,0
0.177407,0,0,0,0,0,0
0.191806,0,0,0,0,0,0
0.197277,0,0,0,0,0,0
0.207790,0,0,0,0,0,0
0.213441,0,0,0,0,0,0
0.218716,0,0,0,0,0,0
0.225670,0,0,0,0,0,0
0.239232,0,0,0,0,0,0
0.248486,594306,372741,11800,4242,0,0
0.253726,6118462,3819705,175743,87958,7068,4800
0.258995,10111512,6317381,203857,55996,0,0
0.264225,10043388,6270376,195379,60358,0,0
0.269475,10055724,6279528,207747,67270,0,0
0.274714,10082844,6298362,209188,60808,0,0
0.280107,10347720,6464255,229291,66820,0,0
0.286091,11369678,7027392,252877,65684,0,0
0.291325,10066956,6292349,205346,52308,0,0
0.296561,10050840,6282326,223883,56440,0,0
0.301808,10076280,6298383,214976,50820,0,0
0.307032,10029792,6270522,238124,53803,0,0
0.313013,11474892,7173568,290808,62523,0,0
0.319030,11548476,7220050,286226,58692,0,0
0.324257,9969772,6205138,204504,45000,0,0
0.329526,10028220,6276304,172462,39868,0,0
0.334749,10116720,6317309,188637,40990,0,0
0.339964,39440856,24540681,1183923,159266,0,0
0.345203,69029650,42865389,2193293,275012,0,0
0.350539,70284453,43641412,2256847,281578,0,0
0.356069,72929829,45273912,2385223,290692,0,0
0.365558,125176232,77727071,4124063,499626,0,0
0.370806,69296884,43031755,2266022,276668,0,0
0.376043,68984981,42830527,2244446,275462,0,0
0.381290,69221972,42983156,2255647,276538,0,0
0.386544,69245674,43013037,2254399,276556,0,0
0.391777,69057471,42882446,2251562,275734,0,0
0.397208,71617839,44473028,2340168,285848,0,0
0.402436,68951791,42825486,2250551,274812,0,0
0.408361,78086826,48493081,2556944,312166,0,0
0.413666,69961568,43441306,2292285,279218,0,0
0.418971,69917290,43426082,2274883,279330,0,0
0.427002,106040296,65850110,3485329,423892,0,0
0.432311,70019284,43476910,2293456,279156,0,0
0.437566,69259976,43007794,2259890,276658,0,0
0.442825,69341101,43051816,2263065,276544,0,0
0.448049,68889354,42787304,2243700,275740,0,0
0.453558,72656866,45128415,2357574,289624,0,0
0.458802,69136685,42950040,2259404,276158,0,0
0.464033,69001188,42866305,2241793,275546,0,0
0.469251,68817661,42754136,2235653,275164,0,0
0.474464,68761010,42717259,2231076,274718,0,0
0.479705,69092057,42918499,2258975,275902,0,0
0.484980,69557553,43203676,2266441,277766,0,0
0.490270,69694896,43286568,2274307,278374,0,0
0.495506,69114860,42927379,2256531,276470,0,0
0.500853,70456173,43765429,2297307,281024,0,0
0.506110,69320815,43087113,2259425,277154,0,0
0.511326,68882017,42771032,2241134,274556,0,0
0.516604,69594039,43236290,2263413,278230,0,0
0.521886,69655079,43266720,2271587,278260,0,0
0.527112,68921960,42814275,2245880,275654,0,0
0.532338,68926787,42817899,2236049,275082,0,0
0.537576,69061509,42896346,2251657,275600,0,0
0.542816,69039251,42897745,2255298,276116,0,0
0.548045,69028287,42862811,2242351,275616,0,0
0.553869,76689961,47635760,2507762,306494,0,0
0.559105,69169799,42965671,2251086,275906,0,0
0.564340,68927821,42822141,2245853,275620,0,0
0.570185,77195064,47944862,2517571,308398,0,0
0.575412,68951676,42833294,2249957,275090,0,0
0.580652,69086210,42920423,2246996,276142,0,0
0.585878,68921299,42814544,2244815,275034,0,0
0.591000,67555344,41969465,2199348,270082,0,0
0.596332,70314589,43686601,2286340,281261,0,0
0.601566,69027572,42876751,2247811,275771,0,0
0.606834,69458019,43141323,2266026,276976,0,0
0.612050,68801107,42729677,2237528,275082,0,0
0.617418,70715867,43919315,2283612,282194,0,0
0.622649,68991681,42861880,2238187,275346,0,0
0.627768,67526202,41940210,2201991,270234,0,0
0.633116,70501415,43795307,2295669,281302,0,0
0.638348,69013026,42875780,2242366,275594,0,0
0.643579,69002957,42867252,2245912,275650,0,0
0.648890,70017181,43495798,2282205,279664,0,0
0.654130,69107703,42926534,2253860,276160,0,0
0.659419,69755741,43331013,2279189,278642,0,0
0.664665,69182891,42970915,2259505,276156,0,0
0.669872,68677048,42663587,2240579,274538,0,0
0.675091,68826114,42748670,2242468,274562,0,0
0.680314,68872140,42783468,2246557,275712,0,0
0.685547,69006587,42860436,2252096,275218,0,0
0.690780,69014585,42865812,2253784,275920,0,0
0.696063,69673416,43277666,2269998,277708,0,0
0.701286,68875974,42787670,2242425,275630,0,0
0.706512,68926605,42822914,2241501,275080,0,0
0.711743,68976256,42843657,2247600,275620,0,0
0.717193,71847701,44633877,2341513,286710,0,0
0.722426,69051400,42889186,2250336,276128,0,0
0.727656,68967549,42833551,2248433,275102,0,0
0.732881,68405167,42613657,2243204,276324,0,0
0.738104,69378159,42963769,2250527,273896,0,0
0.743323,68829809,42753839,2244879,275088,0,0
0.748546,68849541,42770841,2244903,275082,0,0
0.753774,68965402,42843189,2250930,275584,0,0
0.759001,68933730,42824951,2243258,275606,0,0
0.764218,68813875,42748420,2241617,274562,0,0
0.769434,68773257,42721811,2240006,275018,0,0
0.774655,68843562,42763712,2243071,274628,0,0
0.779872,68821858,42751694,2240025,275102,0,0
0.785048,68171513,42365788,2217400,272496,0,0
0.790271,68961049,42813161,2252291,275032,0,0
0.795494,68873566,42782581,2241535,275076,0,0
0.800714,68828493,42750853,2244551,275086,0,0
0.805942,68934343,42820566,2249789,275096,0,0
0.811170,68942924,42822102,2245660,275652,0,0
0.816385,68802628,42741453,2233112,274696,0,0
0.821612,68923166,42818195,2242117,275480,0,0
0.826851,69065016,42904856,2253078,275630,0,0
0.832128,69618780,43251298,2266399,278242,0,0
0.837355,68927097,42818674,2243467,275228,0,0
0.842572,68819101,42748310,2241902,275366,0,0
0.848636,79871736,49603917,2569873,319038,0,0
0.853871,69066153,42890634,2263667,275594,0,0
0.859101,68969978,42833186,2247539,275572,0,0
