
[selected] 6 counters, interval 0.005 s
       SP         gid=0x0a selector=1    SP_BUSY_CYCLES                               (A8XX_PERF_SP_BUSY_CYCLES)
       SP         gid=0x0a selector=2    SP_ALU_WORKING_CYCLES                        (A8XX_PERF_SP_ALU_WORKING_CYCLES)
       UCHE       gid=0x08 selector=1    UCHE_BUSY_CYCLES                             (A8XX_PERF_UCHE_BUSY_CYCLES)
       UCHE       gid=0x08 selector=52   UCHE_RAM_READ_REQ                            (A8XX_PERF_UCHE_RAM_READ_REQ)
       UCHE       gid=0x08 selector=25   UCHE_VBIF_READ_BEATS_SP                      (A8XX_PERF_UCHE_VBIF_READ_BEATS_SP)
       SP         gid=0x0a selector=46   SP_UCHE_READ_TRANS                           (A8XX_PERF_SP_UCHE_READ_TRANS)
[GET] SP_BUSY_CYCLES                               group=0xa selector=1 reg_low=0x29c reg_high=0x29d
[GET] SP_ALU_WORKING_CYCLES                        group=0xa selector=2 reg_low=0x29a reg_high=0x29b
[GET] UCHE_BUSY_CYCLES                             group=0x8 selector=1 reg_low=0x254 reg_high=0x255
[GET] UCHE_RAM_READ_REQ                            group=0x8 selector=52 reg_low=0x252 reg_high=0x253
[GET] UCHE_VBIF_READ_BEATS_SP                      group=0x8 selector=25 reg_low=0x250 reg_high=0x251
[GET] SP_UCHE_READ_TRANS                           group=0xa selector=46 reg_low=0x296 reg_high=0x297

[stream] Press Ctrl+C to stop. Values are deltas since previous sample.
[csv] logging elapsed_s and counter deltas to /data/local/tmp/adreno_perf_stream_last.csv
elapsed_s,SP_BUSY_CYCLES,SP_ALU_WORKING_CYCLES,UCHE_BUSY_CYCLES,UCHE_RAM_READ_REQ,UCHE_VBIF_READ_BEATS_SP,SP_UCHE_READ_TRANS
0.615102,69047480,42620051,3093395,298856,0,0
0.620222,67461495,41665368,3032443,292814,0,0
0.626031,76551040,47214002,3435414,331568,0,0
0.631228,68652913,42373833,3078428,296700,0,0
0.636522,69727675,43036976,3129216,301848,0,0
0.641997,72135864,44515485,3234868,312206,0,0
0.647508,72657108,44851531,3247587,314322,0,0
0.652743,69109947,42647192,3096270,299488,0,0
0.657942,68514709,42290208,3071873,296784,0,0
0.663260,70053450,43246422,3141068,303414,0,0
0.668526,69443215,42867288,3107665,300810,0,0
0.673783,69261515,42749805,3109591,299496,0,0
0.678987,68798855,42466552,3084531,298078,0,0
0.684272,69618662,42970705,3117562,301366,0,0
0.689535,69461097,42873113,3118685,300674,0,0
0.694764,68939911,42555851,3089732,298350,0,0
0.700045,69588130,42964443,3117318,301382,0,0
0.705276,69038572,42628960,3094705,299088,0,0
0.710508,69027324,42592878,3095833,298750,0,0
0.715739,68968987,42575305,3092264,298836,0,0
0.720991,69169591,42704288,3098878,299622,0,0
0.726228,69102265,42635935,3101023,298996,0,0
0.731459,69034817,42608096,3100098,298902,0,0
0.736650,68444828,42240845,3075029,296038,0,0
0.741987,70243711,43366876,3148338,304252,0,0
0.747283,69882812,43123383,3131784,302866,0,0
0.752519,69131513,42670836,3100922,298946,0,0
0.757755,69018318,42591510,3098853,299254,0,0
0.762988,68990265,42578264,3098181,298536,0,0
0.768096,67413971,41607056,3020733,291884,0,0
0.773317,68837995,42487176,3084214,297934,0,0
0.778536,68838721,42492725,3089099,298090,0,0
0.783760,68860255,42507840,3083961,298214,0,0
0.789331,73280797,45244769,3290576,317280,0,0
0.794558,69121854,42649197,3101858,299796,0,0
0.799795,69056734,42628071,3091774,298126,0,0
0.805048,69259035,42742904,3109836,300162,0,0
0.810272,68904976,42524825,3089592,298236,0,0
0.815474,68545407,42310306,3077584,296716,0,0
0.820719,69163559,42690688,3101326,299442,0,0
0.825984,69450879,42870639,3120391,300706,0,0
0.831265,69593773,42955529,3120261,301276,0,0
0.836527,69411382,42842515,3114733,301052,0,0
0.841759,69025435,42614505,3097119,298638,0,0
0.846994,69036634,42607664,3093798,298862,0,0
0.852288,69724917,43026937,3134151,301790,0,0
0.857531,69103723,42654547,3102256,298948,0,0
0.862776,69161391,42682217,3105726,299520,0,0
0.868004,69034191,42609811,3097032,298964,0,0
0.874393,84209817,51969637,3778962,364806,0,0
0.879639,69173302,42695254,3101309,299320,0,0
0.884891,69263353,42739071,3105227,299924,0,0
0.890124,69006904,42594000,3099422,298838,0,0
0.895361,68962640,42560080,3096551,298656,0,0
0.900584,68951732,42553193,3089862,298466,0,0
0.905830,64068779,39502366,2908925,292816,0,0
0.911110,0,0,0,0,0,0
0.916403,0,0,0,0,0,0
0.921635,0,0,0,0,0,0
0.927128,0,0,0,0,0,0
0.932453,0,0,0,0,0,0
0.937920,0,0,0,0,0,0
0.943519,0,0,0,0,0,0
0.949203,0,0,0,0,0,0
0.954557,0,0,0,0,0,0
0.960245,0,0,0,0,0,0
0.965627,0,0,0,0,0,0
0.970931,0,0,0,0,0,0
0.976340,0,0,0,0,0,0
0.982126,0,0,0,0,0,0
0.987536,0,0,0,0,0,0
0.992872,0,0,0,0,0,0
0.998353,0,0,0,0,0,0
1.003937,0,0,0,0,0,0
1.009855,0,0,0,0,0,0
1.015082,0,0,0,0,0,0
1.020308,0,0,0,0,0,0
1.025655,0,0,0,0,0,0
1.030955,0,0,0,0,0,0
1.036200,0,0,0,0,0,0
1.041748,0,0,0,0,0,0
1.047106,0,0,0,0,0,0
1.052442,0,0,0,0,0,0
1.057917,0,0,0,0,0,0
1.063041,0,0,0,0,0,0
1.068872,0,0,0,0,0,0
1.074233,0,0,0,0,0,0
1.079477,0,0,0,0,0,0
1.084890,0,0,0,0,0,0
1.090345,0,0,0,0,0,0
1.096324,0,0,0,0,0,0
1.102178,0,0,0,0,0,0
1.107561,0,0,0,0,0,0
1.114472,0,0,0,0,0,0
1.119783,0,0,0,0,0,0
1.126446,0,0,0,0,0,0
1.131759,0,0,0,0,0,0
1.137468,0,0,0,0,0,0
1.142705,0,0,0,0,0,0
1.148080,0,0,0,0,0,0
1.153549,0,0,0,0,0,0
1.159122,0,0,0,0,0,0
1.164687,0,0,0,0,0,0
