
[selected] 6 counters, interval 0.005 s
       SP         gid=0x0a selector=1    SP_BUSY_CYCLES                               (A8XX_PERF_SP_BUSY_CYCLES)
       SP         gid=0x0a selector=2    SP_ALU_WORKING_CYCLES                        (A8XX_PERF_SP_ALU_WORKING_CYCLES)
       UCHE       gid=0x08 selector=1    UCHE_BUSY_CYCLES                             (A8XX_PERF_UCHE_BUSY_CYCLES)
       UCHE       gid=0x08 selector=52   UCHE_RAM_READ_REQ                            (A8XX_PERF_UCHE_RAM_READ_REQ)
       UCHE       gid=0x08 selector=25   UCHE_VBIF_READ_BEATS_SP                      (A8XX_PERF_UCHE_VBIF_READ_BEATS_SP)
       SP         gid=0x0a selector=46   SP_UCHE_READ_TRANS                           (A8XX_PERF_SP_UCHE_READ_TRANS)
[GET] SP_BUSY_CYCLES                               group=0xa selector=1 reg_low=0x29c reg_high=0x29d
[GET] SP_ALU_WORKING_CYCLES                        group=0xa selector=2 reg_low=0x29a reg_high=0x29b
[GET] UCHE_BUSY_CYCLES                             group=0x8 selector=1 reg_low=0x254 reg_high=0x255
[GET] UCHE_RAM_READ_REQ                            group=0x8 selector=52 reg_low=0x252 reg_high=0x253
[GET] UCHE_VBIF_READ_BEATS_SP                      group=0x8 selector=25 reg_low=0x250 reg_high=0x251
[GET] SP_UCHE_READ_TRANS                           group=0xa selector=46 reg_low=0x296 reg_high=0x297

[stream] Press Ctrl+C to stop. Values are deltas since previous sample.
[csv] logging elapsed_s and counter deltas to /data/local/tmp/adreno_perf_stream_last.csv
elapsed_s,SP_BUSY_CYCLES,SP_ALU_WORKING_CYCLES,UCHE_BUSY_CYCLES,UCHE_RAM_READ_REQ,UCHE_VBIF_READ_BEATS_SP,SP_UCHE_READ_TRANS
0.006694,0,0,0,0,0,0
0.013146,0,0,0,0,0,0
0.018511,0,0,0,0,0,0
0.024264,0,0,0,0,0,0
0.030809,0,0,0,0,0,0
0.036172,0,0,0,0,0,0
0.041471,0,0,0,0,0,0
0.046762,0,0,0,0,0,0
0.052377,0,0,0,0,0,0
0.057614,0,0,0,0,0,0
0.062882,0,0,0,0,0,0
0.071117,0,0,0,0,0,0
0.076347,0,0,0,0,0,0
0.081611,0,0,0,0,0,0
0.087193,0,0,0,0,0,0
0.093285,0,0,0,0,0,0
0.098544,0,0,0,0,0,0
0.104996,0,0,0,0,0,0
0.110366,0,0,0,0,0,0
0.115784,0,0,0,0,0,0
0.122318,0,0,0,0,0,0
0.127950,0,0,0,0,0,0
0.133192,0,0,0,0,0,0
0.138469,0,0,0,0,0,0
0.143822,0,0,0,0,0,0
0.149062,0,0,0,0,0,0
0.157036,0,0,0,0,0,0
0.163904,0,0,0,0,0,0
0.169660,0,0,0,0,0,0
0.174980,0,0,0,0,0,0
0.180239,0,0,0,0,0,0
0.185763,0,0,0,0,0,0
0.191075,0,0,0,0,0,0
0.196842,0,0,0,0,0,0
0.202195,0,0,0,0,0,0
0.207494,0,0,0,0,0,0
0.212972,0,0,0,0,0,0
0.218283,0,0,0,0,0,0
0.223607,0,0,0,0,0,0
0.229295,0,0,0,0,0,0
0.234437,0,0,0,0,0,0
0.239843,0,0,0,0,0,0
0.245807,0,0,0,0,0,0
0.260727,0,0,0,0,0,0
0.266083,0,0,0,0,0,0
0.271813,0,0,0,0,0,0
0.283727,0,0,0,0,0,0
0.293869,30209310,18484189,2271874,217039,0,0
0.299103,65629169,40262720,4898947,448643,0,0
0.304328,65773380,40361192,4586244,377038,0,0
0.309548,65697036,40313519,4579004,376842,0,0
0.314826,66418446,40765175,4626562,381260,0,0
0.320337,69311801,42528289,4826465,397072,0,0
0.325572,65949772,40472407,4597106,378286,0,0
0.330793,65726060,40305610,4595078,376828,0,0
0.336021,65791510,40360970,4593448,377130,0,0
0.341251,65833587,40379525,4607693,377577,0,0
0.346481,65817452,40379792,4601038,377539,0,0
0.351944,68770382,42198700,4810617,394338,0,0
0.357174,65824446,40387392,4601307,377618,0,0
0.362393,65684971,40307226,4591135,376788,0,0
0.367639,65926428,40441558,4626211,377886,0,0
0.372866,68587416,42016042,4844886,392808,0,0
0.378585,75265376,46065935,5326586,430452,0,0
0.385176,86998773,53269771,6178480,498070,0,0
0.398736,178733639,109402888,12727639,1022506,0,0
0.411779,171958108,105199629,12264202,983096,0,0
0.417487,75350547,46148557,5351080,431352,0,0
0.422716,69004908,42266426,4885636,395192,0,0
0.427977,69367251,42462462,4938485,396908,0,0
0.433202,68909047,42211601,4875147,394488,0,0
0.438428,68891151,42231888,4847685,394474,0,0
0.443645,68621509,42029289,4849423,393524,0,0
0.448873,69076110,42330764,4861596,395324,0,0
0.454138,69342907,42510586,4906041,397354,0,0
0.459373,69162742,42336636,4874220,395581,0,0
0.464592,68786741,42133556,4866663,393861,0,0
0.470481,77622949,47535813,5504152,444248,0,0
0.475736,69354167,42481772,4895422,397130,0,0
0.480984,69214719,42388730,4895484,396360,0,0
0.486212,68953749,42240219,4876906,394598,0,0
0.491445,68997630,42279522,4880494,395200,0,0
0.496678,69003084,42301594,4849882,395368,0,0
0.501901,68884553,42224011,4842829,394658,0,0
0.507124,68867694,42211039,4858210,394656,0,0
0.512342,68807002,42173353,4836180,394154,0,0
0.517582,69070184,42335271,4862074,396332,0,0
0.522804,68869524,42188279,4864859,393888,0,0
0.529138,83438533,51114591,5884920,477502,0,0
0.534367,68990548,42271400,4861833,395480,0,0
0.539627,69288168,42463008,4887684,397684,0,0
0.544861,69082399,42334575,4871709,394560,0,0
0.550081,68856208,42185675,4863172,394666,0,0
0.555301,68815083,42183713,4842929,394160,0,0
0.560526,68809416,42190486,4840476,394856,0,0
0.565749,68972935,42277211,4853412,394754,0,0
0.570976,68914274,42255378,4855901,394990,0,0
0.576211,69034140,42314917,4861951,395234,0,0
0.581506,69804745,42779296,4927643,400162,0,0
0.586726,68842555,42189817,4851456,393928,0,0
0.592011,69642807,42683108,4918142,399054,0,0
0.597247,69099807,42349341,4868719,396078,0,0
0.602472,68812960,42191115,4859709,394728,0,0
0.607705,68898760,42261357,4840373,394800,0,0
0.612949,69248957,42427251,4872051,396484,0,0
0.618177,69033480,42316697,4856013,395310,0,0
0.623455,69522540,42611874,4891692,398456,0,0
0.628687,69074495,42342243,4852076,395476,0,0
0.633928,69067060,42352313,4879444,396042,0,0
0.639164,69074181,42305974,4869517,395592,0,0
0.644406,68937740,42281130,4871914,395864,0,0
0.649640,69214719,42374033,4885045,395256,0,0
0.654865,68893019,42215534,4856286,394478,0,0
0.660084,68834864,42174978,4850337,394418,0,0
0.665310,68897362,42218864,4865684,394478,0,0
0.670538,68945604,42257925,4851407,395106,0,0
0.675794,69235859,42441268,4879002,396653,0,0
0.681027,69068178,42340559,4865102,395567,0,0
0.686257,68965214,42280444,4851077,395222,0,0
0.691488,68976320,42289832,4846494,395406,0,0
0.696707,68803514,42170111,4857225,394290,0,0
0.701936,68943934,42270069,4854116,395182,0,0
0.707168,68952738,42247876,4855511,394600,0,0
0.712391,68903892,42230922,4860617,394650,0,0
0.717619,68973035,42251653,4848189,395076,0,0
0.722841,68844303,42206264,4847885,394550,0,0
