elapsed_s,TP_NEVER_COUNT,TP_BUSY_CYCLES,TP_STALL_CYCLES_UCHE,TP_LATENCY_CYCLES,TP_LATENCY_TRANS,TP_FLAG_FIFO_DELAY_SAMPLES,TP_FLAG_FIFO_DELAY_CYCLES,TP_L1_CACHELINE_REQUESTS,TP_L1_CACHELINE_MISSES,TP_SP_TP_TRANS,TP_TP_SP_TRANS,TP_OUTPUT_PIXELS
0.244789,0,0,0,0,0,0,0,0,0,0,0,0
0.246233,0,0,0,0,0,0,0,0,0,0,0,0
0.247839,0,0,0,0,0,0,0,0,0,0,0,0
0.249434,0,0,0,0,0,0,0,0,0,0,0,0
0.251027,0,0,0,0,0,0,0,0,0,0,0,0
0.252644,0,0,0,0,0,0,0,0,0,0,0,0
0.254237,0,0,0,0,0,0,0,0,0,0,0,0
0.255877,0,0,0,0,0,0,0,0,0,0,0,0
0.257485,0,0,0,0,0,0,0,0,0,0,0,0
0.259077,0,0,0,0,0,0,0,0,0,0,0,0
0.260676,0,0,0,0,0,0,0,0,0,0,0,0
0.262270,0,0,0,0,0,0,0,0,0,0,0,0
0.263909,0,0,0,0,0,0,0,0,0,0,0,0
0.265504,0,0,0,0,0,0,0,0,0,0,0,0
0.267097,0,0,0,0,0,0,0,0,0,0,0,0
0.268703,0,0,0,0,0,0,0,0,0,0,0,0
0.270288,0,0,0,0,0,0,0,0,0,0,0,0
0.271799,0,0,0,0,0,0,0,0,0,0,0,0
0.273364,0,0,0,0,0,0,0,0,0,0,0,0
0.274955,0,0,0,0,0,0,0,0,0,0,0,0
0.276551,0,0,0,0,0,0,0,0,0,0,0,0
0.278140,0,0,0,0,0,0,0,0,0,0,0,0
0.279791,0,0,0,0,0,0,0,0,0,0,0,0
0.281382,0,0,0,0,0,0,0,0,0,0,0,0
0.282973,0,0,0,0,0,0,0,0,0,0,0,0
0.284569,0,0,0,0,0,0,0,0,0,0,0,0
0.286159,0,0,0,0,0,0,0,0,0,0,0,0
0.287796,0,0,0,0,0,0,0,0,0,0,0,0
0.289389,0,0,0,0,0,0,0,0,0,0,0,0
0.290994,0,0,0,0,0,0,0,0,0,0,0,0
0.292590,0,0,0,0,0,0,0,0,0,0,0,0
0.294180,0,0,0,0,0,0,0,0,0,0,0,0
0.295850,0,0,0,0,0,0,0,0,0,0,0,0
0.297419,0,0,0,0,0,0,0,0,0,0,0,0
0.299010,0,0,0,0,0,0,0,0,0,0,0,0
0.300606,0,0,0,0,0,0,0,0,0,0,0,0
0.302212,0,0,0,0,0,0,0,0,0,0,0,0
0.303849,0,0,0,0,0,0,0,0,0,0,0,0
0.305442,0,0,0,0,0,0,0,0,0,0,0,0
0.307034,0,0,0,0,0,0,0,0,0,0,0,0
0.308669,0,0,0,0,0,0,0,0,0,0,0,0
0.310102,0,0,0,0,0,0,0,0,0,0,0,0
0.311706,0,0,0,0,0,0,0,0,0,0,0,0
0.313313,0,0,0,0,0,0,0,0,0,0,0,0
0.314905,0,0,0,0,0,0,0,0,0,0,0,0
0.316590,0,0,0,0,0,0,0,0,0,0,0,0
0.318181,0,0,0,0,0,0,0,0,0,0,0,0
0.319821,0,0,0,0,0,0,0,0,0,0,0,0
0.321414,0,0,0,0,0,0,0,0,0,0,0,0
0.323007,0,0,0,0,0,0,0,0,0,0,0,0
0.324617,0,0,0,0,0,0,0,0,0,0,0,0
0.326209,0,0,0,0,0,0,0,0,0,0,0,0
0.327847,0,0,0,0,0,0,0,0,0,0,0,0
0.329440,0,0,0,0,0,0,0,0,0,0,0,0
0.331032,0,0,0,0,0,0,0,0,0,0,0,0
0.332855,0,0,0,0,0,0,0,0,0,0,0,0
0.334290,0,0,0,0,0,0,0,0,0,0,0,0
0.335771,0,0,0,0,0,0,0,0,0,0,0,0
0.337201,0,0,0,0,0,0,0,0,0,0,0,0
0.338687,0,0,0,0,0,0,0,0,0,0,0,0
0.340122,0,0,0,0,0,0,0,0,0,0,0,0
0.341679,0,0,0,0,0,0,0,0,0,0,0,0
0.343310,0,0,0,0,0,0,0,0,0,0,0,0
0.344952,0,0,0,0,0,0,0,0,0,0,0,0
0.346558,0,0,0,0,0,0,0,0,0,0,0,0
