elapsed_s,PC_US_STALL_CYCLES_COMPUTE_GFX,PC_US_STALL_CYCLES_GFX_COMPUTE,PC_US_PREDRAW_STALLS,PC_US_DP0_INPUT_STALLS,PC_US_DP1_INPUT_STALLS,PC_US_BR_STALLS_BV_WORKLOAD,PC_US_BV_STALLS_BR_WORKLOAD,PC_US_PASSPAIR_STALL
0.001111,0,0,0,0,0,0,0,0
0.002590,0,0,0,0,0,0,0,0
0.004090,0,0,0,0,0,0,0,0
0.005545,0,0,0,0,0,0,0,0
0.006994,0,0,0,0,0,0,0,0
0.008447,0,0,0,0,0,0,0,0
0.009926,0,0,0,0,0,0,0,0
0.011376,0,0,0,0,0,0,0,0
0.012870,0,0,0,0,0,0,0,0
0.014298,0,0,0,0,0,0,0,0
0.015725,0,0,0,0,0,0,0,0
0.017297,0,0,0,0,0,0,0,0
0.018699,0,0,0,0,0,0,0,0
0.020214,0,0,0,0,0,0,0,0
0.021628,0,0,0,0,0,0,0,0
0.023037,0,0,0,0,0,0,0,0
0.024495,0,0,0,0,0,0,0,0
0.025912,0,0,0,0,0,0,0,0
0.027466,0,0,0,0,0,0,0,0
0.029070,0,0,0,0,0,0,0,0
0.030465,0,0,0,0,0,0,0,0
0.031909,0,0,0,0,0,0,0,0
0.033331,0,0,0,0,0,0,0,0
0.034715,0,0,0,0,0,0,0,0
0.036100,0,0,0,0,0,0,0,0
0.037428,0,0,0,0,0,0,0,0
0.038748,0,0,0,0,0,0,0,0
0.040117,0,0,0,0,0,0,0,0
0.041395,0,0,0,0,0,0,0,0
0.042776,0,0,0,0,0,0,0,0
0.044065,0,0,0,0,0,0,0,0
0.045340,0,0,0,0,0,0,0,0
0.046721,0,0,0,0,0,0,0,0
0.048016,0,0,0,0,0,0,0,0
0.049378,0,0,0,0,0,0,0,0
0.050742,0,0,0,0,0,0,0,0
0.052203,0,0,0,0,0,0,0,0
0.053650,0,0,0,0,0,0,0,0
0.055066,0,0,0,0,0,0,0,0
0.056471,0,0,0,0,0,0,0,0
0.057878,0,0,0,0,0,0,0,0
0.059270,0,0,0,0,0,0,0,0
0.060827,0,0,0,0,0,0,0,0
0.062257,0,0,0,0,0,0,0,0
0.063752,0,0,0,0,0,0,0,0
0.065714,0,0,0,0,0,0,0,0
0.067122,0,0,0,0,0,0,0,0
0.068686,0,0,0,0,0,0,0,0
0.070361,0,0,0,0,0,0,0,0
0.071796,0,0,0,0,0,0,0,0
0.073163,0,0,0,0,0,0,0,0
0.074953,0,0,0,0,0,0,0,0
0.076389,0,0,0,0,0,0,0,0
0.077844,0,0,0,0,0,0,0,0
0.079300,0,0,0,0,0,0,0,0
0.080896,0,0,0,0,0,0,0,0
0.082302,0,0,0,0,0,0,0,0
0.083727,0,0,0,0,0,0,0,0
0.085180,0,0,0,0,0,0,0,0
0.086586,243541,0,0,0,0,0,0,0
0.087847,995854,0,0,0,0,0,0,0
0.089106,1018246,0,0,0,0,0,0,0
0.090365,1032291,0,0,0,0,0,0,0
0.091629,1017460,0,0,0,0,0,0,0
0.092889,1005722,0,0,0,0,0,0,0
0.094153,1036183,0,0,0,0,0,0,0
0.095414,1079247,0,0,0,0,0,0,0
0.096788,1049407,0,0,0,0,0,0,0
0.098051,1008157,0,0,0,0,0,0,0
0.099316,1040451,0,0,0,0,0,0,0
0.100626,1047345,0,0,0,0,0,0,0
0.101896,1008936,0,0,0,0,0,0,0
0.103166,1042490,0,0,0,0,0,0,0
0.104431,998895,0,0,0,0,0,0,0
0.105692,1034957,0,0,0,0,0,0,0
0.106956,998792,0,0,0,0,0,0,0
0.108397,1189016,0,0,0,0,0,0,0
0.109825,1167199,0,0,0,0,0,0,0
0.111126,1015771,0,0,0,0,0,0,0
0.112398,1035481,0,0,0,0,0,0,0
0.113663,1012752,0,0,0,0,0,0,0
0.114927,1011599,0,0,0,0,0,0,0
0.116236,1072231,0,0,0,0,0,0,0
0.117501,1006600,0,0,0,0,0,0,0
0.119172,1362132,0,0,0,0,0,0,0
0.120441,1001877,0,0,0,0,0,0,0
0.121704,1030388,0,0,0,0,0,0,0
0.122966,1007681,0,0,0,0,0,0,0
0.124266,1038047,0,0,0,0,0,0,0
0.125533,214879,0,0,0,0,0,0,0
0.126972,0,0,0,0,0,0,0,0
0.128388,0,0,0,0,0,0,0,0
0.129793,0,0,0,0,0,0,0,0
0.131198,0,0,0,0,0,0,0,0
0.132646,0,0,0,0,0,0,0,0
0.134052,0,0,0,0,0,0,0,0
0.135458,0,0,0,0,0,0,0,0
0.136963,0,0,0,0,0,0,0,0
0.138369,0,0,0,0,0,0,0,0
0.139779,0,0,0,0,0,0,0,0
0.141246,0,0,0,0,0,0,0,0
0.142659,0,0,0,0,0,0,0,0
0.144148,0,0,0,0,0,0,0,0
0.145566,0,0,0,0,0,0,0,0
0.146981,0,0,0,0,0,0,0,0
0.149381,0,0,0,0,0,0,0,0
0.155592,0,0,0,0,0,0,0,0
0.157063,0,0,0,0,0,0,0,0
0.158440,0,0,0,0,0,0,0,0
0.159923,0,0,0,0,0,0,0,0
0.161297,0,0,0,0,0,0,0,0
0.162633,0,0,0,0,0,0,0,0
0.164059,0,0,0,0,0,0,0,0
0.165464,0,0,0,0,0,0,0,0
0.166865,0,0,0,0,0,0,0,0
0.168281,0,0,0,0,0,0,0,0
0.169683,0,0,0,0,0,0,0,0
0.171084,0,0,0,0,0,0,0,0
0.172520,0,0,0,0,0,0,0,0
0.173923,0,0,0,0,0,0,0,0
0.175325,0,0,0,0,0,0,0,0
0.176791,0,0,0,0,0,0,0,0
0.178199,0,0,0,0,0,0,0,0
0.179619,0,0,0,0,0,0,0,0
0.181028,0,0,0,0,0,0,0,0
0.182436,0,0,0,0,0,0,0,0
0.183847,0,0,0,0,0,0,0,0
0.185255,0,0,0,0,0,0,0,0
0.186662,0,0,0,0,0,0,0,0
0.188245,0,0,0,0,0,0,0,0
0.189708,0,0,0,0,0,0,0,0
0.191124,0,0,0,0,0,0,0,0
0.192537,0,0,0,0,0,0,0,0
0.193948,0,0,0,0,0,0,0,0
0.195356,0,0,0,0,0,0,0,0
0.196804,0,0,0,0,0,0,0,0
0.198341,0,0,0,0,0,0,0,0
0.199930,0,0,0,0,0,0,0,0
0.201503,0,0,0,0,0,0,0,0
0.203147,0,0,0,0,0,0,0,0
0.204651,0,0,0,0,0,0,0,0
0.206078,0,0,0,0,0,0,0,0
0.207494,0,0,0,0,0,0,0,0
0.208907,0,0,0,0,0,0,0,0
0.210328,0,0,0,0,0,0,0,0
0.211740,0,0,0,0,0,0,0,0
0.213185,0,0,0,0,0,0,0,0
0.214722,0,0,0,0,0,0,0,0
0.216297,0,0,0,0,0,0,0,0
0.217870,0,0,0,0,0,0,0,0
0.219442,0,0,0,0,0,0,0,0
0.221035,0,0,0,0,0,0,0,0
0.222607,0,0,0,0,0,0,0,0
0.224181,0,0,0,0,0,0,0,0
0.225755,0,0,0,0,0,0,0,0
0.227327,0,0,0,0,0,0,0,0
0.228905,0,0,0,0,0,0,0,0
0.230522,0,0,0,0,0,0,0,0
0.232110,0,0,0,0,0,0,0,0
0.233683,0,0,0,0,0,0,0,0
0.235254,0,0,0,0,0,0,0,0
0.236833,0,0,0,0,0,0,0,0
0.238405,0,0,0,0,0,0,0,0
0.239980,0,0,0,0,0,0,0,0
0.241545,0,0,0,0,0,0,0,0
0.243120,0,0,0,0,0,0,0,0
0.244562,0,0,0,0,0,0,0,0
0.246135,0,0,0,0,0,0,0,0
0.247707,0,0,0,0,0,0,0,0
0.249278,0,0,0,0,0,0,0,0
0.250849,0,0,0,0,0,0,0,0
0.252464,0,0,0,0,0,0,0,0
0.254050,0,0,0,0,0,0,0,0
0.255623,0,0,0,0,0,0,0,0
0.257195,0,0,0,0,0,0,0,0
0.258765,0,0,0,0,0,0,0,0
0.260382,0,0,0,0,0,0,0,0
0.261953,0,0,0,0,0,0,0,0
0.263522,0,0,0,0,0,0,0,0
0.265251,0,0,0,0,0,0,0,0
0.266821,0,0,0,0,0,0,0,0
0.268437,0,0,0,0,0,0,0,0
0.270008,0,0,0,0,0,0,0,0
0.271582,0,0,0,0,0,0,0,0
0.273153,0,0,0,0,0,0,0,0
0.274723,0,0,0,0,0,0,0,0
0.276354,0,0,0,0,0,0,0,0
0.277926,0,0,0,0,0,0,0,0
0.279496,0,0,0,0,0,0,0,0
0.281114,0,0,0,0,0,0,0,0
0.282684,0,0,0,0,0,0,0,0
0.284299,0,0,0,0,0,0,0,0
0.285871,0,0,0,0,0,0,0,0
0.287455,0,0,0,0,0,0,0,0
0.289031,0,0,0,0,0,0,0,0
0.290601,0,0,0,0,0,0,0,0
0.292217,0,0,0,0,0,0,0,0
0.293789,0,0,0,0,0,0,0,0
0.295359,0,0,0,0,0,0,0,0
0.296932,0,0,0,0,0,0,0,0
0.298516,0,0,0,0,0,0,0,0
0.300131,0,0,0,0,0,0,0,0
0.301714,0,0,0,0,0,0,0,0
0.303249,0,0,0,0,0,0,0,0
0.304762,0,0,0,0,0,0,0,0
0.306301,0,0,0,0,0,0,0,0
0.307875,0,0,0,0,0,0,0,0
0.309507,0,0,0,0,0,0,0,0
0.311079,0,0,0,0,0,0,0,0
0.312652,0,0,0,0,0,0,0,0
0.314226,0,0,0,0,0,0,0,0
0.315800,0,0,0,0,0,0,0,0
0.317418,0,0,0,0,0,0,0,0
0.318990,0,0,0,0,0,0,0,0
0.320451,0,0,0,0,0,0,0,0
0.321994,0,0,0,0,0,0,0,0
0.323570,0,0,0,0,0,0,0,0
0.325144,0,0,0,0,0,0,0,0
0.326717,0,0,0,0,0,0,0,0
0.328292,0,0,0,0,0,0,0,0
0.329865,0,0,0,0,0,0,0,0
0.331450,0,0,0,0,0,0,0,0
0.333029,0,0,0,0,0,0,0,0
0.334601,0,0,0,0,0,0,0,0
0.336176,0,0,0,0,0,0,0,0
0.337749,0,0,0,0,0,0,0,0
0.339321,0,0,0,0,0,0,0,0
0.340900,0,0,0,0,0,0,0,0
0.342485,0,0,0,0,0,0,0,0
0.344059,0,0,0,0,0,0,0,0
0.345633,0,0,0,0,0,0,0,0
0.347204,0,0,0,0,0,0,0,0
0.348726,0,0,0,0,0,0,0,0
0.350268,0,0,0,0,0,0,0,0
0.351842,0,0,0,0,0,0,0,0
0.353428,0,0,0,0,0,0,0,0
0.355000,0,0,0,0,0,0,0,0
0.356617,0,0,0,0,0,0,0,0
0.358191,0,0,0,0,0,0,0,0
0.359765,0,0,0,0,0,0,0,0
0.361338,0,0,0,0,0,0,0,0
0.362910,0,0,0,0,0,0,0,0
0.364539,0,0,0,0,0,0,0,0
0.366112,0,0,0,0,0,0,0,0
0.367688,0,0,0,0,0,0,0,0
0.369261,0,0,0,0,0,0,0,0
0.370832,0,0,0,0,0,0,0,0
0.372449,0,0,0,0,0,0,0,0
0.374023,0,0,0,0,0,0,0,0
0.375612,0,0,0,0,0,0,0,0
0.377184,0,0,0,0,0,0,0,0
0.378756,0,0,0,0,0,0,0,0
0.380373,0,0,0,0,0,0,0,0
0.381946,0,0,0,0,0,0,0,0
0.383514,0,0,0,0,0,0,0,0
0.385127,0,0,0,0,0,0,0,0
0.386710,0,0,0,0,0,0,0,0
0.388327,0,0,0,0,0,0,0,0
0.389899,0,0,0,0,0,0,0,0
0.391469,0,0,0,0,0,0,0,0
0.393045,0,0,0,0,0,0,0,0
0.394614,0,0,0,0,0,0,0,0
0.396230,0,0,0,0,0,0,0,0
0.397815,0,0,0,0,0,0,0,0
0.399385,0,0,0,0,0,0,0,0
0.400961,0,0,0,0,0,0,0,0
0.402530,0,0,0,0,0,0,0,0
0.404147,0,0,0,0,0,0,0,0
0.405719,0,0,0,0,0,0,0,0
0.407288,0,0,0,0,0,0,0,0
