elapsed_s,PC_NEVER_COUNT,PC_US_BUSY_CYCLES,PC_US_WORKING_CYCLES,PC_US_UCHE_OUTSTANDING_TRANS,PC_US_PASS1_TF_STALL_CYCLES,PC_US_STARVE_CYCLES_FOR_INDEX,PC_US_STARVE_CYCLES_FOR_TF,PC_US_STARVE_CYCLES_FOR_VIZ_STREAM
0.001094,0,0,0,0,0,0,0,0
0.002570,0,0,0,0,0,0,0,0
0.004024,0,0,0,0,0,0,0,0
0.005544,0,0,0,0,0,0,0,0
0.006996,0,0,0,0,0,0,0,0
0.008446,0,0,0,0,0,0,0,0
0.009910,0,0,0,0,0,0,0,0
0.011361,0,0,0,0,0,0,0,0
0.012813,0,0,0,0,0,0,0,0
0.014264,0,0,0,0,0,0,0,0
0.015715,0,0,0,0,0,0,0,0
0.017165,0,0,0,0,0,0,0,0
0.018697,0,0,0,0,0,0,0,0
0.020165,0,0,0,0,0,0,0,0
0.021592,0,0,0,0,0,0,0,0
0.023003,0,0,0,0,0,0,0,0
0.024412,0,0,0,0,0,0,0,0
0.025822,0,0,0,0,0,0,0,0
0.027230,0,0,0,0,0,0,0,0
0.028687,0,0,0,0,0,0,0,0
0.030098,0,0,0,0,0,0,0,0
0.031567,0,0,0,0,0,0,0,0
0.032977,0,0,0,0,0,0,0,0
0.034396,0,0,0,0,0,0,0,0
0.035804,0,0,0,0,0,0,0,0
0.037212,0,0,0,0,0,0,0,0
0.038620,0,0,0,0,0,0,0,0
0.040028,0,0,0,0,0,0,0,0
0.041449,0,0,0,0,0,0,0,0
0.042874,0,0,0,0,0,0,0,0
0.044332,0,0,0,0,0,0,0,0
0.045762,0,0,0,0,0,0,0,0
0.047225,0,0,0,0,0,0,0,0
0.048661,0,0,0,0,0,0,0,0
0.050050,0,0,0,0,0,0,0,0
0.051435,0,0,0,0,0,0,0,0
0.052821,0,0,0,0,0,0,0,0
0.054291,0,0,0,0,0,0,0,0
0.055767,0,0,0,0,0,0,0,0
0.057293,0,0,0,0,0,0,0,0
0.058777,0,0,0,0,0,0,0,0
0.060255,0,0,0,0,0,0,0,0
0.061698,0,0,0,0,0,0,0,0
0.063117,0,0,0,0,0,0,0,0
0.064628,0,0,0,0,0,0,0,0
0.066064,0,0,0,0,0,0,0,0
0.067390,0,0,0,0,0,0,0,0
0.068880,0,0,0,0,0,0,0,0
0.070208,0,0,0,0,0,0,0,0
0.071650,0,0,0,0,0,0,0,0
0.073141,0,0,0,0,0,0,0,0
0.074587,0,0,0,0,0,0,0,0
0.076026,0,0,0,0,0,0,0,0
0.077392,0,0,0,0,0,0,0,0
0.078723,0,0,0,0,0,0,0,0
0.080051,0,0,0,0,0,0,0,0
0.081398,0,0,0,0,0,0,0,0
0.082803,0,0,0,0,0,0,0,0
0.084248,0,0,0,0,0,0,0,0
0.085546,0,0,0,0,0,0,0,0
0.086940,0,0,0,0,0,0,0,0
0.088381,0,0,0,0,0,0,0,0
0.089773,0,0,0,0,0,0,0,0
0.091166,0,0,0,0,0,0,0,0
0.092608,0,0,0,0,0,0,0,0
0.094015,0,0,0,0,0,0,0,0
0.095408,0,0,0,0,0,0,0,0
0.096861,0,0,0,0,0,0,0,0
0.098280,0,0,0,0,0,0,0,0
0.099699,0,0,0,0,0,0,0,0
0.101234,0,270,365,0,0,0,0,0
0.102529,0,0,0,0,0,0,0,0
0.104076,0,0,0,0,0,0,0,0
0.105566,0,0,0,0,0,0,0,0
0.107019,0,0,0,0,0,0,0,0
0.108635,0,0,0,0,0,0,0,0
0.110064,0,0,0,0,0,0,0,0
0.111483,0,0,0,0,0,0,0,0
0.112946,0,0,0,0,0,0,0,0
0.114388,0,0,0,0,0,0,0,0
0.115829,0,0,0,0,0,0,0,0
0.117311,0,0,0,0,0,0,0,0
0.118640,0,0,0,0,0,0,0,0
0.120084,0,0,0,0,0,0,0,0
0.121526,0,0,0,0,0,0,0,0
0.122853,0,66636,512,0,0,0,0,0
0.124119,0,286678,659,0,0,0,0,0
0.125426,0,0,0,0,0,0,0,0
0.126817,0,0,0,0,0,0,0,0
0.128211,0,0,0,0,0,0,0,0
0.129597,0,0,0,0,0,0,0,0
0.130982,0,0,0,0,0,0,0,0
0.132418,0,0,0,0,0,0,0,0
0.133695,0,0,0,0,0,0,0,0
0.135082,0,0,0,0,0,0,0,0
0.136470,0,0,0,0,0,0,0,0
0.137855,0,0,0,0,0,0,0,0
0.139244,0,0,0,0,0,0,0,0
0.140630,0,0,0,0,0,0,0,0
0.142017,0,0,0,0,0,0,0,0
0.143405,0,0,0,0,0,0,0,0
0.144793,0,0,0,0,0,0,0,0
0.146178,0,0,0,0,0,0,0,0
0.147564,0,0,0,0,0,0,0,0
0.148949,0,0,0,0,0,0,0,0
0.150342,0,0,0,0,0,0,0,0
0.151730,0,0,0,0,0,0,0,0
0.153118,0,0,0,0,0,0,0,0
0.154506,0,0,0,0,0,0,0,0
0.155894,0,0,0,0,0,0,0,0
0.157353,0,0,0,0,0,0,0,0
0.158712,0,0,0,0,0,0,0,0
0.160071,0,0,0,0,0,0,0,0
