elapsed_s,PC_US_MESH_DRAWS,PC_US_MESH_DEAD_DRAWS,PC_US_MESH_MVIS_EN_DRAWS,PC_US_MESH_DEAD_PRIM,PC_US_MESH_LIVE_PRIM,PC_US_MESH_PA_EN_PRIM,PC_US_STARVE_CYCLES_FOR_MVIS_STREAM,PC_US_STARVE_CYCLES_PREDRAW
0.001095,0,0,0,0,0,0,0,0
0.002575,0,0,0,0,0,0,0,0
0.004030,0,0,0,0,0,0,0,0
0.005483,0,0,0,0,0,0,0,0
0.007072,0,0,0,0,0,0,0,0
0.008524,0,0,0,0,0,0,0,0
0.009997,0,0,0,0,0,0,0,0
0.011451,0,0,0,0,0,0,0,0
0.012907,0,0,0,0,0,0,0,0
0.014360,0,0,0,0,0,0,0,0
0.015786,0,0,0,0,0,0,0,0
0.017233,0,0,0,0,0,0,0,0
0.018700,0,0,0,0,0,0,0,0
0.020107,0,0,0,0,0,0,0,0
0.021487,0,0,0,0,0,0,0,0
0.022914,0,0,0,0,0,0,0,0
0.024294,0,0,0,0,0,0,0,0
0.025672,0,0,0,0,0,0,0,0
0.027066,0,0,0,0,0,0,0,0
0.028450,0,0,0,0,0,0,0,0
0.029833,0,0,0,0,0,0,0,0
0.031213,0,0,0,0,0,0,0,0
0.032581,0,0,0,0,0,0,0,0
0.033948,0,0,0,0,0,0,0,0
0.035313,0,0,0,0,0,0,0,0
0.036723,0,0,0,0,0,0,0,0
0.038248,0,0,0,0,0,0,0,0
0.039621,0,0,0,0,0,0,0,0
0.040984,0,0,0,0,0,0,0,0
0.042407,0,0,0,0,0,0,0,0
0.043773,0,0,0,0,0,0,0,0
0.045267,0,0,0,0,0,0,0,0
0.047008,0,0,0,0,0,0,0,0
0.048400,0,0,0,0,0,0,0,0
0.049778,0,0,0,0,0,0,0,0
0.051225,0,0,0,0,0,0,0,0
0.052615,0,0,0,0,0,0,0,0
0.054008,0,0,0,0,0,0,0,0
0.055337,0,0,0,0,0,0,0,0
0.056662,0,0,0,0,0,0,0,0
0.058040,0,0,0,0,0,0,0,0
0.059346,0,0,0,0,0,0,0,0
0.060630,0,0,0,0,0,0,0,0
0.061960,0,0,0,0,0,0,0,0
0.063244,0,0,0,0,0,0,0,0
0.064523,0,0,0,0,0,0,0,0
0.065801,0,0,0,0,0,0,0,0
0.067165,0,0,0,0,0,0,0,0
0.068509,0,0,0,0,0,0,0,0
0.069854,0,0,0,0,0,0,0,0
0.071196,0,0,0,0,0,0,0,0
0.072494,0,0,0,0,0,0,0,0
0.073782,0,0,0,0,0,0,0,0
0.075148,0,0,0,0,0,0,0,0
0.076481,0,0,0,0,0,0,0,0
0.077902,0,0,0,0,0,0,0,0
0.079232,0,0,0,0,0,0,0,0
0.080561,0,0,0,0,0,0,0,0
0.081975,0,0,0,0,0,0,0,0
0.083317,0,0,0,0,0,0,0,0
0.084672,0,0,0,0,0,0,0,0
0.086002,0,0,0,0,0,0,0,0
0.087350,0,0,0,0,0,0,0,0
0.088727,0,0,0,0,0,0,0,0
0.090106,0,0,0,0,0,0,0,0
0.091440,0,0,0,0,0,0,0,0
0.092767,0,0,0,0,0,0,0,0
0.094096,0,0,0,0,0,0,0,0
0.095430,0,0,0,0,0,0,0,0
0.096758,0,0,0,0,0,0,0,0
0.098137,0,0,0,0,0,0,0,0
0.099466,0,0,0,0,0,0,0,0
0.100794,0,0,0,0,0,0,0,0
0.102125,0,0,0,0,0,0,0,0
0.103452,0,0,0,0,0,0,0,0
0.104780,0,0,0,0,0,0,0,0
0.106164,0,0,0,0,0,0,0,0
0.107499,0,0,0,0,0,0,0,0
0.108877,0,0,0,0,0,0,0,0
0.110085,0,0,0,0,0,0,0,0
0.111472,0,0,0,0,0,0,0,0
0.112860,0,0,0,0,0,0,0,0
0.114296,0,0,0,0,0,0,0,0
0.115682,0,0,0,0,0,0,0,0
0.117074,0,0,0,0,0,0,0,0
0.118461,0,0,0,0,0,0,0,0
0.119846,0,0,0,0,0,0,0,0
0.121232,0,0,0,0,0,0,0,0
0.122668,0,0,0,0,0,0,0,0
0.124063,0,0,0,0,0,0,0,0
0.125452,0,0,0,0,0,0,0,0
0.126840,0,0,0,0,0,0,0,0
0.128230,0,0,0,0,0,0,0,0
0.129616,0,0,0,0,0,0,0,0
0.131033,0,0,0,0,0,0,0,0
0.132421,0,0,0,0,0,0,0,0
0.133819,0,0,0,0,0,0,0,0
0.135206,0,0,0,0,0,0,0,0
0.136592,0,0,0,0,0,0,0,0
0.138027,0,0,0,0,0,0,0,0
0.139417,0,0,0,0,0,0,0,0
0.140803,0,0,0,0,0,0,0,0
0.142212,0,0,0,0,0,0,0,0
0.143574,0,0,0,0,0,0,0,0
0.144934,0,0,0,0,0,0,0,0
0.146294,0,0,0,0,0,0,0,0
0.147654,0,0,0,0,0,0,0,0
0.149016,0,0,0,0,0,0,0,0
0.150387,0,0,0,0,0,0,0,0
0.151748,0,0,0,0,0,0,0,0
0.153113,0,0,0,0,0,0,0,0
0.154477,0,0,0,0,0,0,0,0
0.155838,0,0,0,0,0,0,0,0
0.157199,0,0,0,0,0,0,0,0
0.158693,0,0,0,0,0,0,0,0
0.160283,0,0,0,0,0,0,0,0
0.161741,0,0,0,0,0,0,0,0
0.163162,0,0,0,0,0,0,0,0
0.164571,0,0,0,0,0,0,0,0
0.165981,0,0,0,0,0,0,0,0
0.167389,0,0,0,0,0,0,0,0
0.168794,0,0,0,0,0,0,0,0
0.170335,0,0,0,0,0,0,0,0
0.171795,0,0,0,0,0,0,0,0
0.173210,0,0,0,0,0,0,0,0
0.174666,0,0,0,0,0,0,0,0
0.176075,0,0,0,0,0,0,0,0
0.177483,0,0,0,0,0,0,0,0
0.178893,0,0,0,0,0,0,0,0
0.180431,0,0,0,0,0,0,0,0
0.182019,0,0,0,0,0,0,0,0
0.183611,0,0,0,0,0,0,0,0
0.185185,0,0,0,0,0,0,0,0
0.186758,0,0,0,0,0,0,0,0
0.188332,0,0,0,0,0,0,0,0
0.189953,0,0,0,0,0,0,0,0
0.191528,0,0,0,0,0,0,0,0
0.193113,0,0,0,0,0,0,0,0
0.194690,0,0,0,0,0,0,0,0
0.196265,0,0,0,0,0,0,0,0
0.197838,0,0,0,0,0,0,0,0
0.199333,0,0,0,0,0,0,0,0
0.200750,0,0,0,0,0,0,0,0
