elapsed_s,VFD_NEVER_COUNT,VFD_BUSY_CYCLES,VFD_STALL_CYCLES_UCHE,VFD_STALL_CYCLES_VPC_ALLOC,VFD_STALL_CYCLES_SP_INFO,VFD_STALL_CYCLES_SP_ATTR,VFD_STARVE_CYCLES_UCHE,VFD_RBUFFER_FULL
0.001095,0,0,0,0,0,0,0,0
0.002580,0,0,0,0,0,0,0,0
0.004073,0,0,0,0,0,0,0,0
0.005527,0,0,0,0,0,0,0,0
0.007042,0,0,0,0,0,0,0,0
0.008471,0,0,0,0,0,0,0,0
0.009905,0,0,0,0,0,0,0,0
0.011334,0,0,0,0,0,0,0,0
0.012759,0,0,0,0,0,0,0,0
0.014185,0,0,0,0,0,0,0,0
0.015598,0,0,0,0,0,0,0,0
0.017079,0,0,0,0,0,0,0,0
0.018448,0,0,0,0,0,0,0,0
0.019877,0,0,0,0,0,0,0,0
0.021200,0,0,0,0,0,0,0,0
0.022521,0,0,0,0,0,0,0,0
0.023822,0,0,0,0,0,0,0,0
0.025094,0,0,0,0,0,0,0,0
0.026364,0,0,0,0,0,0,0,0
0.027640,0,0,0,0,0,0,0,0
0.028910,0,0,0,0,0,0,0,0
0.030188,0,0,0,0,0,0,0,0
0.031524,0,0,0,0,0,0,0,0
0.032795,0,0,0,0,0,0,0,0
0.034066,0,0,0,0,0,0,0,0
0.035359,0,0,0,0,0,0,0,0
0.036722,0,0,0,0,0,0,0,0
0.038080,0,0,0,0,0,0,0,0
0.039485,0,0,0,0,0,0,0,0
0.040927,0,0,0,0,0,0,0,0
0.042349,0,0,0,0,0,0,0,0
0.043752,0,0,0,0,0,0,0,0
0.045125,0,0,0,0,0,0,0,0
0.046499,0,0,0,0,0,0,0,0
0.047916,0,0,0,0,0,0,0,0
0.049282,0,0,0,0,0,0,0,0
0.050643,0,0,0,0,0,0,0,0
0.052044,0,348,0,0,0,0,0,0
0.053381,0,0,0,0,0,0,0,0
0.054895,0,0,0,0,0,0,0,0
0.057898,0,0,0,0,0,0,0,0
0.059309,0,0,0,0,0,0,0,0
0.060716,0,0,0,0,0,0,0,0
0.062195,0,1452,0,0,0,0,0,0
0.064249,0,2562,0,0,0,0,0,0
