elapsed_s,VPC_US_STREAMOUT_TRANSACTION,VPC_US_NUM_GMEM_READ_SO,VPC_US_STARVE_CYCLES_UCHE_RD,VPC_US_STALL_CYCLES_PRG_END_VPCUS,VPC_US_STARVE_CYCLES_REORDER,VPC_US_BOTTLENECK
0.001223,0,0,0,0,773151,0
0.002815,0,0,0,0,825534,0
0.004372,0,0,0,0,722688,0
0.005945,0,0,0,0,726777,0
0.007459,0,0,0,0,728901,0
0.009028,0,0,0,0,766362,0
0.010555,0,0,0,0,734595,0
0.012031,0,0,0,0,731070,0
0.013503,0,0,0,0,734580,0
0.014975,0,0,0,0,729468,0
0.016444,0,0,0,0,749946,0
0.017998,0,0,0,0,835431,0
0.019585,0,0,0,0,924330,0
0.021334,0,0,0,0,720201,0
0.022789,0,0,0,0,711288,0
0.024233,0,0,0,0,704739,0
0.025674,0,0,0,0,707766,0
0.027138,0,0,0,0,716208,0
0.028579,0,0,0,0,740817,0
0.030073,0,0,0,0,725688,0
0.031518,0,0,0,0,707667,0
0.032958,0,0,0,0,798780,0
0.034489,0,0,0,0,778794,0
0.035998,0,0,0,0,720831,0
0.037441,0,0,0,0,837420,0
0.038943,0,0,0,0,835149,0
0.040450,0,0,0,0,653958,0
0.041840,0,0,0,0,691734,0
0.043264,0,0,0,0,682569,0
0.044649,0,0,0,0,721194,0
0.046141,0,0,0,0,793503,0
0.047515,0,0,0,0,705372,0
0.048899,0,0,0,0,713631,0
0.050289,0,0,0,0,703170,0
0.051719,0,0,0,0,559461,0
0.053003,0,0,0,0,607965,0
0.054313,0,0,0,0,565617,0
0.055632,0,0,0,0,741639,0
0.057096,0,0,0,0,644391,0
0.058510,0,0,0,0,606795,0
0.059862,0,0,0,0,620079,0
0.061341,0,0,0,0,654918,0
0.062748,0,0,0,0,625083,0
0.064107,0,0,0,0,619284,0
0.065463,0,0,0,0,624126,0
0.066817,0,0,0,0,630231,0
0.068179,0,0,0,0,620316,0
0.069584,0,0,0,0,621780,0
0.070937,0,0,0,0,614526,0
0.072289,0,0,0,0,1195902,0
0.073570,0,0,0,0,632253,0
0.074996,0,0,0,0,612858,0
0.076394,0,0,0,0,612267,0
0.077790,0,0,0,0,616050,0
0.079186,0,0,0,0,621285,0
0.080585,0,0,0,0,656703,0
0.082009,0,0,0,0,629775,0
0.083435,0,0,0,0,1282791,0
0.084691,0,0,0,0,4301226,0
0.086035,0,0,0,0,4271280,0
0.087287,0,0,0,0,4123761,0
0.088536,0,0,0,0,4125981,0
0.090009,0,0,0,0,4860072,0
0.091260,0,0,0,0,4124616,0
0.092510,0,0,0,0,4126365,0
0.094666,0,0,0,0,7117212,0
0.095918,0,0,0,0,4124748,0
0.097170,0,0,0,0,4139043,0
0.098424,0,0,0,0,4134798,0
0.099677,0,0,0,0,4133811,0
0.100932,0,0,0,0,4144083,0
0.102234,0,0,0,0,4294506,0
0.103486,0,0,0,0,4130313,0
0.104738,0,0,0,0,4138548,0
0.107055,0,0,0,0,7653144,0
0.108370,0,0,0,0,1648464,0
0.109767,0,0,0,0,1257873,0
0.111177,0,0,0,0,1227867,0
0.112578,0,0,0,0,1429941,0
0.114047,0,0,0,0,1242441,0
0.115450,0,0,0,0,1231179,0
0.116856,0,0,0,0,1259796,0
0.118316,0,0,0,0,1260000,0
0.119725,0,0,0,0,1249725,0
0.121173,0,0,0,0,1272000,0
0.122571,0,0,0,0,1244313,0
0.124183,0,0,0,0,1247916,0
0.128918,0,0,0,0,1338384,0
0.130359,0,0,0,0,1282551,0
0.131750,0,0,0,0,1253898,0
0.135489,0,0,0,0,1250058,0
0.136891,0,0,0,0,1231044,0
0.138287,0,0,0,0,1258887,0
0.139682,0,0,0,0,1291188,0
0.141232,0,0,0,0,1329573,0
0.142630,0,0,0,0,1300599,0
0.143994,0,0,0,0,1269567,0
0.145346,0,0,0,0,1263801,0
0.146698,0,0,0,0,1258641,0
0.148049,0,0,0,0,1262670,0
0.149673,0,0,0,0,1350270,0
0.151107,0,0,0,0,1224087,0
0.152500,0,0,0,0,1246578,0
0.154214,0,0,0,0,1251450,0
0.155607,0,0,0,0,1249824,0
0.156997,0,0,0,0,1250694,0
0.158388,0,0,0,0,1277607,0
0.159778,0,0,0,0,1246413,0
0.161181,0,0,0,0,1218147,0
0.162577,0,0,0,0,1262964,0
0.163971,0,0,0,0,1255821,0
0.165405,0,0,0,0,1256526,0
0.166800,0,0,0,0,1259814,0
0.168194,0,0,0,0,1289520,0
0.169719,0,0,0,0,1296939,0
0.171278,0,0,0,0,1301766,0
0.172911,0,0,0,0,1295469,0
0.174469,0,0,0,0,1292649,0
0.176027,0,0,0,0,1327074,0
0.177589,0,0,0,0,1298358,0
0.179148,0,0,0,0,1295553,0
0.180707,0,0,0,0,1312953,0
0.182273,0,0,0,0,1326630,0
0.183846,0,0,0,0,1295694,0
0.185408,0,0,0,0,1374180,0
0.186860,0,0,0,0,1294191,0
0.188388,0,0,0,0,1288506,0
0.189819,0,0,0,0,1263456,0
0.191350,0,0,0,0,1296762,0
0.192912,0,0,0,0,1301463,0
0.194486,0,0,0,0,1302216,0
0.196046,0,0,0,0,1297062,0
0.197652,0,0,0,0,1299837,0
0.199213,0,0,0,0,1299459,0
0.200773,0,0,0,0,1317873,0
0.202338,0,0,0,0,1327425,0
0.203897,0,0,0,0,1302480,0
0.205474,0,0,0,0,1299558,0
0.207035,0,0,0,0,1297560,0
0.208595,0,0,0,0,1315608,0
0.210159,0,0,0,0,1301112,0
0.211719,0,0,0,0,1299504,0
0.213324,0,0,0,0,1297755,0
0.214882,0,0,0,0,1188681,0
0.216291,0,0,0,0,1270239,0
0.217697,0,0,0,0,1223109,0
0.219223,0,0,0,0,1303620,0
0.220783,0,0,0,0,1317405,0
0.222348,0,0,0,0,1298034,0
0.223906,0,0,0,0,1300425,0
0.225470,0,0,0,0,1302612,0
0.227049,0,0,0,0,1291554,0
