elapsed_s,VPC_BE_PS_BUSY_CYCLES,VPC_BE_PS_WORKING_CYCLES,VPC_BE_STALL_CYCLES_CCHE,VPC_BE_STARVE_CYCLES_CCHE,VPC_BE_LM_FULL_WAIT_FOR_INTP_END,VPC_BE_CCHE_REQBUF_FULL
0.195784,0,0,0,8148138,0,0
0.197003,0,0,0,8045772,0,0
0.198222,0,0,0,8055078,0,0
0.199443,0,0,0,8052630,0,0
0.200663,0,0,0,8044764,0,0
0.201945,0,0,0,8577822,0,0
0.203150,0,0,0,7959750,0,0
0.204411,0,0,0,8332272,0,0
0.205673,0,0,0,8675682,0,0
0.206997,0,0,0,8414886,0,0
0.208264,0,0,0,8357034,0,0
0.209530,0,0,0,8353890,0,0
0.210799,0,0,0,8374290,0,0
0.212066,0,0,0,8360154,0,0
0.213332,0,0,0,8353680,0,0
0.214596,0,0,0,8343870,0,0
0.215862,0,0,0,8357208,0,0
0.217137,0,0,0,8413512,0,0
0.218438,0,0,0,8591136,0,0
0.219704,0,0,0,8354832,0,0
0.220970,0,0,0,8349360,0,0
0.222237,0,0,0,8365974,0,0
0.223502,0,0,0,8351544,0,0
0.224767,0,0,0,8348988,0,0
0.226035,0,0,0,8363670,0,0
0.227309,0,0,0,8412114,0,0
0.228574,0,0,0,8349726,0,0
0.229842,0,0,0,8362272,0,0
0.231107,0,0,0,8350314,0,0
0.232372,0,0,0,8351304,0,0
0.233637,0,0,0,8359110,0,0
0.234939,0,0,0,8587854,0,0
0.236205,0,0,0,8349948,0,0
0.237479,0,0,0,8410350,0,0
0.238746,0,0,0,8357760,0,0
0.240011,0,0,0,8352264,0,0
0.241276,0,0,0,8349102,0,0
0.242543,0,0,0,8361846,0,0
0.243809,0,0,0,8356128,0,0
0.245075,0,0,0,8350938,0,0
0.246341,0,0,0,8358516,0,0
0.247614,0,0,0,8406816,0,0
0.248880,0,0,0,8347992,0,0
0.250181,0,0,0,8597172,0,0
0.251448,0,0,0,8356056,0,0
0.252731,0,0,0,8484582,0,0
0.254002,0,0,0,8370396,0,0
0.255268,0,0,0,8352852,0,0
0.256533,0,0,0,8350872,0,0
0.257809,0,0,0,8426610,0,0
0.259075,0,0,0,8352624,0,0
0.260340,0,0,0,8348352,0,0
0.261604,0,0,0,8742006,0,0
0.262932,0,0,0,8370222,0,0
0.264198,0,0,0,8352156,0,0
0.265464,0,0,0,8350932,0,0
0.266766,0,0,0,8595654,0,0
0.268040,0,0,0,8409546,0,0
0.269305,0,0,0,8349180,0,0
0.270573,0,0,0,8361918,0,0
0.271838,0,0,0,8358780,0,0
0.273104,0,0,0,8350056,0,0
0.274371,0,0,0,8364312,0,0
0.275636,0,0,0,8353836,0,0
0.276902,0,0,0,8356386,0,0
0.278178,0,0,0,8417550,0,0
0.279444,0,0,0,8357022,0,0
0.280710,0,0,0,8348562,0,0
0.281976,0,0,0,8357328,0,0
0.283242,0,0,0,8360274,0,0
0.284507,0,0,0,8348568,0,0
0.285774,0,0,0,8363520,0,0
0.287040,0,0,0,8357070,0,0
0.288314,0,0,0,8406492,0,0
0.289580,0,0,0,8352234,0,0
0.290882,0,0,0,8595054,0,0
0.292148,0,0,0,8350494,0,0
0.293413,0,0,0,8352252,0,0
0.294680,0,0,0,8363862,0,0
0.295946,0,0,0,8349120,0,0
0.297211,0,0,0,8350044,0,0
0.298519,0,0,0,8641932,0,0
0.299785,0,0,0,8352696,0,0
0.301050,0,0,0,8347056,0,0
0.302317,0,0,0,8364036,0,0
0.303582,0,0,0,8345052,0,0
0.304847,0,0,0,8346894,0,0
0.306114,0,0,0,8364144,0,0
0.307379,0,0,0,8347674,0,0
0.308652,0,0,0,8405214,0,0
0.309919,0,0,0,8361858,0,0
0.311184,0,0,0,8352678,0,0
0.312450,0,0,0,8351916,0,0
0.313715,0,0,0,8360268,0,0
0.315016,0,0,0,8581866,0,0
0.316281,0,0,0,8341146,0,0
0.317546,0,0,0,8355060,0,0
0.318822,0,0,0,8426532,0,0
0.320090,0,0,0,8363886,0,0
0.321356,0,0,0,8355162,0,0
0.322625,0,0,0,8375766,0,0
0.323891,0,0,0,8358300,0,0
0.325157,0,0,0,8353482,0,0
0.326425,0,0,0,8370642,0,0
0.327692,0,0,0,8360094,0,0
0.328966,0,0,0,8403828,0,0
0.330267,0,0,0,8590824,0,0
0.331533,0,0,0,8352240,0,0
0.332798,0,0,0,8347080,0,0
0.334065,0,0,0,8356014,0,0
0.335329,0,0,0,8348646,0,0
0.336593,0,0,0,8346894,0,0
0.337861,0,0,0,8364564,0,0
0.339136,0,0,0,8412900,0,0
0.340401,0,0,0,8352186,0,0
0.341666,0,0,0,8362908,0,0
0.342934,0,0,0,8358306,0,0
0.344200,0,0,0,8354286,0,0
0.345466,0,0,0,8351628,0,0
0.346766,0,0,0,8584944,0,0
0.348032,0,0,0,8355138,0,0
0.349306,0,0,0,8408136,0,0
0.350574,0,0,0,8368284,0,0
0.351840,0,0,0,8356374,0,0
0.353106,0,0,0,8351472,0,0
0.354373,0,0,0,8367372,0,0
0.355639,0,0,0,8350164,0,0
0.356904,0,0,0,8344512,0,0
0.358170,0,0,0,8360352,0,0
0.359443,0,0,0,8404344,0,0
0.360708,0,0,0,8343648,0,0
0.361974,0,0,0,8356308,0,0
0.363240,0,0,0,8353830,0,0
0.364505,0,0,0,8354178,0,0
0.365773,0,0,0,8364492,0,0
0.367038,0,0,0,8351286,0,0
0.368303,0,0,0,8345316,0,0
0.369575,0,0,0,8400726,0,0
0.370893,0,0,0,8695980,0,0
0.372158,0,0,0,8346546,0,0
0.373423,0,0,0,8349792,0,0
0.374716,0,0,0,8539932,0,0
0.375982,0,0,0,8348484,0,0
0.377246,0,0,0,8344164,0,0
0.378547,0,0,0,8586504,0,0
0.379820,0,0,0,8404008,0,0
0.381085,0,0,0,8347314,0,0
0.382351,0,0,0,8357010,0,0
0.383615,0,0,0,8341260,0,0
0.384879,0,0,0,8345718,0,0
0.386145,0,0,0,8349798,0,0
0.387409,0,0,0,8346090,0,0
0.388674,0,0,0,8344242,0,0
0.389947,0,0,0,8409138,0,0
0.391212,0,0,0,8345106,0,0
0.392476,0,0,0,8347950,0,0
0.393741,0,0,0,8482938,0,0
0.395061,0,0,0,8576556,0,0
0.396326,0,0,0,8346186,0,0
0.397591,0,0,0,8345232,0,0
0.398893,0,0,0,8596086,0,0
0.400165,0,0,0,8403018,0,0
0.401430,0,0,0,8342766,0,0
0.402697,0,0,0,8361780,0,0
0.403962,0,0,0,8349000,0,0
0.405226,0,0,0,8343870,0,0
0.406492,0,0,0,8353752,0,0
0.407757,0,0,0,8348664,0,0
0.409022,0,0,0,8348814,0,0
0.410330,0,0,0,8633040,0,0
0.411595,0,0,0,8346102,0,0
0.412859,0,0,0,8347674,0,0
0.414126,0,0,0,8354286,0,0
0.415390,0,0,0,8350338,0,0
0.416655,0,0,0,8347566,0,0
0.417922,0,0,0,8358180,0,0
0.419187,0,0,0,8351706,0,0
0.420460,0,0,0,8402064,0,0
