elapsed_s,VPC_RESERVED_42,VPC_RESERVED_43,VPC_RESERVED_44,VPC_BE_BUSY_CYCLES,VPC_BE_WORKING_CYCLES,VPC_BE_STALL_CYCLES_TSE_BE
0.001101,0,0,0,0,0,0
0.002775,0,0,0,0,0,0
0.004297,0,0,0,0,0,0
0.005871,0,0,0,0,0,0
0.007470,0,0,0,0,0,0
0.008990,0,0,0,0,0,0
0.010522,0,0,0,0,0,0
0.012035,0,0,0,0,0,0
0.013632,0,0,0,0,0,0
0.015121,0,0,0,0,0,0
0.016610,0,0,0,0,0,0
0.018190,0,0,0,0,0,0
0.019692,0,0,0,0,0,0
0.021252,0,0,0,0,0,0
0.022860,0,0,0,0,0,0
0.024465,0,0,0,0,0,0
0.026068,0,0,0,0,0,0
0.027585,0,0,0,0,0,0
0.029237,0,0,0,0,0,0
0.030787,0,0,0,0,0,0
0.032261,0,0,0,0,0,0
0.033730,0,0,0,0,0,0
0.035255,0,0,0,0,0,0
0.036726,0,0,0,0,0,0
0.038266,0,0,0,0,0,0
0.039627,0,0,0,0,0,0
0.041083,0,0,0,0,0,0
0.042424,0,0,0,0,0,0
0.043875,0,0,0,0,0,0
0.045218,0,0,0,0,0,0
0.046620,0,0,0,0,0,0
0.048015,0,0,0,0,0,0
0.049482,0,0,0,0,0,0
0.050888,0,0,0,0,0,0
0.052389,0,0,0,0,0,0
0.053815,0,0,0,0,0,0
0.055309,0,0,0,0,0,0
0.056711,0,0,0,0,0,0
0.058164,0,0,0,0,0,0
0.059565,0,0,0,2607,912,0
0.061193,0,0,0,0,0,0
0.062926,0,0,0,0,0,0
0.064575,0,0,0,0,0,0
0.065975,0,0,0,0,0,0
0.067406,0,0,0,0,0,0
0.068802,0,0,0,0,0,0
0.070302,0,0,0,5277,2607,0
0.071597,0,0,0,0,0,0
0.072990,0,0,0,0,0,0
0.074407,0,0,0,0,0,0
0.075814,0,0,0,0,0,0
0.077267,0,0,0,0,0,0
0.078668,0,0,0,0,0,0
0.080063,0,0,0,0,0,0
0.081458,0,0,0,0,0,0
0.082853,0,0,0,0,0,0
0.084247,0,0,0,0,0,0
0.085634,0,0,0,0,0,0
0.087071,0,0,0,0,0,0
0.088462,0,0,0,0,0,0
0.089851,0,0,0,0,0,0
0.094230,0,0,0,0,0,0
0.095637,0,0,0,0,0,0
0.097000,0,0,0,0,0,0
0.098546,0,0,0,0,0,0
0.099945,0,0,0,0,0,0
0.101314,0,0,0,0,0,0
0.102707,0,0,0,0,0,0
0.104098,0,0,0,0,0,0
0.105488,0,0,0,0,0,0
0.106880,0,0,0,0,0,0
0.108277,0,0,0,0,0,0
0.109777,0,0,0,0,0,0
0.111223,0,0,0,0,0,0
0.112619,0,0,0,0,0,0
0.114016,0,0,0,0,0,0
0.115416,0,0,0,0,0,0
0.116814,0,0,0,0,0,0
0.118377,0,0,0,0,0,0
0.119951,0,0,0,0,0,0
0.121512,0,0,0,0,0,0
