elapsed_s,TP_PACKED_POINT_SINGLE_VALID_FP32,TP_TOTAL_DECOMP_L1_RESP_CH0,TP_TOTAL_DECOMP_L1_RESP_CH1,TP_L1POINT5_PRE_L1_DECOMP_0_WORKLOAD_R,TP_L1POINT5_PRE_L1_DECOMP_1_WORKLOAD_R,TP_L1POINT5_ASTC_DECODER_0_WORKLOAD_R,TP_L1POINT5_ASTC_DECODER_1_WORKLOAD_R,TP_PARTIAL_SURFACE_PGMEM_PIXELS,TP_PARTIAL_SURFACE_SYSMEM_PIXELS,TP_PARTIAL_SURFACE_PGMEM_MISS_REQ,TP_PARTIAL_SURFACE_SYSMEM_MISS_REQ
0.001092,0,0,0,0,0,0,0,0,0,0,0
0.002619,0,0,0,0,0,0,0,0,0,0,0
0.004102,0,0,0,0,0,0,0,0,0,0,0
0.005582,0,0,0,0,0,0,0,0,0,0,0
0.007061,0,0,0,0,0,0,0,0,0,0,0
0.008537,0,0,0,0,0,0,0,0,0,0,0
0.010131,0,0,0,0,0,0,0,0,0,0,0
0.011615,0,0,0,0,0,0,0,0,0,0,0
0.013100,0,0,0,0,0,0,0,0,0,0,0
0.014588,0,0,0,0,0,0,0,0,0,0,0
0.016064,0,0,0,0,0,0,0,0,0,0,0
0.017542,0,0,0,0,0,0,0,0,0,0,0
0.019020,0,0,0,0,0,0,0,0,0,0,0
0.020506,0,0,0,0,0,0,0,0,0,0,0
0.022142,0,0,0,0,0,0,0,0,0,0,0
0.023594,0,0,0,0,0,0,0,0,0,0,0
0.025045,0,0,0,0,0,0,0,0,0,0,0
0.026495,0,0,0,0,0,0,0,0,0,0,0
0.027946,0,0,0,0,0,0,0,0,0,0,0
0.029397,0,0,0,0,0,0,0,0,0,0,0
0.030855,0,0,0,0,0,0,0,0,0,0,0
0.032306,0,0,0,0,0,0,0,0,0,0,0
0.033756,0,0,0,0,0,0,0,0,0,0,0
0.035207,0,0,0,0,0,0,0,0,0,0,0
0.036658,0,0,0,0,0,0,0,0,0,0,0
0.038140,0,0,0,0,0,0,0,0,0,0,0
0.039531,0,0,0,0,0,0,0,0,0,0,0
0.040927,0,0,0,0,0,0,0,0,0,0,0
0.042324,0,0,0,0,0,0,0,0,0,0,0
0.043715,0,0,0,0,0,0,0,0,0,0,0
0.045106,0,0,0,0,0,0,0,0,0,0,0
0.046497,0,0,0,0,0,0,0,0,0,0,0
0.047888,0,0,0,0,0,0,0,0,0,0,0
0.049280,0,0,0,0,0,0,0,0,0,0,0
0.050670,0,0,0,0,0,0,0,0,0,0,0
0.052064,0,0,0,0,0,0,0,0,0,0,0
0.053486,0,0,0,0,0,0,0,0,0,0,0
0.054965,0,0,0,0,0,0,0,0,0,0,0
0.056598,0,0,0,0,0,0,0,0,0,0,0
0.058251,0,0,0,0,0,0,0,0,0,0,0
0.059672,0,0,0,0,0,0,0,0,0,0,0
0.061214,0,0,0,0,0,0,0,0,0,0,0
0.062738,0,0,0,0,0,0,0,0,0,0,0
0.064209,0,0,0,0,0,0,0,0,0,0,0
0.065670,0,0,0,0,0,0,0,0,0,0,0
0.067143,0,0,0,0,0,0,0,0,0,0,0
0.068565,0,0,0,0,0,0,0,0,0,0,0
0.070131,0,0,0,0,0,0,0,0,0,0,0
0.071600,0,0,0,0,0,0,0,0,0,0,0
0.073065,0,0,0,0,0,0,0,0,0,0,0
0.074537,0,0,0,0,0,0,0,0,0,0,0
0.075944,0,0,0,0,0,0,0,0,0,0,0
0.077550,0,0,0,0,0,0,0,0,0,0,0
0.078961,0,0,0,0,0,0,0,0,0,0,0
0.080344,0,0,0,0,0,0,0,0,0,0,0
0.081916,0,0,0,0,0,0,0,0,0,0,0
0.083378,0,0,0,0,0,0,0,0,0,0,0
0.085169,0,0,0,0,0,0,0,0,0,0,0
0.086789,0,0,0,0,0,0,0,0,0,0,0
0.088254,0,0,0,0,0,0,0,0,0,0,0
0.089764,0,0,0,0,0,0,0,0,0,0,0
0.091206,0,0,0,0,0,0,0,0,0,0,0
0.092631,0,0,0,0,0,0,0,0,0,0,0
0.094137,0,0,0,0,0,0,0,0,0,0,0
0.095571,0,0,0,0,0,0,0,0,0,0,0
0.097039,0,0,0,0,0,0,0,0,0,0,0
0.098458,0,0,0,0,0,0,0,0,0,0,0
0.099876,0,0,0,0,0,0,0,0,0,0,0
0.105023,0,0,0,0,0,0,0,0,0,0,0
0.106484,0,0,0,0,0,0,0,0,0,0,0
0.107906,0,0,0,0,0,0,0,0,0,0,0
0.109327,0,0,0,0,0,0,0,0,0,0,0
0.110749,0,0,0,0,0,0,0,0,0,0,0
0.112166,0,0,0,0,0,0,0,0,0,0,0
0.113725,0,0,0,0,0,0,0,0,0,0,0
0.115146,0,0,0,0,0,0,0,0,0,0,0
0.116572,0,0,0,0,0,0,0,0,0,0,0
0.118129,0,0,0,0,0,0,0,0,0,0,0
0.119553,0,0,0,0,0,0,0,0,0,0,0
0.120978,0,0,0,0,0,0,0,0,0,0,0
0.122523,0,0,0,0,0,0,0,0,0,0,0
0.123920,0,0,0,0,0,0,0,0,0,0,0
0.125300,0,0,0,0,0,0,0,0,0,0,0
0.126702,0,0,0,0,0,0,0,0,0,0,0
0.128078,0,0,0,0,0,0,0,0,0,0,0
0.129455,0,0,0,0,0,0,0,0,0,0,0
0.130836,0,0,0,0,0,0,0,0,0,0,0
0.132213,0,0,0,0,0,0,0,0,0,0,0
0.133722,0,0,0,0,0,0,0,0,0,0,0
0.135326,0,0,0,0,0,0,0,0,0,0,0
0.136928,0,0,0,0,0,0,0,0,0,0,0
0.138461,0,0,0,0,0,0,0,0,0,0,0
0.140064,0,0,0,0,0,0,0,0,0,0,0
0.141745,0,0,0,0,0,0,0,0,0,0,0
0.143532,0,0,0,0,0,0,0,0,0,0,0
0.145105,0,0,0,0,0,0,0,0,0,0,0
0.146527,0,0,0,0,0,0,0,0,0,0,0
0.148018,0,0,0,0,0,0,0,0,0,0,0
0.149438,0,0,0,0,0,0,0,0,0,0,0
0.150856,0,0,0,0,0,0,0,0,0,0,0
0.152432,0,0,0,0,0,0,0,0,0,0,0
0.153888,0,0,0,0,0,0,0,0,0,0,0
0.155439,0,0,0,0,0,0,0,0,0,0,0
0.157124,0,0,0,0,0,0,0,0,0,0,0
0.158581,0,0,0,0,0,0,0,0,0,0,0
0.160168,0,0,0,0,0,0,0,0,0,0,0
0.162793,0,0,0,0,0,0,0,0,0,0,0
0.164229,0,0,0,0,0,0,0,0,0,0,0
0.165700,0,0,0,0,0,0,0,0,0,0,0
0.167127,0,0,0,0,0,0,0,0,0,0,0
0.168562,0,0,0,0,0,0,0,0,0,0,0
0.169989,0,0,0,0,0,0,0,0,0,0,0
0.171413,0,0,0,0,0,0,0,0,0,0,0
0.172837,0,0,0,0,0,0,0,0,0,0,0
0.174264,0,0,0,0,0,0,0,0,0,0,0
0.175687,0,0,0,0,0,0,0,0,0,0,0
0.177245,0,0,0,0,0,0,0,0,0,0,0
0.178722,0,0,0,0,0,0,0,0,0,0,0
0.180153,0,0,0,0,0,0,0,0,0,0,0
0.181635,0,0,0,0,0,0,0,0,0,0,0
0.183062,0,0,0,0,0,0,0,0,0,0,0
0.184488,0,0,0,0,0,0,0,0,0,0,0
0.185914,0,0,0,0,0,0,0,0,0,0,0
0.187454,0,0,0,0,0,0,0,0,0,0,0
0.189089,0,0,0,0,0,0,0,0,0,0,0
0.190743,0,0,0,0,0,0,0,0,0,0,0
0.192330,0,0,0,0,0,0,0,0,0,0,0
0.193916,0,0,0,0,0,0,0,0,0,0,0
0.195502,0,0,0,0,0,0,0,0,0,0,0
0.197134,0,0,0,0,0,0,0,0,0,0,0
0.198729,0,0,0,0,0,0,0,0,0,0,0
0.200330,0,0,0,0,0,0,0,0,0,0,0
0.201920,0,0,0,0,0,0,0,0,0,0,0
0.203556,0,0,0,0,0,0,0,0,0,0,0
0.205147,0,0,0,0,0,0,0,0,0,0,0
0.206736,0,0,0,0,0,0,0,0,0,0,0
0.208324,0,0,0,0,0,0,0,0,0,0,0
0.209913,0,0,0,0,0,0,0,0,0,0,0
0.211515,0,0,0,0,0,0,0,0,0,0,0
0.213149,0,0,0,0,0,0,0,0,0,0,0
0.214737,0,0,0,0,0,0,0,0,0,0,0
0.216325,0,0,0,0,0,0,0,0,0,0,0
0.217914,0,0,0,0,0,0,0,0,0,0,0
0.219503,0,0,0,0,0,0,0,0,0,0,0
0.221094,0,0,0,0,0,0,0,0,0,0,0
0.222696,0,0,0,0,0,0,0,0,0,0,0
0.224284,0,0,0,0,0,0,0,0,0,0,0
0.225873,0,0,0,0,0,0,0,0,0,0,0
0.227462,0,0,0,0,0,0,0,0,0,0,0
0.229095,0,0,0,0,0,0,0,0,0,0,0
0.230685,0,0,0,0,0,0,0,0,0,0,0
0.232271,0,0,0,0,0,0,0,0,0,0,0
0.233874,0,0,0,0,0,0,0,0,0,0,0
0.235464,0,0,0,0,0,0,0,0,0,0,0
0.237055,0,0,0,0,0,0,0,0,0,0,0
0.238643,0,0,0,0,0,0,0,0,0,0,0
0.240231,0,0,0,0,0,0,0,0,0,0,0
0.241818,0,0,0,0,0,0,0,0,0,0,0
0.243408,0,0,0,0,0,0,0,0,0,0,0
0.245054,0,0,0,0,0,0,0,0,0,0,0
0.246635,0,0,0,0,0,0,0,0,0,0,0
0.248213,0,0,0,0,0,0,0,0,0,0,0
0.249672,0,0,0,0,0,0,0,0,0,0,0
0.251231,0,0,0,0,0,0,0,0,0,0,0
0.252818,0,0,0,0,0,0,0,0,0,0,0
0.254412,0,0,0,0,0,0,0,0,0,0,0
0.256012,0,0,0,0,0,0,0,0,0,0,0
0.257604,0,0,0,0,0,0,0,0,0,0,0
0.259194,0,0,0,0,0,0,0,0,0,0,0
0.260824,0,0,0,0,0,0,0,0,0,0,0
0.262418,0,0,0,0,0,0,0,0,0,0,0
0.264004,0,0,0,0,0,0,0,0,0,0,0
0.265594,0,0,0,0,0,0,0,0,0,0,0
0.267072,0,0,0,0,0,0,0,0,0,0,0
0.268630,0,0,0,0,0,0,0,0,0,0,0
0.270309,0,0,0,0,0,0,0,0,0,0,0
0.271896,0,0,0,0,0,0,0,0,0,0,0
0.273487,0,0,0,0,0,0,0,0,0,0,0
0.274968,0,0,0,0,0,0,0,0,0,0,0
0.276398,0,0,0,0,0,0,0,0,0,0,0
0.278002,0,0,0,0,0,0,0,0,0,0,0
0.279589,0,0,0,0,0,0,0,0,0,0,0
0.281180,0,0,0,0,0,0,0,0,0,0,0
0.282768,0,0,0,0,0,0,0,0,0,0,0
0.284355,0,0,0,0,0,0,0,0,0,0,0
0.285944,0,0,0,0,0,0,0,0,0,0,0
0.287556,0,0,0,0,0,0,0,0,0,0,0
0.289164,0,0,0,0,0,0,0,0,0,0,0
0.290754,0,0,0,0,0,0,0,0,0,0,0
0.292341,0,0,0,0,0,0,0,0,0,0,0
0.293932,0,0,0,0,0,0,0,0,0,0,0
0.295524,0,0,0,0,0,0,0,0,0,0,0
0.297346,0,0,0,0,0,0,0,0,0,0,0
0.298775,0,0,0,0,0,0,0,0,0,0,0
0.300204,0,0,0,0,0,0,0,0,0,0,0
0.301622,0,0,0,0,0,0,0,0,0,0,0
0.303039,0,0,0,0,0,0,0,0,0,0,0
0.304455,0,0,0,0,0,0,0,0,0,0,0
0.305872,0,0,0,0,0,0,0,0,0,0,0
0.307291,0,0,0,0,0,0,0,0,0,0,0
0.308762,0,0,0,0,0,0,0,0,0,0,0
0.310261,0,0,0,0,0,0,0,0,0,0,0
0.311650,0,0,0,0,0,0,0,0,0,0,0
