elapsed_s,TP_2D_OUTPUT_PIXELS_BILINEAR,TP_2D_FILTER_WORKLOAD_16BIT,TP_2D_FILTER_WORKLOAD_32BIT,TP_TPA2TPC_TRANS,TP_L1_MISSES_ASTC_1TILE,TP_L1_MISSES_ASTC_2TILE,TP_L1_MISSES_ASTC_4TILE,TP_L1_5_COMPRESS_REQS,TP_L1_5_L2_COMPRESS_MISS,TP_L1_BANK_CONFLICT,TP_L1_5_MISS_LATENCY_CYCLES,TP_L1_5_MISS_LATENCY_TRANS
0.102117,0,0,0,0,0,0,0,0,0,0,0,0
0.103499,0,0,0,0,0,0,0,0,0,0,0,0
0.104882,0,0,0,0,0,0,0,0,0,0,0,0
0.106263,0,0,0,0,0,0,0,0,0,0,0,0
0.107644,0,0,0,0,0,0,0,0,0,0,0,0
0.109026,0,0,0,0,0,0,0,0,0,0,0,0
0.110440,0,0,0,0,0,0,0,0,0,0,0,0
0.111877,0,0,0,0,0,0,0,0,0,0,0,0
0.113313,0,0,0,0,0,0,0,0,0,0,0,0
0.118063,0,0,0,0,0,0,0,0,0,0,0,0
0.119495,0,0,0,0,0,0,0,0,0,0,0,0
0.120927,0,0,0,0,0,0,0,0,0,0,0,0
0.123556,0,0,0,0,0,0,0,0,0,0,0,0
0.124972,0,0,0,0,0,0,0,0,0,0,0,0
0.126398,0,0,0,0,0,0,0,0,0,0,0,0
0.127822,0,0,0,0,0,0,0,0,0,0,0,0
0.129245,0,0,0,0,0,0,0,0,0,0,0,0
0.130670,0,0,0,0,0,0,0,0,0,0,0,0
0.132099,0,0,0,0,0,0,0,0,0,0,0,0
0.133529,0,0,0,0,0,0,0,0,0,0,0,0
0.134958,0,0,0,0,0,0,0,0,0,0,0,0
0.136399,0,0,0,0,0,0,0,0,0,0,0,0
0.137821,0,0,0,0,0,0,0,0,0,0,0,0
0.139297,0,0,0,0,0,0,0,0,0,0,0,0
0.140725,0,0,0,0,0,0,0,0,0,0,0,0
0.142205,0,0,0,0,0,0,0,0,0,0,0,0
0.143637,0,0,0,0,0,0,0,0,0,0,0,0
0.145067,0,0,0,0,0,0,0,0,0,0,0,0
0.146515,0,0,0,0,0,0,0,0,0,0,0,0
0.147945,0,0,0,0,0,0,0,0,0,0,0,0
0.149374,0,0,0,0,0,0,0,0,0,0,0,0
0.151031,0,0,0,0,0,0,0,0,0,0,0,0
0.152624,0,0,0,0,0,0,0,0,0,0,0,0
0.154220,0,0,0,0,0,0,0,0,0,0,0,0
0.155815,0,0,0,0,0,0,0,0,0,0,0,0
0.157295,0,0,0,0,0,0,0,0,0,0,0,0
0.158862,0,0,0,0,0,0,0,0,0,0,0,0
0.160455,0,0,0,0,0,0,0,0,0,0,0,0
0.162050,0,0,0,0,0,0,0,0,0,0,0,0
0.163645,0,0,0,0,0,0,0,0,0,0,0,0
0.165237,0,0,0,0,0,0,0,0,0,0,0,0
0.166830,0,0,0,0,0,0,0,0,0,0,0,0
0.168437,0,0,0,0,0,0,0,0,0,0,0,0
0.171340,0,0,0,0,0,0,0,0,0,0,0,0
0.172817,0,0,0,0,0,0,0,0,0,0,0,0
0.174340,0,0,0,0,0,0,0,0,0,0,0,0
0.175861,0,0,0,0,0,0,0,0,0,0,0,0
0.177287,0,0,0,0,0,0,0,0,0,0,0,0
0.178724,0,0,0,0,0,0,0,0,0,0,0,0
0.180156,0,0,0,0,0,0,0,0,0,0,0,0
0.181586,0,0,0,0,0,0,0,0,0,0,0,0
0.183016,0,0,0,0,0,0,0,0,0,0,0,0
0.184445,0,0,0,0,0,0,0,0,0,0,0,0
0.185875,0,0,0,0,0,0,0,0,0,0,0,0
0.187430,0,0,0,0,0,0,0,0,0,0,0,0
0.188946,0,0,0,0,0,0,0,0,0,0,0,0
0.190381,0,0,0,0,0,0,0,0,0,0,0,0
0.191815,0,0,0,0,0,0,0,0,0,0,0,0
0.193246,0,0,0,0,0,0,0,0,0,0,0,0
0.194678,0,0,0,0,0,0,0,0,0,0,0,0
0.196107,0,0,0,0,0,0,0,0,0,0,0,0
0.197665,0,0,0,0,0,0,0,0,0,0,0,0
0.199204,0,0,0,0,0,0,0,0,0,0,0,0
0.200639,0,0,0,0,0,0,0,0,0,0,0,0
0.202072,0,0,0,0,0,0,0,0,0,0,0,0
0.203501,0,0,0,0,0,0,0,0,0,0,0,0
0.204929,0,0,0,0,0,0,0,0,0,0,0,0
0.206403,0,0,0,0,0,0,0,0,0,0,0,0
0.207945,0,0,0,0,0,0,0,0,0,0,0,0
0.209550,0,0,0,0,0,0,0,0,0,0,0,0
0.211013,0,0,0,0,0,0,0,0,0,0,0,0
0.212576,0,0,0,0,0,0,0,0,0,0,0,0
0.214170,0,0,0,0,0,0,0,0,0,0,0,0
0.215763,0,0,0,0,0,0,0,0,0,0,0,0
0.217352,0,0,0,0,0,0,0,0,0,0,0,0
0.218944,0,0,0,0,0,0,0,0,0,0,0,0
0.220549,0,0,0,0,0,0,0,0,0,0,0,0
0.222186,0,0,0,0,0,0,0,0,0,0,0,0
0.223780,0,0,0,0,0,0,0,0,0,0,0,0
0.225370,0,0,0,0,0,0,0,0,0,0,0,0
0.226962,0,0,0,0,0,0,0,0,0,0,0,0
0.228554,0,0,0,0,0,0,0,0,0,0,0,0
0.230148,0,0,0,0,0,0,0,0,0,0,0,0
0.231754,0,0,0,0,0,0,0,0,0,0,0,0
0.233345,0,0,0,0,0,0,0,0,0,0,0,0
0.234937,0,0,0,0,0,0,0,0,0,0,0,0
0.236530,0,0,0,0,0,0,0,0,0,0,0,0
0.238165,0,0,0,0,0,0,0,0,0,0,0,0
0.239759,0,0,0,0,0,0,0,0,0,0,0,0
0.241349,0,0,0,0,0,0,0,0,0,0,0,0
0.242956,0,0,0,0,0,0,0,0,0,0,0,0
0.244548,0,0,0,0,0,0,0,0,0,0,0,0
0.246142,0,0,0,0,0,0,0,0,0,0,0,0
0.247735,0,0,0,0,0,0,0,0,0,0,0,0
0.249325,0,0,0,0,0,0,0,0,0,0,0,0
0.250918,0,0,0,0,0,0,0,0,0,0,0,0
0.252510,0,0,0,0,0,0,0,0,0,0,0,0
0.254159,0,0,0,0,0,0,0,0,0,0,0,0
0.255752,0,0,0,0,0,0,0,0,0,0,0,0
0.257343,0,0,0,0,0,0,0,0,0,0,0,0
0.258935,0,0,0,0,0,0,0,0,0,0,0,0
0.260527,0,0,0,0,0,0,0,0,0,0,0,0
0.262120,0,0,0,0,0,0,0,0,0,0,0,0
0.263713,0,0,0,0,0,0,0,0,0,0,0,0
0.265317,0,0,0,0,0,0,0,0,0,0,0,0
0.266910,0,0,0,0,0,0,0,0,0,0,0,0
0.268503,0,0,0,0,0,0,0,0,0,0,0,0
0.270138,0,0,0,0,0,0,0,0,0,0,0,0
0.271728,0,0,0,0,0,0,0,0,0,0,0,0
0.273196,0,0,0,0,0,0,0,0,0,0,0,0
0.274765,0,0,0,0,0,0,0,0,0,0,0,0
0.276371,0,0,0,0,0,0,0,0,0,0,0,0
0.278056,0,0,0,0,0,0,0,0,0,0,0,0
0.279653,0,0,0,0,0,0,0,0,0,0,0,0
0.281086,0,0,0,0,0,0,0,0,0,0,0,0
0.282647,0,0,0,0,0,0,0,0,0,0,0,0
0.284239,0,0,0,0,0,0,0,0,0,0,0,0
0.285872,0,0,0,0,0,0,0,0,0,0,0,0
0.287480,0,0,0,0,0,0,0,0,0,0,0,0
0.288949,0,0,0,0,0,0,0,0,0,0,0,0
0.290518,0,0,0,0,0,0,0,0,0,0,0,0
0.292103,0,0,0,0,0,0,0,0,0,0,0,0
0.293686,0,0,0,0,0,0,0,0,0,0,0,0
0.295383,0,0,0,0,0,0,0,0,0,0,0,0
0.296973,0,0,0,0,0,0,0,0,0,0,0,0
0.298578,0,0,0,0,0,0,0,0,0,0,0,0
0.300170,0,0,0,0,0,0,0,0,0,0,0,0
0.301804,0,0,0,0,0,0,0,0,0,0,0,0
0.303402,0,0,0,0,0,0,0,0,0,0,0,0
0.304867,0,0,0,0,0,0,0,0,0,0,0,0
0.306302,0,0,0,0,0,0,0,0,0,0,0,0
0.307727,0,0,0,0,0,0,0,0,0,0,0,0
0.309163,0,0,0,0,0,0,0,0,0,0,0,0
0.310588,0,0,0,0,0,0,0,0,0,0,0,0
0.312010,0,0,0,0,0,0,0,0,0,0,0,0
0.313432,0,0,0,0,0,0,0,0,0,0,0,0
0.314854,0,0,0,0,0,0,0,0,0,0,0,0
0.316278,0,0,0,0,0,0,0,0,0,0,0,0
0.317756,0,0,0,0,0,0,0,0,0,0,0,0
0.319158,0,0,0,0,0,0,0,0,0,0,0,0
0.320552,0,0,0,0,0,0,0,0,0,0,0,0
0.321945,0,0,0,0,0,0,0,0,0,0,0,0
0.323484,0,0,0,0,0,0,0,0,0,0,0,0
0.324876,0,0,0,0,0,0,0,0,0,0,0,0
0.326270,0,0,0,0,0,0,0,0,0,0,0,0
0.330146,0,0,0,0,0,0,0,0,0,0,0,0
0.332064,0,0,0,0,0,0,0,0,0,0,0,0
0.333526,0,0,0,0,0,0,0,0,0,0,0,0
0.334965,0,0,0,0,0,0,0,0,0,0,0,0
0.336408,0,0,0,0,0,0,0,0,0,0,0,0
0.337851,0,0,0,0,0,0,0,0,0,0,0,0
0.339154,0,0,0,0,0,0,0,0,0,0,0,0
0.340548,0,0,0,0,0,0,0,0,0,0,0,0
0.341984,0,0,0,0,0,0,0,0,0,0,0,0
0.343378,0,0,0,0,0,0,0,0,0,0,0,0
0.344771,0,0,0,0,0,0,0,0,0,0,0,0
0.346163,0,0,0,0,0,0,0,0,0,0,0,0
0.347555,0,0,0,0,0,0,0,0,0,0,0,0
0.348840,0,0,0,0,0,0,0,0,0,0,0,0
0.350318,0,0,0,0,0,0,0,0,0,0,0,0
0.351743,0,0,0,0,0,0,0,0,0,0,0,0
0.353199,0,0,0,0,0,0,0,0,0,0,0,0
0.354634,0,0,0,0,0,0,0,0,0,0,0,0
0.356033,0,0,0,0,0,0,0,0,0,0,0,0
0.357416,0,0,0,0,0,0,0,0,0,0,0,0
0.358851,0,0,0,0,0,0,0,0,0,0,0,0
0.360233,0,0,0,0,0,0,0,0,0,0,0,0
0.361671,0,0,0,0,0,0,0,0,0,0,0,0
0.363114,0,0,0,0,0,0,0,0,0,0,0,0
0.364523,0,0,0,0,0,0,0,0,0,0,0,0
0.366130,0,0,0,0,0,0,0,0,0,0,0,0
0.367585,0,0,0,0,0,0,0,0,0,0,0,0
0.369015,0,0,0,0,0,0,0,0,0,0,0,0
0.370441,0,0,0,0,0,0,0,0,0,0,0,0
0.371869,0,0,0,63616,0,0,0,0,0,0,196338,2526
0.373154,0,0,0,198528,0,0,0,0,0,0,391714,6443
0.374605,0,0,0,0,0,0,0,0,0,0,0,0
0.376035,0,0,0,0,0,0,0,0,0,0,0,0
0.377465,0,0,0,0,0,0,0,0,0,0,0,0
0.378938,0,0,0,0,0,0,0,0,0,0,0,0
0.380368,0,0,0,0,0,0,0,0,0,0,0,0
0.381844,0,0,0,0,0,0,0,0,0,0,0,0
0.383389,0,0,0,0,0,0,0,0,0,0,0,0
0.384824,0,0,0,0,0,0,0,0,0,0,0,0
0.387797,0,0,0,0,0,0,0,0,0,0,0,0
0.389221,0,0,0,0,0,0,0,0,0,0,0,0
0.394017,0,0,0,0,0,0,0,0,0,0,0,0
0.395457,0,0,0,0,0,0,0,0,0,0,0,0
0.396886,0,0,0,0,0,0,0,0,0,0,0,0
0.398440,0,0,0,0,0,0,0,0,0,0,0,0
0.399879,0,0,0,0,0,0,0,0,0,0,0,0
0.401280,0,0,0,0,0,0,0,0,0,0,0,0
0.402668,0,0,0,0,0,0,0,0,0,0,0,0
0.404051,0,0,0,0,0,0,0,0,0,0,0,0
0.405451,0,0,0,0,0,0,0,0,0,0,0,0
0.406834,0,0,0,0,0,0,0,0,0,0,0,0
0.408216,0,0,0,0,0,0,0,0,0,0,0,0
0.409597,0,0,0,0,0,0,0,0,0,0,0,0
0.411036,0,0,0,0,0,0,0,0,0,0,0,0
0.412415,0,0,0,0,0,0,0,0,0,0,0,0
0.413930,0,0,0,0,0,0,0,0,0,0,0,0
0.415593,0,0,0,0,0,0,0,0,0,0,0,0
0.417074,0,0,0,0,0,0,0,0,0,0,0,0
0.418514,0,0,0,0,0,0,0,0,0,0,0,0
0.419946,0,0,0,0,0,0,0,0,0,0,0,0
0.421376,0,0,0,0,0,0,0,0,0,0,0,0
0.422807,0,0,0,0,0,0,0,0,0,0,0,0
0.424236,0,0,0,0,0,0,0,0,0,0,0,0
0.425794,0,0,0,0,0,0,0,0,0,0,0,0
0.427281,0,0,0,0,0,0,0,0,0,0,0,0
0.428711,0,0,0,0,0,0,0,0,0,0,0,0
0.430155,0,0,0,0,0,0,0,0,0,0,0,0
0.431590,0,0,0,0,0,0,0,0,0,0,0,0
0.433017,0,0,0,0,0,0,0,0,0,0,0,0
0.434447,0,0,0,0,0,0,0,0,0,0,0,0
0.436004,0,0,0,0,0,0,0,0,0,0,0,0
0.437608,0,0,0,0,0,0,0,0,0,0,0,0
0.439252,0,0,0,0,0,0,0,0,0,0,0,0
0.440843,0,0,0,0,0,0,0,0,0,0,0,0
0.442435,0,0,0,0,0,0,0,0,0,0,0,0
0.444027,0,0,0,0,0,0,0,0,0,0,0,0
0.445617,0,0,0,0,0,0,0,0,0,0,0,0
0.447212,0,0,0,0,0,0,0,0,0,0,0,0
0.448782,0,0,0,0,0,0,0,0,0,0,0,0
0.450375,0,0,0,0,0,0,0,0,0,0,0,0
0.451965,0,0,0,0,0,0,0,0,0,0,0,0
0.453557,0,0,0,0,0,0,0,0,0,0,0,0
0.455147,0,0,0,0,0,0,0,0,0,0,0,0
0.456738,0,0,0,0,0,0,0,0,0,0,0,0
0.458331,0,0,0,0,0,0,0,0,0,0,0,0
0.459936,0,0,0,0,0,0,0,0,0,0,0,0
0.461525,0,0,0,0,0,0,0,0,0,0,0,0
0.463223,0,0,0,0,0,0,0,0,0,0,0,0
0.464814,0,0,0,0,0,0,0,0,0,0,0,0
0.466405,0,0,0,0,0,0,0,0,0,0,0,0
0.467996,0,0,0,0,0,0,0,0,0,0,0,0
0.469585,0,0,0,0,0,0,0,0,0,0,0,0
0.471236,0,0,0,0,0,0,0,0,0,0,0,0
0.472740,0,0,0,0,0,0,0,0,0,0,0,0
0.474257,0,0,0,0,0,0,0,0,0,0,0,0
0.475692,0,0,0,0,0,0,0,0,0,0,0,0
