elapsed_s,CP_MEMORY_POOL_BELOW_THRESH,CP_AHB_WR_STALL_PRE_DRAWS,CP_AHB_STALL_SQE_GMU,CP_AHB_STALL_SQE_WR_OTHER,CP_AHB_STALL_SQE_RD_OTHER,CP_CLUSTER_FE_U_EMPTY,CP_CLUSTER_FE_S_EMPTY,CP_CLUSTER_SP_VS_EMPTY,CP_CLUSTER_VPC_US_EMPTY,CP_CLUSTER_VPC_VS_EMPTY,CP_CLUSTER_GRAS_EMPTY,CP_CLUSTER_SP_PS_EMPTY,CP_CLUSTER_VPC_PS_EMPTY,CP_CLUSTER_PS_EMPTY
2.355680,0,0,0,0,0,338795,338793,338810,338809,338808,338806,338805,338803,338856
2.357366,0,0,0,0,0,340822,340821,340803,340802,340802,340801,340800,340800,340746
2.358939,0,0,0,0,0,333963,333945,333961,334013,334012,334011,334011,334010,334008
2.360594,0,0,0,0,0,347808,347825,347824,347770,347766,347819,347818,347816,347817
2.362283,0,0,0,0,0,338521,338503,338502,338501,338503,338501,338501,338500,338497
2.363971,0,0,0,0,0,348187,348203,348184,348182,348180,348126,348123,348125,348124
2.365660,0,0,0,0,0,337996,337994,337994,337993,337993,337993,337992,337990,337989
2.367347,0,0,0,0,0,336478,336477,336477,336477,336527,336526,336526,336524,336522
2.369034,0,0,0,0,0,337695,337695,337709,337691,337638,337637,337635,337634,337634
2.370671,0,0,0,0,0,331411,331409,331392,331460,331459,331458,331457,331457,331456
2.372329,0,0,0,0,0,337506,337489,337522,337452,337452,337450,337449,337447,337447
2.374019,0,0,0,0,0,337814,337866,337846,337862,337860,337859,337860,337859,337858
2.375707,0,0,0,0,0,338109,338070,338055,338053,338053,338053,338050,338049,338047
2.377392,0,0,0,0,0,340391,340376,340391,340390,340388,340388,340387,340438,340438
2.379082,0,0,0,0,0,336513,336543,336525,336526,336578,336576,336574,336574,336573
2.381096,0,0,0,0,0,335673,335656,335655,335652,335598,335596,335596,335543,335541
2.382732,0,0,0,0,0,433289,433289,433287,433287,433286,433286,433285,433284,433284
2.384408,0,0,0,0,0,331370,331352,331369,331367,331365,331365,331364,331362,331361
2.385926,0,0,0,0,0,330097,330112,330095,330094,330094,330092,330091,330090,330088
2.387487,0,0,0,0,0,330446,330500,330515,330513,330512,330511,330511,330511,330510
2.389000,0,0,0,0,0,330443,330388,330370,330371,330371,330369,330368,330365,330364
2.390515,0,0,0,0,0,331248,331247,331245,331244,331242,331242,331241,331240,331240
2.392265,0,0,0,0,0,323259,323258,323274,323272,327368,328878,325625,329740,327191
2.393919,0,0,0,0,0,541802,541800,541783,541782,537685,536172,539423,535308,537854
2.395754,0,0,0,0,0,332146,332129,332144,332143,332142,332141,332140,332139,332138
2.397270,0,0,0,0,0,343744,343759,343742,343741,343740,343739,343739,343736,343736
2.398864,0,0,0,0,0,331368,331351,331367,331367,331365,331417,331415,331415,331413
2.400379,0,0,0,0,0,341140,341155,341137,341188,341188,341134,341132,341131,341130
2.401895,0,0,0,0,0,332069,332122,332153,332083,332081,332081,332080,332080,332079
2.403463,0,0,0,0,0,330709,330639,330622,330636,330635,330634,330634,330633,330633
2.405114,0,0,0,0,0,337280,337296,337278,337331,337331,337328,382948,383209,383313
2.406768,0,0,0,0,0,375470,375467,375467,375413,375412,375411,329789,329526,329420
2.408283,0,0,0,0,0,329398,329397,329396,329449,329447,329448,329446,329444,329443
2.409796,0,0,0,0,0,331728,331728,331726,331671,331670,331668,331668,331668,331665
2.411311,0,0,0,0,0,341614,341595,341612,341611,341610,341609,341607,341606,341607
2.412824,0,0,0,0,0,330306,330322,330303,330303,330302,330302,330301,330299,330298
2.414348,0,0,0,0,0,332392,332392,332392,332391,332390,332390,332389,332388,332387
2.415860,0,0,0,0,0,344674,344655,344670,344721,344721,344718,344718,344717,344715
2.417377,0,0,0,0,0,335877,335894,335893,335822,335820,335820,335818,335818,335818
2.418901,0,0,0,0,0,363704,363701,363685,363702,363701,363699,363699,363697,363695
2.420463,0,0,0,0,0,330993,330993,330990,330989,330989,330989,330987,330986,330986
2.421976,0,0,0,0,0,331652,331653,331670,331704,331703,331701,331701,331700,331697
2.423627,0,0,0,0,0,336925,336923,336905,336868,336865,336865,336863,336862,336863
2.425327,0,0,0,0,0,350688,350688,350687,350686,350687,350685,350685,350685,350683
2.427018,0,0,0,0,0,348103,348117,348116,348115,348113,348113,348111,348109,348109
2.428704,0,0,0,0,0,336608,336591,336589,336590,336588,336639,336691,336691,336690
2.430428,0,0,0,0,0,336306,336305,336304,336301,336301,336247,336194,336193,336192
2.432115,0,0,0,0,0,337927,337926,337926,337977,338030,338029,338028,338026,338024
2.433806,0,0,0,0,0,337953,337936,337951,337899,337845,337844,337843,337841,337841
