elapsed_s,HLSQ_BV2LPAC_SWITCH_CNT,HLSQ_LPAC2BV_SWITCH_CYC,HLSQ_BV2LPAC_SWITCH_CYC,HLSQ_VSDP_BV2BR_SWITCH_CYC,HLSQ_VS_SP_HCTX_ACTIVE_CNT,HLSQ_FS_SP_HCTX_ACTIVE_CNT
0.001095,0,0,0,0,0,0
0.002674,0,0,0,0,0,0
0.004160,0,0,0,0,0,0
0.005595,0,0,0,0,0,0
0.007029,0,0,0,0,0,0
0.008620,0,0,0,0,0,0
0.010104,0,0,0,0,0,0
0.011559,0,0,0,0,0,0
0.013011,0,0,0,0,0,0
0.014423,0,0,0,0,0,0
0.015854,0,0,0,0,0,0
0.017260,0,0,0,0,0,0
0.018641,0,0,0,0,0,0
0.020109,0,0,0,0,0,0
0.021481,0,0,0,0,0,0
0.022844,0,0,0,0,0,0
0.024254,0,0,0,0,0,0
0.025628,0,0,0,0,0,0
0.026990,0,0,0,0,0,0
0.028456,0,0,0,0,0,0
0.029764,0,0,0,0,0,0
0.031073,0,0,0,0,0,0
0.032587,0,0,0,0,0,0
0.033892,0,0,0,0,0,0
0.035197,0,0,0,0,0,0
0.036506,0,0,0,0,0,0
0.037812,0,0,0,0,0,0
0.039117,0,0,0,0,0,0
0.040508,0,0,0,0,0,0
0.041824,0,0,0,0,0,0
0.043087,0,0,0,0,0,0
0.044371,0,0,0,0,0,0
0.045634,0,0,0,0,0,0
0.046897,0,0,0,0,0,0
0.048181,0,0,0,0,0,0
0.049532,0,0,0,0,0,0
0.050884,0,0,0,0,0,0
0.052252,0,0,0,0,0,0
0.053637,0,0,0,0,0,0
0.055015,0,0,0,0,0,0
0.056428,0,0,0,0,0,0
0.057803,0,0,0,0,0,0
0.059179,0,0,0,0,0,0
0.060555,0,0,0,0,0,0
0.061929,0,0,0,0,0,0
0.063408,0,0,0,0,0,0
0.064900,0,0,0,0,0,0
0.066298,0,0,0,0,0,0
0.067832,0,0,0,0,0,0
0.069229,0,0,0,0,0,0
0.070623,0,0,0,0,0,0
0.072015,0,0,0,0,0,0
0.073379,0,0,0,0,0,0
0.074730,0,0,0,0,0,0
0.076143,0,0,0,0,0,0
0.077632,0,0,0,0,0,0
0.079445,0,0,0,0,0,0
0.080705,0,0,0,0,0,0
0.081958,0,0,0,0,0,0
0.083209,0,0,0,0,0,0
0.084552,0,0,0,0,0,0
0.085803,0,0,0,0,0,0
0.087053,0,0,0,0,0,0
0.088306,0,0,0,0,0,0
0.089573,0,0,0,0,0,0
0.090827,0,0,0,0,0,0
0.092127,0,0,0,0,0,0
0.093382,0,0,0,0,0,0
0.094779,0,0,0,0,0,0
0.096187,0,0,0,0,0,0
0.098117,0,0,0,0,0,0
0.099514,0,0,0,0,0,0
0.100957,0,0,0,0,0,0
0.102351,0,0,0,0,0,0
0.103759,0,0,0,0,0,0
0.105161,0,0,0,0,0,0
0.106554,0,0,0,0,0,0
0.108787,0,0,0,0,0,0
0.110188,0,0,0,0,0,0
0.111722,0,0,0,0,0,0
0.113121,0,0,0,0,0,0
0.114522,0,0,0,0,0,0
0.118627,0,0,0,0,0,0
0.120024,0,0,0,0,0,0
0.121420,0,0,0,0,0,0
0.122815,0,0,0,0,0,0
0.124253,0,0,0,0,0,0
0.125664,0,0,0,0,0,0
0.127054,0,0,0,0,0,0
0.128687,0,0,0,0,0,0
0.130056,0,0,0,0,0,0
0.131408,0,0,0,0,0,0
0.132770,0,0,0,0,0,0
0.134163,0,0,0,0,0,0
0.135555,0,0,0,0,0,0
0.136954,0,0,0,0,0,0
0.138471,0,0,0,0,0,0
0.139943,0,0,0,0,0,0
0.141464,0,0,0,0,0,0
0.143015,0,0,0,0,0,0
0.144745,0,0,0,0,0,0
0.146151,0,0,0,0,0,0
0.147570,0,0,0,0,0,0
0.149012,0,0,0,0,0,0
0.150410,0,0,0,0,0,0
0.151811,0,0,0,0,0,0
0.153337,0,0,0,0,0,0
0.154899,0,0,0,0,0,0
0.156505,0,0,0,0,0,0
0.157959,0,0,0,0,0,0
0.159494,0,0,0,0,0,0
0.161046,0,0,0,0,0,0
0.162598,0,0,0,0,0,0
0.164035,0,0,0,0,0,0
0.165563,0,0,0,0,0,0
0.167117,0,0,0,0,0,0
0.168595,0,0,0,0,0,0
0.169998,0,0,0,0,0,0
0.171398,0,0,0,0,0,0
0.172797,0,0,0,0,0,0
0.174195,0,0,0,0,0,0
0.175592,0,0,0,0,0,0
0.176988,0,0,0,0,0,0
0.178512,0,0,0,0,0,0
0.180140,0,0,0,0,0,0
0.181702,0,0,0,0,0,0
0.183263,0,0,0,0,0,0
0.184710,0,0,0,0,0,0
0.186113,0,0,0,0,0,0
0.187643,0,0,0,0,0,0
0.189250,0,0,0,0,0,0
0.190824,0,0,0,0,0,0
0.192386,0,0,0,0,0,0
0.193949,0,0,0,0,0,0
0.195512,0,0,0,0,0,0
0.197076,0,0,0,0,0,0
