elapsed_s,VPC_US_STARVE_CYCLES_TSE_FE,VPC_US_PTUS_FULL,VPC_US_COMP_INVIS_PRIM_COUNT,VPC_US_STALL_CYCLES_VSC,VPC_US_STALL_CYCLES_VPC_BE,VPC_US_STALL_CYCLES_UCHE
0.001151,0,0,0,0,0,0
0.002705,0,0,0,0,0,0
0.004148,0,0,0,0,0,0
0.005656,0,0,0,0,0,0
0.007090,0,0,0,0,0,0
0.008525,0,0,0,0,0,0
0.009971,0,0,0,0,0,0
0.011403,0,0,0,0,0,0
0.012838,0,0,0,0,0,0
0.014269,0,0,0,0,0,0
0.015700,0,0,0,0,0,0
0.017132,0,0,0,0,0,0
0.018789,0,0,0,0,0,0
0.020238,0,0,0,0,0,0
0.021651,0,0,0,0,0,0
0.023045,0,0,0,0,0,0
0.024628,0,0,0,0,0,0
0.026074,0,0,0,0,0,0
0.027473,0,0,0,0,0,0
0.028868,0,0,0,0,0,0
0.030291,0,0,0,0,0,0
0.031683,0,0,0,0,0,0
0.033120,0,0,0,0,0,0
0.034506,0,0,0,0,0,0
0.036082,0,0,0,0,0,0
0.037513,0,0,0,0,0,0
0.038909,0,0,0,0,0,0
0.040314,0,0,0,0,0,0
0.041785,0,0,0,0,0,0
0.043215,0,0,0,0,0,0
0.044589,0,0,0,0,0,0
0.046006,0,0,0,0,0,0
0.047393,0,0,0,0,0,0
0.048763,0,0,0,0,0,0
0.050131,0,0,0,0,0,0
0.051553,0,0,0,0,0,0
0.052976,0,0,0,0,0,0
0.054342,0,0,0,0,0,0
0.055708,0,0,0,0,0,0
0.057062,0,0,0,0,0,0
0.058373,0,0,0,0,0,0
0.059684,0,0,0,0,0,0
0.061044,0,0,0,0,0,0
0.062361,0,0,0,0,0,0
0.063752,0,0,0,0,0,0
0.065115,0,0,0,0,0,0
0.066450,0,0,0,0,0,0
0.067764,0,0,0,0,0,0
0.069078,0,0,0,0,0,0
0.070391,0,0,0,0,0,0
0.071704,0,0,0,0,0,0
0.073027,0,0,0,0,0,0
0.074339,0,0,0,0,0,0
0.075651,0,0,0,0,0,0
0.076963,0,0,0,0,0,0
0.078275,0,0,0,0,0,0
0.079638,0,0,0,0,0,0
0.080951,0,0,0,0,0,0
0.082273,0,0,0,0,0,0
0.083557,0,0,0,0,0,0
0.084831,0,0,0,0,0,0
0.086105,0,0,0,0,0,0
0.087379,0,0,0,0,0,0
0.088653,0,0,0,0,0,0
0.089927,0,0,0,0,0,0
0.091202,0,0,0,0,0,0
0.092526,0,0,0,0,0,0
0.093805,0,0,0,0,0,0
