elapsed_s,VPC_BE_PS_BUSY_CYCLES,VPC_BE_PS_WORKING_CYCLES,VPC_BE_STALL_CYCLES_CCHE,VPC_BE_STARVE_CYCLES_CCHE,VPC_BE_LM_FULL_WAIT_FOR_INTP_END,VPC_BE_CCHE_REQBUF_FULL
0.001116,0,0,0,6818100,0,0
0.002380,0,0,0,3971616,0,0
0.003620,0,0,0,3914868,0,0
0.004864,0,0,0,3957192,0,0
0.006129,0,0,0,3974412,0,0
0.007380,0,0,0,3901554,0,0
0.008614,0,0,0,3884520,0,0
0.009856,0,0,0,3914364,0,0
0.011175,0,0,0,4153086,0,0
0.012410,0,0,0,3890250,0,0
0.013644,0,0,0,3887946,0,0
0.014999,0,0,0,4282854,0,0
0.016257,0,0,0,3949800,0,0
0.017537,0,0,0,4079580,0,0
0.018814,0,0,0,4015764,0,0
0.020090,0,0,0,4005582,0,0
0.021291,0,0,0,3754896,0,0
0.022479,0,0,0,3742266,0,0
0.023715,0,0,0,3893040,0,0
0.024903,0,0,0,3742926,0,0
0.026090,0,0,0,3739644,0,0
0.027280,0,0,0,3747024,0,0
0.028470,0,0,0,3747990,0,0
0.029658,0,0,0,3741444,0,0
0.030867,0,0,0,3876474,0,0
0.032091,0,0,0,3789852,0,0
0.033279,0,0,0,3740946,0,0
0.034465,0,0,0,3737016,0,0
0.035701,0,0,0,3892554,0,0
0.036889,0,0,0,3778356,0,0
0.038096,0,0,0,3766710,0,0
0.039285,0,0,0,3743076,0,0
0.040471,0,0,0,3744408,0,0
0.041686,0,0,0,3820200,0,0
0.042944,0,0,0,4040526,0,0
0.044152,0,0,0,3768198,0,0
0.045352,0,0,0,3732090,0,0
0.046526,0,0,0,3697794,0,0
0.047703,0,0,0,3706998,0,0
0.048877,0,0,0,3700098,0,0
0.050052,0,0,0,3699618,0,0
0.051225,0,0,0,3733572,0,0
0.052425,0,0,0,3741774,0,0
0.053599,0,0,0,3698118,0,0
0.054775,0,0,0,3710778,0,0
0.055965,0,0,0,3755382,0,0
0.057152,0,0,0,3727656,0,0
0.058328,0,0,0,3704544,0,0
0.059491,0,0,0,3649404,0,0
0.060641,0,0,0,3620364,0,0
0.061789,0,0,0,3618726,0,0
0.062962,0,0,0,3849126,0,0
0.064137,0,0,0,3854688,0,0
0.065349,0,0,0,3787056,0,0
0.066548,0,0,0,3778236,0,0
0.067779,0,0,0,3870366,0,0
0.068976,0,0,0,3776904,0,0
0.070175,0,0,0,3777558,0,0
0.071374,0,0,0,3778920,0,0
