elapsed_s,VPC_NEVER_COUNT,VPC_FE_BUSY_CYCLES,VPC_FE_WORKING_CYCLES,VPC_FE_STALL_CYCLES_VFD_WACK,VPC_FE_STARVE_CYCLES_SP,VPC_FE_PC_PRIMITIVES
0.001326,0,0,0,0,0,0
0.002850,0,0,0,0,0,0
0.004292,0,0,0,0,0,0
0.005727,0,0,0,0,0,0
0.007161,0,0,0,0,0,0
0.008595,0,0,0,0,0,0
0.010041,0,0,0,0,0,0
0.011473,0,0,0,0,0,0
0.012900,0,0,0,0,0,0
0.014311,0,0,0,0,0,0
0.015719,0,0,0,0,0,0
0.017278,0,0,0,0,0,0
0.018661,0,0,0,0,0,0
0.020049,0,0,0,0,0,0
0.021459,0,0,0,0,0,0
0.022821,0,0,0,0,0,0
0.024183,0,0,0,0,0,0
0.025594,0,0,0,0,0,0
0.026958,0,0,0,0,0,0
0.028316,0,0,0,0,0,0
0.029721,0,0,0,0,0,0
0.031073,0,0,0,0,0,0
0.032414,0,0,0,0,0,0
0.033852,0,0,0,0,0,0
0.035203,0,0,0,0,0,0
0.036549,0,0,0,0,0,0
0.037956,0,0,0,0,0,0
0.039299,0,0,0,0,0,0
0.040644,0,0,0,0,0,0
0.042042,0,0,0,0,0,0
0.043385,0,0,0,0,0,0
0.044806,0,0,0,0,0,0
0.046155,0,0,0,0,0,0
0.047470,0,0,0,0,0,0
0.048832,0,0,0,0,0,0
0.050142,0,0,0,0,0,0
0.051454,0,0,0,0,0,0
0.052821,0,0,0,0,0,0
0.054134,0,0,0,0,0,0
0.055459,0,0,0,0,0,0
0.056819,0,0,0,0,0,0
0.058093,0,0,0,0,0,0
0.059364,0,0,0,0,0,0
0.060634,0,0,0,0,0,0
0.061924,0,0,0,0,0,0
0.063201,0,0,0,0,0,0
0.064546,0,0,0,0,0,0
0.065845,0,0,0,0,0,0
0.067118,0,0,0,0,0,0
0.068453,0,0,0,0,0,0
0.069805,0,0,0,0,0,0
0.071131,0,0,0,0,0,0
0.072455,0,0,0,0,0,0
0.073807,0,0,0,0,0,0
0.075173,0,0,0,0,0,0
0.076536,0,0,0,0,0,0
0.077919,0,0,0,0,0,0
0.079281,0,0,0,0,0,0
0.080642,0,0,0,0,0,0
0.082108,0,0,0,0,0,0
0.083470,0,0,0,0,0,0
0.084838,0,1806,507,0,0,0
0.086089,0,0,0,0,0,0
0.087563,0,0,0,0,0,0
0.089021,0,0,0,0,0,0
0.090353,0,0,0,0,0,0
0.091669,0,0,0,0,0,0
0.092984,0,0,0,0,0,0
0.094298,0,0,0,0,0,0
0.095619,0,0,0,0,0,0
0.096931,0,0,0,0,0,0
0.098249,0,0,0,0,0,0
0.099589,0,0,0,0,0,0
0.100898,0,0,0,0,0,0
0.102212,0,0,0,0,0,0
0.103526,0,0,0,0,0,0
0.104844,0,4227,1683,0,0,0
0.106272,0,3684,2934,0,0,0
0.107663,0,0,0,0,0,0
0.109042,0,0,0,0,0,0
0.110420,0,0,0,0,0,0
0.111800,0,0,0,0,0,0
0.113179,0,0,0,0,0,0
0.114559,0,0,0,0,0,0
0.115991,0,0,0,0,0,0
0.117371,0,0,0,0,0,0
0.118750,0,0,0,0,0,0
0.120188,0,0,0,0,0,0
0.121618,0,0,0,0,0,0
0.123047,0,0,0,0,0,0
0.124366,0,0,0,0,0,0
0.125831,0,0,0,0,0,0
0.127271,0,0,0,0,0,0
0.128598,0,0,0,0,0,0
0.129948,0,0,0,0,0,0
0.131375,0,0,0,0,0,0
0.132804,0,0,0,0,0,0
0.134141,0,0,0,0,0,0
0.135528,0,0,0,0,0,0
0.136912,0,0,0,0,0,0
0.138303,0,0,0,0,0,0
0.139687,0,0,0,0,0,0
0.141100,0,0,0,0,0,0
0.142624,0,0,0,0,0,0
0.144179,0,0,0,0,0,0
0.145609,0,0,0,0,0,0
0.147143,0,0,0,0,0,0
0.148589,0,0,0,0,0,0
0.150047,0,0,0,0,0,0
0.151445,0,0,0,0,0,0
0.152843,0,0,0,0,0,0
0.154239,0,0,0,0,0,0
0.155634,0,0,0,0,0,0
0.157261,0,0,0,0,0,0
0.158711,0,0,0,0,0,0
0.160114,0,0,0,0,0,0
0.161514,0,0,0,0,0,0
0.162910,0,0,0,0,0,0
0.164306,0,0,0,0,0,0
0.165704,0,0,0,0,0,0
0.167100,0,0,0,0,0,0
0.168627,0,0,0,0,0,0
0.170078,0,0,0,0,0,0
0.171480,0,0,0,0,0,0
0.173134,0,0,0,0,0,0
0.174540,0,0,0,0,0,0
0.175938,0,0,0,0,0,0
0.177338,0,0,0,0,0,0
0.178736,0,0,0,0,0,0
0.180144,0,0,0,0,0,0
0.181676,0,0,0,0,0,0
0.183241,0,0,0,0,0,0
0.184808,0,0,0,0,0,0
0.186374,0,0,0,0,0,0
0.187938,0,0,0,0,0,0
0.189551,0,0,0,0,0,0
0.191132,0,0,0,0,0,0
0.192696,0,0,0,0,0,0
0.194120,0,0,0,0,0,0
0.195518,0,0,0,0,0,0
0.196913,0,0,0,0,0,0
0.198443,0,0,0,0,0,0
0.200006,0,0,0,0,0,0
0.201581,0,0,0,0,0,0
0.203146,0,0,0,0,0,0
0.204709,0,0,0,0,0,0
0.206367,0,0,0,0,0,0
0.207936,0,0,0,0,0,0
0.209535,0,0,0,0,0,0
0.210947,0,0,0,0,0,0
0.212358,0,0,0,0,0,0
0.213753,0,0,0,0,0,0
0.215151,0,0,0,0,0,0
0.216546,0,0,0,0,0,0
0.218032,0,0,0,0,0,0
0.219470,0,0,0,0,0,0
0.220968,0,0,0,0,0,0
0.222463,0,0,0,0,0,0
0.223858,0,0,0,0,0,0
0.225250,0,0,0,0,0,0
0.226673,0,0,0,0,0,0
0.228196,0,0,0,0,0,0
0.229678,0,0,0,0,0,0
0.231201,0,0,0,0,0,0
0.232892,0,0,0,0,0,0
0.236336,0,0,0,0,0,0
0.238006,0,0,0,0,0,0
0.239961,0,0,0,0,0,0
0.241602,0,0,0,0,0,0
0.243775,0,0,0,0,0,0
0.245430,0,0,0,0,0,0
0.247098,0,0,0,0,0,0
0.249401,0,0,0,0,0,0
0.252991,0,0,0,0,0,0
0.254469,0,0,0,0,0,0
0.255924,0,0,0,0,0,0
0.257334,0,0,0,0,0,0
0.258669,0,0,0,0,0,0
0.259992,0,0,0,0,0,0
0.261318,0,0,0,0,0,0
0.262642,0,0,0,0,0,0
0.263965,0,0,0,0,0,0
0.265304,0,0,0,0,0,0
0.266626,0,0,0,0,0,0
0.267949,0,0,0,0,0,0
0.269409,0,0,0,0,0,0
0.270990,0,0,0,0,0,0
0.272554,0,0,0,0,0,0
0.274084,0,0,0,0,0,0
0.275499,0,0,0,0,0,0
0.276901,0,0,0,0,0,0
0.278300,0,0,0,0,0,0
0.279697,0,0,0,0,0,0
0.281097,0,0,0,0,0,0
0.282494,0,0,0,0,0,0
0.284080,0,0,0,0,0,0
0.285577,0,0,0,0,0,0
0.286984,0,0,0,0,0,0
0.288384,0,0,0,0,0,0
0.289784,0,0,0,0,0,0
0.291182,0,0,0,0,0,0
0.292579,0,0,0,0,0,0
0.294002,0,0,0,0,0,0
0.295400,0,0,0,0,0,0
0.296809,0,0,0,0,0,0
0.298202,0,0,0,0,0,0
0.299592,0,0,0,0,0,0
0.300986,0,0,0,0,0,0
0.302383,0,0,0,0,0,0
0.303778,0,0,0,0,0,0
0.305174,0,0,0,0,0,0
0.306702,0,0,0,0,0,0
0.308149,0,0,0,0,0,0
0.309555,0,0,0,0,0,0
0.310955,0,0,0,0,0,0
0.312351,0,0,0,0,0,0
0.314012,0,0,0,0,0,0
0.315418,0,0,0,0,0,0
0.317151,0,0,0,0,0,0
0.318759,0,0,0,0,0,0
0.320312,0,0,0,0,0,0
0.321743,0,0,0,0,0,0
0.323279,0,0,0,0,0,0
0.324845,0,0,0,0,0,0
0.326408,0,0,0,0,0,0
0.327968,0,0,0,0,0,0
0.329545,0,0,0,0,0,0
0.331110,0,0,0,0,0,0
0.332671,0,0,0,0,0,0
0.334286,0,0,0,0,0,0
0.335848,0,0,0,0,0,0
0.337414,0,0,0,0,0,0
0.338979,0,0,0,0,0,0
0.340555,0,0,0,0,0,0
0.342146,0,0,0,0,0,0
0.343709,0,0,0,0,0,0
0.345276,0,0,0,0,0,0
0.346840,0,0,0,0,0,0
0.348403,0,0,0,0,0,0
0.350062,0,0,0,0,0,0
0.351638,0,0,0,0,0,0
0.353205,0,0,0,0,0,0
0.354771,0,0,0,0,0,0
0.356333,0,0,0,0,0,0
0.357901,0,0,0,0,0,0
0.359466,0,0,0,0,0,0
0.361032,0,0,0,0,0,0
0.362610,0,0,0,0,0,0
0.364173,0,0,0,0,0,0
0.365737,0,0,0,0,0,0
0.367305,0,0,0,0,0,0
0.368869,0,0,0,0,0,0
0.370432,0,0,0,0,0,0
0.371992,0,0,0,0,0,0
0.373506,0,0,0,0,0,0
0.374919,0,0,0,0,0,0
0.376450,0,0,0,0,0,0
0.378019,0,0,0,0,0,0
0.379584,0,0,0,0,0,0
0.381193,0,0,0,0,0,0
0.382759,0,0,0,0,0,0
0.384335,0,0,0,0,0,0
0.385900,0,0,0,0,0,0
0.387466,0,0,0,0,0,0
0.389033,0,0,0,0,0,0
0.390600,0,0,0,0,0,0
0.392163,0,0,0,0,0,0
0.393729,0,0,0,0,0,0
0.395305,0,0,0,0,0,0
0.396917,0,0,0,0,0,0
0.398482,0,0,0,0,0,0
0.400046,0,0,0,0,0,0
0.401611,0,0,0,0,0,0
0.403167,0,0,0,0,0,0
0.404721,0,0,0,0,0,0
0.406501,0,0,0,0,0,0
0.407901,0,0,0,0,0,0
0.409432,0,0,0,0,0,0
0.410996,0,0,0,0,0,0
0.412559,0,0,0,0,0,0
0.414123,0,0,0,0,0,0
0.415685,0,0,0,0,0,0
0.417263,0,0,0,0,0,0
0.418828,0,0,0,0,0,0
0.420389,0,0,0,0,0,0
0.422011,0,0,0,0,0,0
0.423574,0,0,0,0,0,0
0.425139,0,0,0,0,0,0
0.426703,0,0,0,0,0,0
0.428149,0,0,0,0,0,0
0.429686,0,0,0,0,0,0
0.431250,0,0,0,0,0,0
0.432816,0,0,0,0,0,0
0.434380,0,0,0,0,0,0
0.435942,0,0,0,0,0,0
0.437507,0,0,0,0,0,0
0.439083,0,0,0,0,0,0
0.440646,0,0,0,0,0,0
0.442215,0,0,0,0,0,0
0.443777,0,0,0,0,0,0
0.445386,0,0,0,0,0,0
0.446951,0,0,0,0,0,0
0.448513,0,0,0,0,0,0
0.450093,0,0,0,0,0,0
0.451530,0,0,0,0,0,0
0.453071,0,0,0,0,0,0
0.454638,0,0,0,0,0,0
0.456202,0,0,0,0,0,0
0.457767,0,0,0,0,0,0
0.459333,0,0,0,0,0,0
0.460957,0,0,0,0,0,0
0.462523,0,0,0,0,0,0
0.464087,0,0,0,0,0,0
0.465654,0,0,0,0,0,0
0.467219,0,0,0,0,0,0
0.468786,0,0,0,0,0,0
0.470352,0,0,0,0,0,0
0.471930,0,0,0,0,0,0
0.473497,0,0,0,0,0,0
0.475063,0,0,0,0,0,0
0.476627,0,0,0,0,0,0
0.478245,0,0,0,0,0,0
0.479809,0,0,0,0,0,0
0.481376,0,0,0,0,0,0
0.482956,0,0,0,0,0,0
0.484522,0,0,0,0,0,0
0.486092,0,0,0,0,0,0
0.487656,0,0,0,0,0,0
0.489226,0,0,0,0,0,0
0.490836,0,0,0,0,0,0
0.492400,0,0,0,0,0,0
0.493985,0,0,0,0,0,0
0.495390,0,0,0,0,0,0
0.496793,0,0,0,0,0,0
0.498193,0,0,0,0,0,0
0.499591,0,0,0,0,0,0
0.500990,0,0,0,0,0,0
0.502389,0,0,0,0,0,0
0.503918,0,0,0,0,0,0
0.505499,0,0,0,0,0,0
0.507054,0,0,0,0,0,0
0.508608,0,0,0,0,0,0
0.510051,0,0,0,0,0,0
0.511455,0,0,0,0,0,0
0.512989,0,0,0,0,0,0
0.514544,0,0,0,0,0,0
0.516111,0,0,0,0,0,0
0.517640,0,0,0,0,0,0
0.519086,0,0,0,0,0,0
0.520486,0,0,0,0,0,0
0.521887,0,0,0,0,0,0
0.523286,0,0,0,0,0,0
0.524684,0,0,0,0,0,0
0.526141,0,0,0,0,0,0
0.527738,0,0,0,0,0,0
0.529306,0,0,0,0,0,0
0.530873,0,0,0,0,0,0
0.532436,0,0,0,0,0,0
0.534101,0,0,0,0,0,0
0.535665,0,0,0,0,0,0
0.537244,0,0,0,0,0,0
0.538809,0,0,0,0,0,0
0.540373,0,0,0,0,0,0
0.542030,0,0,0,0,0,0
0.543595,0,0,0,0,0,0
0.545163,0,0,0,0,0,0
0.546717,0,0,0,0,0,0
0.548284,0,0,0,0,0,0
0.549714,0,0,0,0,0,0
0.551247,0,0,0,0,0,0
0.552813,0,0,0,0,0,0
0.554377,0,0,0,0,0,0
0.555939,0,0,0,0,0,0
0.557549,0,0,0,0,0,0
0.559126,0,0,0,0,0,0
0.560688,0,0,0,0,0,0
0.562064,0,0,0,0,0,0
0.563465,0,0,0,0,0,0
0.564997,0,0,0,0,0,0
0.566561,0,0,0,0,0,0
0.568122,0,0,0,0,0,0
0.569698,0,0,0,0,0,0
0.571261,0,0,0,0,0,0
0.572878,0,0,0,0,0,0
0.574397,0,0,0,0,0,0
0.575809,0,0,0,0,0,0
0.577344,0,0,0,0,0,0
0.578909,0,0,0,0,0,0
0.580487,0,0,0,0,0,0
