elapsed_s,RBBM_US_PC_BUSY,RBBM_US_COM_BUSY,RBBM_US_DCOM_BUSY,RBBM_US_VBIF_BUSY
0.001095,0,0,0,2810
0.002543,0,0,0,2683
0.003961,0,0,0,2837
0.005380,0,0,0,3177
0.006794,0,0,0,2953
0.008208,0,0,0,3161
0.009624,0,0,0,3054
0.011050,0,0,0,3267
0.012467,0,0,0,2548
0.013882,0,0,0,3172
0.015297,0,0,0,3166
0.016714,0,0,0,2662
0.018157,0,0,0,3019
0.019558,0,0,0,2606
0.021192,0,0,0,3136
0.022590,0,0,0,3176
0.024127,0,0,0,3200
0.025561,0,0,0,3110
0.026943,0,0,0,2671
0.028368,0,0,0,2545
0.029745,0,0,0,3213
0.031134,0,0,0,2707
0.032508,0,0,0,3097
0.033882,0,0,0,3215
0.035255,0,0,0,2893
0.036629,0,0,0,3080
0.038012,0,0,0,2699
0.039385,0,0,0,2897
0.040758,0,0,0,2854
0.042154,0,0,0,3134
0.043528,0,0,0,2828
0.044964,0,0,0,3160
0.046317,0,0,0,2958
0.047666,0,0,0,2912
0.049014,0,0,0,2938
0.050365,0,0,0,3028
0.051769,0,0,0,2413
0.053138,0,0,0,2262
0.054489,0,0,0,2746
0.055840,0,0,0,2218
0.057205,0,0,0,2616
0.058553,0,0,0,2751
0.059947,0,0,0,2041
0.061245,0,0,0,2411
0.062542,0,0,0,2418
0.063847,0,0,0,2212
0.065149,0,0,0,2282
0.066445,0,0,0,2178
0.067768,0,0,0,2374
0.069062,0,0,0,2760
0.070358,0,0,0,2542
0.071655,0,0,0,2170
0.072973,0,0,0,1731
0.074241,0,0,0,2001
0.075504,0,0,0,1681
0.076838,0,0,0,1704
0.078112,0,0,0,1624
0.079437,0,0,0,2267
0.080717,0,0,0,1661
0.082039,0,0,0,1940
0.083327,0,0,0,1750
0.084650,0,0,0,2062
0.085916,0,0,0,2210
0.087181,0,0,0,2262
0.088446,0,0,0,2134
0.089711,0,0,0,2347
0.090978,0,0,0,2267
0.092293,0,0,0,1969
0.093557,0,0,0,2247
0.094828,0,0,0,2295
0.096143,0,0,0,1705
0.097457,0,0,0,2306
0.098726,131,111,0,16117
0.099996,0,0,0,1823
0.101375,0,0,0,1676
0.102639,0,0,0,1892
0.103956,0,0,0,2028
0.105422,0,0,0,2224
0.106831,0,0,0,2361
0.108288,0,0,0,2535
0.109697,0,0,0,2376
0.111107,0,0,0,2518
0.112453,0,0,0,2218
0.113750,0,0,0,2703
0.115161,0,0,0,2149
0.116626,0,0,0,2510
0.118082,55005,207,0,37644
0.119497,298599,167,0,32155
0.120868,0,0,0,2004
0.122127,0,0,0,1997
0.123495,0,0,0,2032
0.124868,0,0,0,2009
0.126236,0,0,0,2141
0.127499,0,0,0,2013
0.128867,0,0,0,2011
0.130236,0,0,0,2020
0.131605,0,0,0,2267
0.132978,0,0,0,2062
0.134396,0,0,0,2007
0.135806,0,0,0,2103
0.137197,0,0,0,2011
0.138572,0,0,0,2007
0.139995,0,0,0,2001
0.141475,0,0,0,2004
0.142851,0,0,0,2018
0.144185,0,0,0,2021
0.145464,0,0,0,2005
0.146833,0,0,0,2005
0.148166,0,0,0,2007
0.149453,0,0,0,2007
0.150933,0,0,0,2051
0.152311,0,0,0,2007
0.153685,0,0,0,2005
0.155059,0,0,0,2004
0.156531,0,0,0,2010
0.158097,0,0,0,2010
0.159646,0,0,0,2006
0.161125,0,0,0,2003
0.162641,0,0,0,2005
0.164057,0,0,0,2012
0.165571,0,0,0,2021
