elapsed_s,RBBM_NEVER_COUNT,RBBM_US_ALWAYS_COUNT,RBBM_US_ALWAYS_ON,RBBM_US_STATUS_MASKED
0.286360,0,413041,3701,2445
0.287912,0,422354,3787,2475
0.289522,0,414938,3719,2400
0.291077,0,413215,3703,2405
0.292630,0,412931,3701,2477
0.294053,0,400109,3584,2477
0.295576,0,412824,3700,2437
0.297131,0,415209,3721,2394
0.298685,0,411853,3691,2436
0.300248,0,541257,4874,2439
0.301804,0,409896,3672,2399
0.303207,0,410431,3678,2562
0.304725,0,463580,4164,2474
0.306326,0,421237,3776,2392
0.307878,0,412999,3700,2522
0.309434,0,413848,3711,2535
0.311001,0,413807,3708,2402
0.312554,0,413123,3702,2403
0.314108,0,413567,3707,2478
0.315662,0,413229,3703,2495
0.317217,0,414012,3711,2435
0.318771,0,406999,3647,2574
0.320322,0,414399,3714,2399
0.321890,0,414069,3711,2612
0.323445,0,412595,3699,2438
0.325080,0,523760,4714,2397
0.326599,0,402427,3606,2436
0.327991,0,379512,3395,2405
0.329514,0,425599,3816,2484
0.331068,0,413622,3708,2427
0.332633,0,420995,3774,2459
0.334185,0,412553,3699,2402
0.335738,0,413263,3702,2436
0.337336,0,411262,3685,2485
0.338891,0,491564,4420,2403
0.341183,0,411653,3689,2397
0.342600,0,398751,3572,2442
0.343984,0,397000,3554,2394
0.345368,0,381849,3417,2407
0.346756,0,403806,3617,2440
0.348143,0,402609,3607,2401
0.349532,0,487643,4384,2438
0.351152,0,413576,3708,2435
0.352705,0,463972,4168,2439
0.354320,0,412231,3696,2527
0.355873,0,411832,3690,2573
0.357429,0,413965,3710,2438
0.359913,0,441555,3962,2415
0.361496,0,648812,5859,2402
0.363175,0,407041,3648,2483
0.364592,0,396796,3552,2515
0.366018,0,471090,4241,2434
0.367521,0,408729,3655,2404
0.369055,0,545465,4913,2505
0.370826,0,519208,4681,2396
0.372349,0,479924,4309,2487
0.373920,0,421834,3779,2478
0.375378,0,542164,4883,2468
0.377089,0,472583,4247,2543
0.378881,0,500232,4504,2564
0.380610,0,467264,4192,2510
0.382984,0,437260,3923,2445
0.385830,0,406090,3649,2523
0.387270,0,397868,3550,2461
0.389199,0,534089,4815,2630
0.390746,0,458742,4118,2645
0.392203,0,393652,3518,2455
0.393597,0,434642,3912,2529
0.395030,0,398730,3559,2519
0.396429,0,391942,3509,2425
0.397822,0,378056,3383,2414
0.399189,0,385479,3450,2433
0.400547,0,380687,3406,2436
0.401893,0,365402,3262,2546
0.403218,0,362881,3243,2437
0.404544,0,364006,3253,2543
0.405936,0,373585,3342,2422
0.407298,0,401319,3606,2502
0.408674,0,368703,3286,2649
0.410014,0,366147,3273,2494
0.411298,0,365760,3270,2550
0.412579,0,363910,3253,2456
0.413857,0,366926,3280,2389
0.415198,0,440182,3951,2470
0.416611,0,381125,3410,2489
0.417963,0,369471,3323,2579
0.419267,0,368649,3275,2502
0.420595,0,469628,4218,2463
0.422023,0,472777,4249,2624
0.423401,0,468905,4213,2501
0.424773,0,476280,4280,2601
0.426152,0,468765,4213,2437
0.427523,0,363814,3251,2658
0.428784,0,477526,4314,2600
0.430195,0,474975,4247,2549
0.431569,0,467413,4199,2682
0.433025,0,458970,4123,2542
0.434397,0,467837,4203,2621
0.435792,0,466842,4193,2573
0.437162,0,468431,4209,2454
0.438532,0,364014,3253,2559
0.439855,0,368089,3290,2410
0.441198,0,468887,4214,2715
0.442633,0,358794,3206,2568
0.443962,0,472252,4243,2476
0.445388,0,468725,4210,2508
0.446758,0,366541,3294,2512
0.448074,0,472822,4232,2485
0.449503,0,366551,3277,2457
0.450840,0,489091,4398,2445
0.452248,0,470720,4230,2396
0.453676,0,360373,3222,2467
0.455050,0,366625,3278,2396
0.456370,0,470933,4231,2448
0.457793,0,364956,3262,2451
0.459057,0,458923,4122,2486
0.460425,0,362619,3241,2487
0.461735,0,470093,4225,2581
0.463173,0,478546,4300,2726
0.464614,0,469196,4232,2395
0.466039,0,477888,4278,2435
0.467462,0,468382,4209,2443
0.468902,0,365896,3270,2533
0.470184,0,474193,4261,2433
0.471607,0,470161,4226,2401
0.473043,0,472966,4249,2610
0.474475,0,468934,4213,2584
0.475897,0,471115,4233,2532
0.477318,0,470923,4231,2390
0.478740,0,471183,4233,2437
0.480161,0,470185,4224,2435
0.481616,0,401961,3611,2404
0.483026,0,387568,3469,2393
0.484410,0,395854,3543,2440
0.485865,0,624360,5655,2440
0.487492,0,407220,3628,2404
0.488883,0,466448,4190,2396
0.490332,0,401072,3592,2399
0.491784,0,389457,3486,2530
0.493169,0,397509,3560,2713
0.494550,0,397146,3556,2530
0.495940,0,398204,3875,2369
0.497322,0,382726,3719,2370
0.498702,0,443845,4326,2363
0.500145,0,381615,3707,2365
0.501529,0,384286,3734,2375
0.502913,0,380777,3699,2368
0.504291,0,380409,3697,2332
0.505824,0,1990173,19677,2369
0.508876,0,444507,4331,2365
0.510324,0,386742,3759,2478
0.511710,0,387472,3766,2366
0.513135,0,386429,3757,2441
0.514522,0,386270,3754,2322
0.515908,0,388103,3772,2390
0.517436,0,400271,3892,2408
0.518994,0,396956,3860,2324
0.520560,0,396732,3857,2369
0.522115,0,396359,3856,2403
0.523671,0,396502,3856,2402
0.525419,0,397241,3861,2372
0.526973,0,397408,3864,2367
0.528526,0,397556,3867,2371
0.530084,0,398280,3873,2358
0.531652,0,401562,3905,2364
0.533211,0,398520,3877,2478
0.534765,0,397810,3868,2374
0.536317,0,397097,3861,2330
0.537873,0,397348,3864,2410
0.539430,0,397631,3867,2369
0.541048,0,462476,4509,2365
0.542680,0,396562,3857,2364
0.544230,0,396502,3856,2371
0.545829,0,398452,3874,2369
0.547384,0,396868,3858,2367
0.548936,0,336651,3262,2326
0.550295,0,382211,3715,2372
0.551679,0,382915,3720,2451
0.553132,0,389393,3784,2367
0.554655,0,394932,3839,2408
0.556206,0,395799,3848,2369
0.557762,0,396221,3852,2371
0.559316,0,397178,3863,2369
0.560868,0,445650,4343,2329
0.562472,0,396751,3858,2366
0.564036,0,396919,3859,2330
0.565592,0,397993,3871,2373
0.567146,0,398007,3871,2371
0.568698,0,400210,3892,2478
0.570253,0,356038,3453,2330
0.571765,0,400134,3892,2468
0.573325,0,397456,3865,2364
0.574892,0,397077,3860,2463
0.576445,0,398521,3875,2373
0.578001,0,398346,3874,2533
0.579555,0,398902,3880,2424
0.581112,0,583836,5715,2413
0.582731,0,389621,3787,2407
0.584125,0,387196,3762,2330
0.585663,0,394591,3836,2331
0.587209,0,392691,3817,2371
0.588753,0,465272,4538,2368
0.590250,0,383667,3729,2331
0.591764,0,393038,3819,2470
0.593187,0,386417,3755,2374
0.594711,0,396903,3859,2372
0.596276,0,396766,3859,2369
0.597832,0,398430,3874,2370
0.599387,0,396822,3859,2330
0.600940,0,340065,3296,2505
0.602306,0,387344,3765,2550
0.603697,0,385162,3742,2371
0.605219,0,398471,3876,2370
0.606786,0,398385,3873,2366
0.608339,0,398350,3873,2371
0.609895,0,398603,3876,2365
0.611450,0,396222,3852,2329
0.613070,0,337663,3272,2331
