elapsed_s,CP_ICACHE_MISSES,CP_ICACHE_HITS,CP_ICACHE_STALL,CP_DCACHE_MISSES,CP_DCACHE_HITS,CP_DCACHE_STALLS,CP_AQE_SQE_STALL,CP_SQE_AQE_STARVE,CP_ISR_CYCLES,CP_SQE_MD8_STALL_CYCLES,CP_SQE_MESH_EXEC_CYCLES,CP_AQE_NUM_AS_CHUNKS,CP_AQE_NUM_MS_CHUNKS,CP_S_SKEW_BUFFER_FULL
0.131961,17,230,1651,0,0,0,0,0,0,0,0,0,0,0
0.133614,17,220,1662,0,0,0,0,0,0,0,0,0,0,0
0.135217,17,232,1775,0,0,0,0,0,0,0,0,0,0,0
0.136822,17,216,1664,0,0,0,0,0,0,0,0,0,0,0
0.138426,17,226,1667,0,0,0,0,0,0,0,0,0,0,0
0.140084,18,239,1648,0,0,0,0,0,0,0,0,0,0,0
0.141694,18,239,1647,0,0,0,0,0,0,0,0,0,0,0
0.143296,18,237,1654,0,0,0,0,0,0,0,0,0,0,0
0.144902,17,230,1659,0,0,0,0,0,0,0,0,0,0,0
0.146549,17,230,1661,0,0,0,0,0,0,0,0,0,0,0
0.148195,17,232,1665,0,0,0,0,0,0,0,0,0,0,0
0.149804,17,232,1662,0,0,0,0,0,0,0,0,0,0,0
0.151420,17,232,1662,0,0,0,0,0,0,0,0,0,0,0
0.153026,17,230,1658,0,0,0,0,0,0,0,0,0,0,0
0.154629,18,237,1640,0,0,0,0,0,0,0,0,0,0,0
0.156274,17,232,1645,0,0,0,0,0,0,0,0,0,0,0
0.157948,17,216,1663,0,0,0,0,0,0,0,0,0,0,0
0.159394,17,232,1662,0,0,0,0,0,0,0,0,0,0,0
0.160967,18,235,1649,0,0,0,0,0,0,0,0,0,0,0
0.162459,18,233,1657,0,0,0,0,0,0,0,0,0,0,0
0.164076,17,232,1647,0,0,0,0,0,0,0,0,0,0,0
0.165684,17,228,1652,0,0,0,0,0,0,0,0,0,0,0
0.167287,18,237,1651,0,0,0,0,0,0,0,0,0,0,0
0.168893,18,239,1656,0,0,0,0,0,0,0,0,0,0,0
0.170497,17,230,1659,0,0,0,0,0,0,0,0,0,0,0
0.172141,17,232,1657,0,0,0,0,0,0,0,0,0,0,0
0.173765,17,230,1657,0,0,0,0,0,0,0,0,0,0,0
0.175368,17,228,1648,0,0,0,0,0,0,0,0,0,0,0
0.176974,17,232,1656,0,0,0,0,0,0,0,0,0,0,0
0.178578,18,237,1643,0,0,0,0,0,0,0,0,0,0,0
0.180223,18,233,1650,0,0,0,0,0,0,0,0,0,0,0
0.181830,17,228,1653,0,0,0,0,0,0,0,0,0,0,0
0.183430,17,232,1662,0,0,0,0,0,0,0,0,0,0,0
0.184924,17,232,1663,0,0,0,0,0,0,0,0,0,0,0
0.186505,18,239,1641,0,0,0,0,0,0,0,0,0,0,0
0.188152,18,233,1638,0,0,0,0,0,0,0,0,0,0,0
0.189764,18,235,1650,0,0,0,0,0,0,0,0,0,0,0
0.191369,18,237,1648,0,0,0,0,0,0,0,0,0,0,0
0.192977,17,230,1658,0,0,0,0,0,0,0,0,0,0,0
0.194584,17,232,1665,0,0,0,0,0,0,0,0,0,0,0
0.196243,18,235,1653,0,0,0,0,0,0,0,0,0,0,0
0.197779,18,239,1645,0,0,0,0,0,0,0,0,0,0,0
0.199352,18,239,1653,0,0,0,0,0,0,0,0,0,0,0
0.200959,17,228,1652,0,0,0,0,0,0,0,0,0,0,0
0.202565,17,226,1651,0,0,0,0,0,0,0,0,0,0,0
0.204213,17,232,1815,0,0,0,0,0,0,0,0,0,0,0
0.205824,17,228,1664,0,0,0,0,0,0,0,0,0,0,0
0.207443,17,228,1664,0,0,0,0,0,0,0,0,0,0,0
0.209050,18,239,1646,0,0,0,0,0,0,0,0,0,0,0
0.210647,18,239,1651,0,0,0,0,0,0,0,0,0,0,0
0.212435,17,232,1655,0,0,0,0,0,0,0,0,0,0,0
0.214039,17,232,1664,0,0,0,0,0,0,0,0,0,0,0
0.215643,17,232,1650,0,0,0,0,0,0,0,0,0,0,0
0.217250,17,226,1656,0,0,0,0,0,0,0,0,0,0,0
0.218868,17,232,1663,0,0,0,0,0,0,0,0,0,0,0
0.220518,18,235,1646,0,0,0,0,0,0,0,0,0,0,0
0.222126,18,233,1645,0,0,0,0,0,0,0,0,0,0,0
0.223730,17,232,1658,0,0,0,0,0,0,0,0,0,0,0
0.225337,17,232,1662,0,0,0,0,0,0,0,0,0,0,0
0.226942,17,232,1656,0,0,0,0,0,0,0,0,0,0,0
0.228592,17,230,1663,0,0,0,0,0,0,0,0,0,0,0
0.230213,17,232,1780,0,0,0,0,0,0,0,0,0,0,0
0.231817,18,239,1648,0,0,0,0,0,0,0,0,0,0,0
0.233423,17,228,1661,0,0,0,0,0,0,0,0,0,0,0
0.235029,17,232,1668,0,0,0,0,0,0,0,0,0,0,0
0.236679,17,232,1649,0,0,0,0,0,0,0,0,0,0,0
0.238286,17,226,1692,0,0,0,0,0,0,0,0,0,0,0
0.239891,18,237,1649,0,0,0,0,0,0,0,0,0,0,0
0.241450,18,239,1638,0,0,0,0,0,0,0,0,0,0,0
0.243027,18,235,1650,0,0,0,0,0,0,0,0,0,0,0
0.244676,17,228,1660,0,0,0,0,0,0,0,0,0,0,0
0.246274,17,228,1660,0,0,0,0,0,0,0,0,0,0,0
0.247870,18,239,1753,0,0,0,0,0,0,0,0,0,0,0
0.249468,18,237,1651,0,0,0,0,0,0,0,0,0,0,0
0.250948,18,233,1650,0,0,0,0,0,0,0,0,0,0,0
0.252455,18,239,1654,0,0,0,0,0,0,0,0,0,0,0
0.253900,17,232,1654,0,0,0,0,0,0,0,0,0,0,0
0.255343,17,232,1656,0,0,0,0,0,0,0,0,0,0,0
0.256786,17,232,1658,0,0,0,0,0,0,0,0,0,0,0
0.258226,18,235,1652,0,0,0,0,0,0,0,0,0,0,0
0.259796,18,239,1650,0,0,0,0,0,0,0,0,0,0,0
0.261447,17,230,1643,0,0,0,0,0,0,0,0,0,0,0
0.263068,17,232,1794,0,0,0,0,0,0,0,0,0,0,0
0.264676,17,232,1674,0,0,0,0,0,0,0,0,0,0,0
0.266282,17,304,1657,0,0,0,0,0,0,0,0,0,0,0
0.267888,17,232,1663,0,0,0,0,0,0,0,0,0,0,0
0.269629,18,239,1647,0,0,0,0,0,0,0,0,0,0,0
0.271234,18,239,1650,0,0,0,0,0,0,0,0,0,0,0
0.272841,18,235,1650,0,0,0,0,0,0,0,0,0,0,0
0.274460,17,230,1664,0,0,0,0,0,0,0,0,0,0,0
0.276107,17,230,1656,0,0,0,0,0,0,0,0,0,0,0
0.277743,17,230,1661,0,0,0,0,0,0,0,0,0,0,0
0.279348,18,237,1651,0,0,0,0,0,0,0,0,0,0,0
0.280845,18,239,1643,0,0,0,0,0,0,0,0,0,0,0
0.282287,18,239,1645,0,0,0,0,0,0,0,0,0,0,0
0.283686,18,239,1660,0,0,0,0,0,0,0,0,0,0,0
0.285142,17,232,1655,0,0,0,0,0,0,0,0,0,0,0
0.286540,17,230,1805,0,0,0,0,0,0,0,0,0,0,0
0.287933,18,239,1647,0,0,0,0,0,0,0,0,0,0,0
0.289414,18,239,1649,0,0,0,0,0,0,0,0,0,0,0
0.290807,18,239,1671,0,0,0,0,0,0,0,0,0,0,0
0.292247,18,233,1649,0,0,0,0,0,0,0,0,0,0,0
0.293607,18,239,1648,0,0,0,0,0,0,0,0,0,0,0
0.294964,18,235,1658,0,0,0,0,0,0,0,0,0,0,0
0.296402,18,235,1622,0,0,0,0,0,0,0,0,0,0,0
0.297763,18,235,1629,0,0,0,0,0,0,0,0,0,0,0
0.299129,17,226,1640,0,0,0,0,0,0,0,0,0,0,0
0.300486,17,228,1641,0,0,0,0,0,0,0,0,0,0,0
0.301823,18,235,1581,0,0,0,0,0,0,0,0,0,0,0
0.303161,18,235,1578,0,0,0,0,0,0,0,0,0,0,0
0.304550,18,235,1581,0,0,0,0,0,0,0,0,0,0,0
0.305891,18,235,1590,0,0,0,0,0,0,0,0,0,0,0
0.307238,18,235,1588,0,0,0,0,0,0,0,0,0,0,0
0.308569,18,235,1600,0,0,0,0,0,0,0,0,0,0,0
0.309860,18,235,1588,0,0,0,0,0,0,0,0,0,0,0
0.311258,18,235,1598,0,0,0,0,0,0,0,0,0,0,0
0.312599,18,235,1685,0,0,0,0,0,0,0,0,0,0,0
0.313999,18,235,1656,0,0,0,0,0,0,0,0,0,0,0
0.315292,18,231,1588,0,0,0,0,0,0,0,0,0,0,0
0.316716,18,235,1626,0,0,0,0,0,0,0,0,0,0,0
0.318116,18,235,1584,0,0,0,0,0,0,0,0,0,0,0
0.319507,18,235,1633,0,0,0,0,0,0,0,0,0,0,0
0.320902,18,231,1585,0,0,0,0,0,0,0,0,0,0,0
