elapsed_s,CP_PM4_DATA,CP_PM4_HEADERS,CP_VBIF_READ_BEATS,CP_VBIF_WRITE_BEATS,CP_SQE_INSTR_COUNTER,CP_CLUSTER_FE_US_FULL,CP_CLUSTER_FE_S_FULL,CP_CLUSTER_SP_VS_FULL,CP_CLUSTER_VPC_US_FULL,CP_CLUSTER_VPC_VS_FULL,CP_CLUSTER_GRAS_FULL,CP_CLUSTER_SP_PS_FULL,CP_CLUSTER_VPC_PS_FULL,CP_CLUSTER_PS_FULL
0.136865,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.138514,0,0,34,1,245,0,0,0,0,0,0,0,0,0
0.140120,0,0,34,1,245,0,0,0,0,0,0,0,0,0
0.141725,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.143334,0,0,34,1,241,0,0,0,0,0,0,0,0,0
0.144938,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.146545,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.148164,0,0,34,1,245,0,0,0,0,0,0,0,0,0
0.149769,0,0,34,1,245,0,0,0,0,0,0,0,0,0
0.151378,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.152982,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.154591,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.156196,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.157844,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.159343,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.160917,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.162565,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.164171,0,0,34,1,235,0,0,0,0,0,0,0,0,0
0.165774,0,0,34,1,249,0,0,0,0,0,0,0,0,0
0.167382,0,0,34,1,235,0,0,0,0,0,0,0,0,0
0.168986,0,0,36,1,257,0,0,0,0,0,0,0,0,0
0.170605,0,0,34,1,245,0,0,0,0,0,0,0,0,0
0.172209,0,0,34,1,241,0,0,0,0,0,0,0,0,0
0.173811,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.175420,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.177022,0,0,34,1,245,0,0,0,0,0,0,0,0,0
0.178628,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.180232,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.181848,0,0,34,1,235,0,0,0,0,0,0,0,0,0
0.183490,0,0,36,1,239,0,0,0,0,0,0,0,0,0
0.185092,0,0,34,1,245,0,0,0,0,0,0,0,0,0
0.186699,0,0,34,1,249,0,0,0,0,0,0,0,0,0
0.188304,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.189906,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.191510,0,0,34,1,231,0,0,0,0,0,0,0,0,0
0.192997,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.194511,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.195961,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.197402,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.198844,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.200283,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.201770,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.203382,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.204943,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.207079,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.208646,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.210317,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.211710,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.213071,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.214449,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.215811,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.217178,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.218667,0,0,34,1,239,0,0,0,0,0,0,0,0,0
0.220277,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.221871,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.223546,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.225154,0,0,34,1,239,0,0,0,0,0,0,0,0,0
0.226628,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.228204,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.229806,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.231466,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.233068,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.234674,0,0,34,1,239,0,0,0,0,0,0,0,0,0
0.236360,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.238122,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.239762,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.241255,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.242729,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.244196,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.246203,0,0,34,1,243,0,0,0,0,0,0,0,0,0
